----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |        Ritz        |         Rel. |    Aki     | Acc. |          Ei           Ek          |              Lower level              |              Upper level              |  gi   gk  |Type|                     TP  |        Line  |
          |     Wavelength     |     Wavelength     |         Int. |   (s^-1)   |      |         (eV)         (eV)         |---------------------------------------|---------------------------------------|           |    |                    Ref. |        Ref.  |
          |      Air (nm)      |      Air (nm)      |              |            |      |                                   | Conf.                  | Term  | J    | Conf.                  | Term  | J    |           |    |                         |              |
Cr I      |         203.265    |         203.264431 |            1 |            |      |     1.00367492  -      7.1013639  | 3d4.4s2                | a 5D  | 3    | 3d4.(3D).4s.4p.(3P*)   | t 3F* | 3    |   7 - 7   |    |                         |        L808  |
Cr I      |         203.295    |         203.2970   |            5 |            |      |     0.98287741  -      7.079588   | 3d4.4s2                | a 5D  | 2    |                        | p 5F* | 2    |   5 - 5   |    |                         |        L808  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         203.35495  |         203.35495  |            9 |            |      |     6.64136865  -     12.7363439  | 3d3.4s2                | c 4F  | 7/2  | 3d3.(a 2D).4s.4p.(3P*) | s 4F* | 9/2  |   8 - 10  |    |                         |      L18847  |
Cr II     |         203.38722  |         203.387192 |           15 |            |      |     8.21476628  -     14.3087753  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<2>).5f         | 2[3]* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr I      |         203.424    |         203.4250   |           35 |            |      |     1.00367492  -      7.096550   | 3d4.4s2                | a 5D  | 3    |                        | p 5F* | 4    |   7 - 9   |    |                         |        L808  |
Cr II     |         203.42720  |         203.427236 |           17 |            |      |     8.21476628  -     14.3075759  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<2>).5f         | 2[4]* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |         203.433851 |         203.433841 |           37 |            |      |     8.18422741  -     14.2768392  | 3d3.4s2                | d 4P  | 3/2  | 3d4.(5D<2>).5f         | 2[1]* | 1/2  |   4 - 2   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         203.49057  |         203.490586 |           15 |            |      |     2.54317167  -      8.63408476 | 3d5                    | a 4G  | 5/2  | 3d4.(3G).4p            | 4F*   | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |         203.53321  |         203.533221 |           10 |            |      |     8.21476628  -     14.3044036  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<2>).5f         | 2[1]* | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr I      |         203.634    |         203.6367   |            8 |            |      |     1.00367492  -      7.090219   | 3d4.4s2                | a 5D  | 3    |                        | p 5F* | 3    |   7 - 7   |    |                         |        L808  |
Cr III    |         203.639    |                    |           60 |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |       L7485  |
Cr II     |         203.69775  |         203.697790 |            5 |            |      |     4.01158977  -     10.09630796 | 3d5                    | a 2F  | 7/2  | 3d4.(a 1D).4p          | v 2F* | 7/2  |   8 - 8   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         203.72679  |         203.726702 |            7 |            |      |     4.41476844  -     10.49862321 | 3d4.(a 3F).4s          | b 2F  | 7/2  | 3d4.(1F).4p            | u 2F* | 7/2  |   8 - 8   |    |                         |      L18847  |
Cr II     |         203.72803  |         203.727995 |           10 |            |      |     3.88701290  -      9.97082909 | 3d5                    | a 2D  | 5/2  | 3d4.(a 1D).4p          | w 2D* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr I      |         203.772    |         203.77401  |            1 |            |      |     0.98287741  -      7.065320   | 3d4.4s2                | a 5D  | 2    | 3d4.(3F1).4s.4p.(1P*)  | 3G*   | 3    |   5 - 7   |    |                         |        L808  |
Cr I      |         203.821    |         203.82222  |            7 |            |      |     1.00367492  -      7.0846791  | 3d4.4s2                | a 5D  | 3    |                        | *     | 3    |   7 - 7   |    |                         |        L808  |
Cr II     |         203.8686   |         203.868547 |            5 |            |      |     4.41001656  -     10.48963898 | 3d4.(a 3F).4s          | b 2F  | 5/2  | 3d4.(1F).4p            | u 2F* | 5/2  |   6 - 6   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr I      |         203.898    |         203.900422 |            1 |            |      |     1.03000806  -      7.1086802  | 3d4.4s2                | a 5D  | 4    | 3d4.(3D).4s.4p.(3P*)   | t 3F* | 4    |   9 - 9   |    |                         |        L808  |
Cr II     |         203.90769  |         203.90764  |            3 |            |      |     6.6047630   -     12.683220   | 3d3.4s2                | c 4F  | 5/2  | 3d3.(a 2D).4s.4p.(3P*) | s 4F* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr I      |         203.930    |         203.9331   |           35 |            |      |     1.03000806  -      7.10771    | 3d4.4s2                | a 5D  | 4    |                        | p 5F* | 5    |   9 - 11  |    |                         |        L808  |
Cr III    |         203.963    |                    |           50 |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |       L7485  |
Cr II     |         203.991769 |         203.991765 |           81 | 3.52e+06   |      |     0.00000000  -      6.07595062 | 3d5                    | a 6S  | 5/2  | 3d4.(5D).4p            | z 4P* | 3/2  |   6 - 4   |    |                   T7574 |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         204.06496  |         204.064955 |           25 |            |      |     2.54388197  -      8.61765371 | 3d5                    | a 4G  | 7/2  | 3d4.(3G).4p            | 4F*   | 7/2  |   8 - 8   |    |                         |      L18847  |
Cr II     |         204.07110  |         204.071110 |           31 |            |      |     2.54406515  -      8.61765371 | 3d5                    | a 4G  | 9/2  | 3d4.(3G).4p            | 4F*   | 7/2  |  10 - 8   |    |                         |      L18847  |
