-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration           | Term      |        J |    g |        Level (eV) |   Uncertainty (eV) |    Landé | Leading percentages                                | Reference
3d10.11d                | 2D        |      5/2 |    6 |       7.58984     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.13p                | 2P*       |      3/2 |    4 |       7.613467    |         0.000009   |          |                                                    |            L10559
                        |           |      1/2 |    2 |       7.613558    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.14p                | 2P*       |      3/2 |    4 |       7.631530    |         0.000016   |          |                                                    |        L10559c152
                        |           |      1/2 |    2 |       7.631562    |         0.000025   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.15p                | 2P*       |      3/2 |    4 |       7.645592    |         0.000024   |          |                                                    |        L10559c152
                        |           |      1/2 |    2 |       7.64560     |         0.00003    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.16p                | 2P*       |      3/2 |    4 |       7.656732    |         0.000024   |          |                                                    |        L10559c152
                        |           |      1/2 |    2 |       7.65674     |         0.00003    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.17p                | 2P*       |  1/2,3/2 |    6 |       7.665725    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.18p                | 2P*       |  1/2,3/2 |    6 |       7.673078    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.19p                | 2P*       |  1/2,3/2 |    6 |       7.679171    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.20s                | 2S        |      1/2 |    2 |       7.68153     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.20p                | 2P*       |  1/2,3/2 |    6 |       7.684278    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.21s                | 2S        |      1/2 |    2 |       7.68625     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.21p                | 2P*       |  1/2,3/2 |    6 |       7.688595    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.22s                | 2S        |      1/2 |    2 |       7.69026     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.22p                | 2P*       |  1/2,3/2 |    6 |       7.692282    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.23s                | 2S        |      1/2 |    2 |       7.69372     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.23p                | 2P*       |  1/2,3/2 |    6 |       7.695452    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.24s                | 2S        |      1/2 |    2 |       7.696685    |         0.000020   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.24p                | 2P*       |  1/2,3/2 |    6 |       7.698200    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.25s                | 2S        |      1/2 |    2 |       7.69928     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.25p                | 2P*       |  1/2,3/2 |    6 |       7.700600    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.26s                | 2S        |      1/2 |    2 |       7.701571    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.26p                | 2P*       |  1/2,3/2 |    6 |       7.702704    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.27s                | 2S        |      1/2 |    2 |       7.70352     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.27p                | 2P*       |  1/2,3/2 |    6 |       7.704557    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.28s                | 2S        |      1/2 |    2 |       7.705299    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.28p                | 2P*       |  1/2,3/2 |    6 |       7.706209    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.29s                | 2S        |      1/2 |    2 |       7.706852    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.29p                | 2P*       |  1/2,3/2 |    6 |       7.707680    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.30s                | 2S        |      1/2 |    2 |       7.708270    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.30p                | 2P*       |  1/2,3/2 |    6 |       7.708993    |         0.000010   |          |                                                    |        L10559c152
