-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |    g |                      Level (eV)   |     Uncertainty (eV) |     Landé | Leading percentages                                 | Reference
                       |           |   6 |   13 |           5.3711314?              |          0.0000006   |           |  64             :    30  3d6.(3H).4s.4p.(3P*)  5I*  |          
                       |           |   3 |    7 |           5.37173492              |          0.00000025  |   0.509   |  48             :    26  3d6.(3H).4s.4p.(3P*)  5G*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(3P2).4s.4p.(3P*)  | w 5D*     |   4 |    9 |           5.39325126              |          0.00000012  |   1.492   |  51             :    34  3d6.(3F2).4s.4p.(3P*) 5D*  |          
                       |           |   3 |    7 |           5.44571679              |          0.00000012  |   1.481   |  35             :    28  3d6.(3F2).4s.4p.(3P*) 5D*  |          
                       |           |   2 |    5 |           5.47807170              |          0.00000012  |   1.533   |  44             :    22  3d6.(3F2).4s.4p.(3P*) 5D*  |          
                       |           |   1 |    3 |           5.50628207              |          0.00000012  |   1.315   |  48             :    19  3d6.(3F2).4s.4p.(3P*) 5D*  |          
                       |           |   0 |    1 |           5.51220530              |          0.00000012  |           |  45             :    19  3d6.(3F2).4s.4p.(3P*) 5D*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(3F2).4s.4p.(3P*)  | v 5D*     |   4 |    9 |           5.45809748              |          0.00000012  |   1.444   |  42             :    23  3d6.(3P2).4s.4p.(3P*) 5D*  |          
                       |           |   3 |    7 |           5.47591165              |          0.00000012  |   1.351   |  39             :    28  3d6.(3P2).4s.4p.(3P*) 5D*  |          
                       |           |   2 |    5 |           5.53763954              |          0.00000012  |   1.378   |  41             :    29  3d6.(3P2).4s.4p.(3P*) 5D*  |          
                       |           |   1 |    3 |           5.54962521              |          0.00000012  |   1.389   |  40             :    28  3d6.(3P2).4s.4p.(3P*) 5D*  |          
                       |           |   0 |    1 |           5.55782726              |          0.00000025  |           |  60             :    25  3d6.(3P2).4s.4p.(3P*) 5D*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(3F2).4s.4p.(3P*)  | w 5F*     |   5 |   11 |           5.48551782              |          0.00000025  |   1.382   |  84             :     4  3d6.(3D).4s.4p.(3P*)  5F*  |          
                       |           |   2 |    5 |           5.49069652              |          0.00000025  |   1.117   |  59             :    10  3d6.(3F2).4s.4p.(3P*) 5D*  |          
                       |           |   1 |    3 |           5.50221316              |          0.00000025  |   0.283   |  81             :     6  3d6.(3D).4s.4p.(3P*)  5F*  |          
                       |           |   4 |    9 |           5.50676735              |          0.00000012  |   1.401   |  62             :    18  3d6.(3F2).4s.4p.(3P*) 5D*  |          
                       |           |   3 |    7 |           5.52366156              |          0.00000025  |   1.386   |  45             :    26  3d6.(3F2).4s.4p.(3P*) 5D*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(4P).4p            | y 5S*     |   2 |    5 |           5.51876133              |          0.00000012  |   1.888   |  38             :    32  3d6.(3P2).4s.4p.(3P*) 5S*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s (6D).5s    | e 5D      |   4 |    9 |           5.53924278              |          0.00000012  |   1.502   |                                                     |          
                       |           |   3 |    7 |           5.58689276              |          0.00000012  |   1.508   |                                                     |          
                       |           |   2 |    5 |           5.62068415              |          0.00000012  |   1.503   |                                                     |          
                       |           |   1 |    3 |           5.64241573              |          0.00000012  |   1.518   |                                                     |          
                       |           |   0 |    1 |           5.65307019              |          0.00000012  |           |                                                     |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(3P2).4s.4p.(3P*)  | x 3D*     |   3 |    7 |           5.60664989              |          0.00000012  |   1.352   |  29  3D*        :    29  3d6.(3P2).4s.4p.(3P*) 5D*  |          
                       |           |   2 |    5 |           5.61423177              |          0.00000012  |   1.200   |  33  5D*        :    31  3d6.(3P2).4s.4p.(3P*) 3D*  |          
                       |           |   1 |    3 |           5.64769932              |          0.00000012  |   0.556   |  32  5D*        :    30  3d6.(3P2).4s.4p.(3P*) 3D*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(3H).4s.4p.(3P*)   | y 3G*     |   5 |   11 |           5.61584517              |          0.00000012  |   1.207   |  57             :    21  3d7.(2G).4p           3G*  |          
