--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |                     Level (eV)  |     Uncertainty (eV) |    Landé | Leading percentages                                                         | Reference
                      |         |  7/2 |    8 |          6.5194425              |          0.0000004   |          | 100  3d5.4s.(7S).4p 8P*                                                     | L18349,L18361c138
                      |         |  9/2 |   10 |          6.5669685              |          0.0000004   |          | 100  3d5.4s.(7S).4p 8P*                                                     | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3P1).4s          | c 2P    |  1/2 |    2 |          6.7030021              |          0.0000009   |          |  62                                  :    37  3d6.(3P2).4s            2P    | L18349,L18361c138
                      |         |  3/2 |    4 |          6.8070159              |          0.0000004   |          |  61                                  :    38  3d6.(3P2).4s            2P    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d5.4s2               | b 4G    | 11/2 |   12 |          6.72393597             |          0.00000025  |          |  98  3d5.4s2 4G                      :     2  3d5.(4G).4p2            4G    | L18349,L18361c138
                      |         |  9/2 |   10 |          6.72907574             |          0.00000025  |          |  98                                  :     2  3d5.(4G).4p2            4G    | L18349,L18361c138
                      |         |  5/2 |    6 |          6.72932284             |          0.00000025  |          |  97                                  :     2  3d5.(4G).4p2            4G    | L18349,L18361c138
                      |         |  7/2 |    8 |          6.73026350             |          0.00000025  |          |  98                                  :     2  3d5.(4G).4p2            4G    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3F1).4s          | d 2F    |  5/2 |    6 |          6.8030800              |          0.0000004   |          |  79                                  :    20  3d6.(3F2).4s            2F    | L18349,L18361c138
                      |         |  7/2 |    8 |          6.8072583              |          0.0000004   |          |  78                                  :    21  3d6.(3F2).4s            2F    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d5.4s2               | d 4P    |  5/2 |    6 |          7.11806748             |          0.00000025  |          |  91                                  :     6  3d5.4s2                 4D    | L18349,L18361c138
                      |         |  3/2 |    4 |          7.12826481             |          0.00000025  |          |  93                                  :     5  3d5.4s2                 4D    | L18349,L18361c138
                      |         |  1/2 |    2 |          7.1388229              |          0.0000004   |          |  96                                  :     2  3d5.(4P).4p2            4P    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(1G1).4s          | d 2G    |  9/2 |   10 |          7.2693948              |          0.0000006   |          |  65                                  :    34  3d6.(1G2).4s            2G    | L18349,L18361c138
                      |         |  7/2 |    8 |          7.2736817              |          0.0000005   |          |  65                                  :    34  3d6.(1G2).4s            2G    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3P2).4p          | z 4S*   |  3/2 |    4 |          7.3973238              |          0.0000004   |    1.89  |  41                                  :    21  3d6.(3P2).4p            4P*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
