---------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |          Level (eV) |   Landé | Reference
                     |        |     |      |                     |         |           
4d2.(3P).5s.5p.(1P*) | 3S*    |   1 |    3 |         7.5727904   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(3P*) | 1D*    |   2 |    5 |         7.5965745   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(1D).5s.5p.(3P*) | 3P*    |   2 |    5 |         7.6375396   |         |    L11823
                     |        |   1 |    3 |         7.7642323   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(1D).5s.5p.(3P*) | 3D*    |   1 |    3 |         7.6891484   |         |    L11823
                     |        |   2 |    5 |         7.7756089   |         |    L11823
                     |        |   3 |    7 |         7.9032712   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2F).5p          | 1F*    |   3 |    7 |         7.7229285   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(1D).5s.5p.(3P*) | 3F*    |   2 |    5 |         7.7336338   |         |    L11823
                     |        |   3 |    7 |         7.7772734   |         |    L11823
                     |        |   4 |    9 |         7.7887482   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(1G).5s.5p.(3P*) | 3G*    |   3 |    7 |         7.8497894   |         |    L11823
                     |        |   4 |    9 |         7.8938548   |         |    L11823
                     |        |   5 |   11 |         7.8978942   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2D1).5p         | 3D*    |   2 |    5 |         7.9804712   |         |    L11823
                     |        |   1 |    3 |         7.9814139   |         |    L11823
                     |        |   3 |    7 |         7.9904548   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(3P*) | 1G*    |   4 |    9 |         8.0445857   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2D1).5p         | 3F*    |   2 |    5 |         8.0888600   |         |    L11823
                     |        |   3 |    7 |         8.1311817   |         |    L11823
                     |        |   4 |    9 |         8.1865289   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(1G).5s.5p.(3P*) | 3H*    |   4 |    9 |         8.1256279   |         |    L11823
                     |        |   5 |   11 |         8.1693009   |         |    L11823
