--------------------------------------------------------------------------------
Configuration      | Term   |    J |           Level (eV) |   Landé | Reference
3s2.3p4.(1D<2>).4f | 2[1]*  |  1/2 |        25.86208739   |         |    L15349
                   |        |  3/2 |        25.86213670   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).4f | 2[5]*  | 11/2 |        25.88831342   |         |    L15349
                   |        |  9/2 |        25.88831388   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7p | 2[2]*  |  5/2 |        25.9020759    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).4f | 2[2]*  |  5/2 |        25.90293530   |         |    L15349
                   |        |  3/2 |        25.90321055   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6d    | 2F     |  7/2 |        25.91464492   |         |    L15349
                   |        |  5/2 |        25.95946532   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).4f | 2[3]*  |  7/2 |        25.94352364   |         |    L15349
                   |        |  5/2 |        25.94387967   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).4f | 2[4]*  |  7/2 |        25.95459851   |         |    L15349
                   |        |  9/2 |        25.95463991   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).7p    | 1*     |  5/2 |        25.962013     |         |    L15349
                   |        |  3/2 |        25.962023     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6d    | 2D     |  3/2 |        25.96396700   |         |    L15349
                   |        |  5/2 |        26.0522694    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6d    | 2P     |  3/2 |        25.9867776    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6f | 2[4]*  |  9/2 |        26.0910930    |         |    L15349
                   |        |  7/2 |        26.0921165    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6f | 2[3]*  |  5/2 |        26.0942980    |         |    L15349
                   |        |  7/2 |        26.0959238    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6f | 2[2]*  |  3/2 |        26.1002891    |         |    L15349
                   |        |  5/2 |        26.1020359    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6f | 2[5]*  | 11/2 |        26.102613     |         |    L15349
                   |        |  9/2 |        26.1030054    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6f | 2[1]*  |  3/2 |        26.109201     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6g | 2[5]   | 11/2 |        26.11201770   |         |    L15349
                   |        |  9/2 |        26.11203373   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6g | 2[4]   |  9/2 |        26.1122347    |         |    L15349
                   |        |  7/2 |        26.11224062   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6g | 2[3]   |  5/2 |        26.1148060    |         |    L15349
                   |        |  7/2 |        26.1148139    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6h | 2[5]*  |  9/2 |        26.11562699   |         |    L15349
                   |        | 11/2 |        26.11562732   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6h | 2[6]*  | 11/2 |        26.1156855    |         |    L15349
                   |        | 13/2 |        26.11568664   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6g | 2[6]   | 13/2 |        26.11633472   |         |    L15349
                   |        | 11/2 |        26.11636948   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6h | 2[4]*  |  7/2 |        26.11689510   |         |    L15349
                   |        |  9/2 |        26.11689615   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6h | 2[7]*  | 13/2 |        26.11799294   |         |    L15349
                   |        | 15/2 |        26.11799467   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).6g | 2[2]   |  3/2 |        26.1183377    |         |    L15349
                   |        |  5/2 |        26.1183540    |         |    L15349
                   |        |      |                      |         |           
