------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed      |       Ritz        |      Rel. |    Aki     | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |Type|                 TP  |        Line  |
          |    Wavelength     |    Wavelength     |      Int. |   (s^-1)   |      |        (eV)         (eV)        |---------------------------------------|----------------------------------------|           |    |                Ref. |        Ref.  |
          |     Air (nm)      |     Air (nm)      |           |            |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term    | J    |           |    |                     |              |
Al I      |         209.192   |         209.191   |       g,a |            |      |     0.0138938  -      5.93886   | 3s2.3p                | 2P*     | 3/2 | 3s2.17d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al III    |                   |         209.2667  |           | 9.73e+07   | A+   |    17.818203   -     23.741019  | 2p6.4p                | 2P*     | 3/2 | 2p6.6s                | 2S      | 1/2  |   4 - 2   |    |                 c32 |              |
Al I      |         209.33    |         209.3352  |         1 |            |      |     4.0216501  -      9.94253   | 3s2.3d                | 2D      | 5/2 | 3s.3p.(3P*).5d        | 2D*     | 5/2  |   6 - 6   |    |                     |       L3514  |
Al I      |         209.408   |         209.407   |       g,a |            |      |     0.0138938  -      5.93276   | 3s2.3p                | 2P*     | 3/2 | 3s2.16d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al II     |         209.4264  |         209.4263  |       700 | 1.84e+08   | C+   |    11.846618   -     17.764921  | 3s.3d                 | 3D      | 3   | 3s.7f                 | 3F*     | 4    |   7 - 9   |    |          T6298c4,LS |       L4575  |
Al II     |         209.4744  |         209.4741  |       150 | 2.05e+07   | D    |    11.846618   -     17.763571  | 3s.3d                 | 3D      | 3   | 3s.7f                 | 3F*     | 3    |   7 - 7   |    |          T6298c4,LS |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al II     |         209.4790  |         209.4789  |       300 | 1.64e+08   | C+   |    11.846753   -     17.763571  | 3s.3d                 | 3D      | 2   | 3s.7f                 | 3F*     | 3    |   5 - 7   |    |          T6298c4,LS |       L4575  |
Al I      |         209.484   |         209.483   |       g,a |            |      |     0.0000000  -      5.91669   | 3s2.3p                | 2P*     | 1/2 | 3s2.14d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al II     |                   |         209.5049  |           | 8.10e+05   | E    |    11.846618   -     17.762699  | 3s.3d                 | 3D      | 3   | 3s.7f                 | 3F*     | 2    |   7 - 5   |    |          T6298c4,LS |              |
Al II     |         209.5100  |         209.5097  |       100 | 2.87e+07   | D    |    11.846753   -     17.762699  | 3s.3d                 | 3D      | 2   | 3s.7f                 | 3F*     | 2    |   5 - 5   |    |          T6298c4,LS |       L4575  |
Al II     |         209.5140  |         209.5138  |       200 | 1.55e+08   | C+   |    11.846869   -     17.762699  | 3s.3d                 | 3D      | 1   | 3s.7f                 | 3F*     | 2    |   3 - 5   |    |          T6298c4,LS |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         209.662   |         209.661   |       g,a |            |      |     0.0138938  -      5.92558   | 3s2.3p                | 2P*     | 3/2 | 3s2.15d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al I      |         209.875   |         209.874   |       g,a |            |      |     0.0000000  -      5.90569   | 3s2.3p                | 2P*     | 1/2 | 3s2.13d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al I      |         209.910   |         209.90558 |       g,a |            |      |     0.0138938  -     [5.918684] | 3s2.3p                | 2P*     | 3/2 | 3s2.16s               | 2S      | 1/2  |   4 - 2   |    |                     |        L130  |
Al II     |         209.9709  |         209.9706  |        80 |            |      |    11.821968   -     17.724930  | 3s.4s                 | 1S      | 0   | 3s.8p                 | 1P*     | 1    |   1 - 3   |    |                     |       L4575  |
Al I      |         209.979   |         209.977   |       g,a |            |      |     0.0138938  -      5.91669   | 3s2.3p                | 2P*     | 3/2 | 3s2.14d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         210.258   |         210.25540 |       g,a |            |      |     0.0000000  -     [5.894968] | 3s2.3p                | 2P*     | 1/2 | 3s2.14s               | 2S      | 1/2  |   2 - 2   |    |                     |        L130  |
Al I      |         210.285   |         210.28017 |       g,a |            |      |     0.0138938  -     [5.908167] | 3s2.3p                | 2P*     | 3/2 | 3s2.15s               | 2S      | 1/2  |   4 - 2   |    |                     |        L130  |
Al I      |         210.366   |         210.366   |       g,a |            |      |     0.0000000  -      5.89187   | 3s2.3p                | 2P*     | 1/2 | 3s2.12d               | 2D      | 3/2  |   2 - 4   |    |                     |        L130  |
Al I      |         210.371   |         210.369   |       g,a |            |      |     0.0138938  -      5.90569   | 3s2.3p                | 2P*     | 3/2 | 3s2.13d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
