----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |    g |               Level (eV) |     Uncertainty (eV) |           Landé | Leading percentages                                | Reference
2s2.2p.(2P*<1/2>).5g   | 2[7/2]*   |   3 |    7 |          10.71555632     |          0.00000010  |                 |  99                                                |       L20057
                       |           |   4 |    9 |          10.71555640     |          0.00000010  |                 |  99                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).5g   | 2[9/2]*   |   5 |   11 |          10.71561392     |          0.00000008  |                 |  99                                                |       L20057
                       |           |   4 |    9 |          10.71561397     |          0.00000008  |                 |  99                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5d              | 1F*       |   3 |    7 |          10.718336       |          0.000003    |                 |  92         :     4  2s2.2p.5d             3F*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).5f   | 2[7/2]    |   3 |    7 |          10.7208570      |          0.0000003   |                 |  96                                                |       L20057
                       |           |   4 |    9 |          10.72087948     |          0.00000020  |                 |  95         :     4  2s2.2p.(2P*<1/2>).5f  2[7/2]  |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).5f   | 2[5/2]    |   3 |    7 |          10.72248476     |          0.00000020  |                 |  93         :     7  2s2.2p.(2P*<1/2>).5f  2[5/2]  |       L20057
                       |           |   2 |    5 |          10.7224998      |          0.0000005   |                 |  93         :     7  2s2.2p.(2P*<1/2>).5f  2[5/2]  |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).5g   | 2[9/2]*   |   4 |    9 |          10.72284661     |          0.00000008  |                 |  99                                                |       L20057
                       |           |   5 |   11 |          10.72284682     |          0.00000010  |                 |  99                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).5f   | 2[9/2]    |   5 |   11 |          10.72314824     |          0.00000010  |                 | 100                                                |       L20057
                       |           |   4 |    9 |          10.72318939     |          0.00000013  |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).5g   | 2[7/2]*   |   3 |    7 |          10.72334733     |          0.00000009  |                 |  99                                                |       L20057
                       |           |   4 |    9 |          10.72334738     |          0.00000010  |                 |  99                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5d              | 1P*       |   1 |    3 |          10.7235719      |          0.0000019   |                 |  52         :    41  2s2.2p.6s             1P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).5g   | 2[11/2]*  |   5 |   11 |          10.72399464     |          0.00000009  |                 | 100                                                |       L20057
                       |           |   6 |   13 |          10.72399507     |          0.00000008  |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).5g   | 2[5/2]*   |   2 |    5 |          10.72443711     |          0.00000016  |                 | 100                                                |       L20057
                       |           |   3 |    7 |          10.72443720     |          0.00000014  |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).5f   | 2[3/2]    |   1 |    3 |          10.7244499      |          0.0000021   |                 | 100                                                |       L20057
                       |           |   2 |    5 |          10.7244785      |          0.0000010   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5d              | 3P*       |   2 |    5 |          10.7254655      |          0.0000003   |                 |  80         :    15  2s2.2p.6s             3P*     |       L20057
                       |           |   1 |    3 |          10.7270515      |          0.0000024   |                 |  87         :     7  2s2.2p.6s             3P*     |       L20057
                       |           |   0 |    1 |          10.727508       |          0.000004    |                 |  93         :     5  2s2.2p.6s             3P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6p              | 1P        |   1 |    3 |          10.775825       |          0.000004    |                 |  71         :    25  2s2.2p.6p             3D      |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6p              | 3D        |   1 |    3 |          10.781192       |          0.000003    |                 |  71         :    21  2s2.2p.6p             1P      |       L20057
                       |           |   2 |    5 |          10.782347       |          0.000003    |                 |  95                                                |       L20057
                       |           |   3 |    7 |          10.786912       |          0.000004    |                 |  98                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6p              | 3P        |   0 |    1 |          10.796222       |          0.000003    |                 |  98                                                |       L20057
                       |           |   1 |    3 |          10.7994122      |          0.0000024   |                 |  54         :    44  2s2.2p.6p             3S      |       L20057
