------------------------------------------------------------------------------------------------------------
Configuration        | Term    |    J |    g |       Level (eV) |   Uncertainty (eV) |    Landé | Reference
                     |         | 11/2 |   12 |       5.683281   |                    |   1.280  |          
                     |         |      |      |                  |                    |          |           
                     | 385*    |  3/2 |    4 |       4.779058   |                    |   1.359  |          
                     |         |      |      |                  |                    |          |           
                     | 387*    |  5/2 |    6 |       4.804853   |                    |   0.952  |          
                     |         |      |      |                  |                    |          |           
                     | 388*    |  1/2 |    2 |       4.816197   |                    |   0.460  |          
                     |         |      |      |                  |                    |          |           
                     | 389*    |  3/2 |    4 |       4.834681   |                    |   1.027  |          
                     |         |      |      |                  |                    |          |           
                     | 390*    |  5/2 |    6 |       4.842763   |                    |   1.054  |          
                     |         |      |      |                  |                    |          |           
                     | 392*    |  3/2 |    4 |       4.866760   |                    |   1.128  |          
                     |         |      |      |                  |                    |          |           
                     | 394*    |  9/2 |   10 |       4.887755   |                    |   1.143  |          
                     |         |  1/2 |    2 |       4.896153   |                    |   0.560  |          
                     |         |      |      |                  |                    |          |           
                     | 395*    |  7/2 |    8 |       4.90069    |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 396*    |  7/2 |    8 |       4.914887   |                    |   1.090  |          
                     |         |  5/2 |    6 |       4.920710   |                    |   0.930  |          
                     |         |      |      |                  |                    |          |           
                     | 397*    |  5/2 |    6 |       4.932900   |                    |   1.065  |          
                     |         |      |      |                  |                    |          |           
                     | 399*    |  7/2 |    8 |       4.951449   |                    |   1.295  |          
                     |         |      |      |                  |                    |          |           
                     | 402*    |  3/2 |    4 |       4.987886   |                    |   1.232  |          
                     |         |  1/2 |    2 |       4.989712   |                    |   1.056  |          
                     |         |      |      |                  |                    |          |           
                     | 403*    |  7/2 |    8 |       5.000658   |                    |   1.159  |          
                     |         |  3/2 |    4 |       5.00142    |                    |   0.956  |          
                     |         |      |      |                  |                    |          |           
                     | 407*    |  7/2 |    8 |       5.053088   |                    |   1.134  |          
                     |         |      |      |                  |                    |          |           
                     | 408*    |  5/2 |    6 |       5.064954   |                    |   1.265  |          
                     |         |      |      |                  |                    |          |           
                     | 409*    |  7/2 |    8 |       5.081094   |                    |   1.245  |          
                     |         |      |      |                  |                    |          |           
                     | 410*    |  5/2 |    6 |       5.084601   |                    |   1.227  |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(5F).7s       | e 6F    |  1/2 |    2 |       5.102106   |                    |  -0.657  |          
                     |         |  3/2 |    4 |       5.157102   |                    |   0.996  |          
                     |         |  5/2 |    6 |       5.269526   |                    |   1.250  |          
                     |         |  7/2 |    8 |       5.453126   |                    |   1.433  |          
                     |         |  9/2 |   10 |       5.658246   |                    |   1.411  |          
                     |         | 11/2 |   12 |       5.866879   |                    |   1.434  |          
                     |         |      |      |                  |                    |          |           
