-----------------------------------------------------------------------------------------------------------------------------------------
Configuration       | Term   |    J |                   Level    |  Landé | Leading percentages                            | Reference
3d2.(1D).4d         | 2G     |  9/2 |             9.2874154      |        |                                                |      L17885
                    |        |  7/2 |             9.28776442     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1D).4d         | 2D     |  3/2 |             9.40111579     |        |                                                |      L17885
                    |        |  5/2 |             9.4204862      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4d         | 4F     |  3/2 |             9.4582561      |        |                                                |      L17885
                    |        |  5/2 |             9.4613881      |        |                                                |      L17885
                    |        |  7/2 |             9.47751509     |        |                                                |      L17885
                    |        |  9/2 |             9.48432269     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4d         | 4D     |  1/2 |             9.4595345      |        |                                                |      L17885
                    |        |  7/2 |             9.46559801     |        |                                                |      L17885
                    |        |  3/2 |             9.46727486     |        |                                                |      L17885
                    |        |  5/2 |             9.47335474     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1G).5s         | 2G     |  7/2 |             9.4970026      |        |                                                |      L17885
                    |        |  9/2 |             9.49717172     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4d         | 2F     |  5/2 |             9.58835174     |        |                                                |      L17885
                    |        |  7/2 |             9.5912959      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4d         | 4P     |  3/2 |             9.63867792     |        |                                                |      L17885
                    |        |  1/2 |             9.64014330     |        |                                                |      L17885
                    |        |  5/2 |             9.64693595     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4d         | 2P     |  1/2 |             9.66301150     |        |                                                |      L17885
                    |        |  3/2 |             9.67797109     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4d         | 2D     |  5/2 |             9.73820108     |        |                                                |      L17885
                    |        |  3/2 |             9.74464178     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1G).4d         | 2G     |  7/2 |             9.9282079      |        |                                                |      L17885
                    |        |  9/2 |             9.93276100     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1D).5p         | 2F*    |  5/2 |             9.94208482     |        |                                                |      L17885
                    |        |  7/2 |             9.95197245     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
