-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |         Rel. |    Aki     | Acc. |     Ei           Ek     |           Lower level           |           Upper level           |  gi   gk  |Type|    TP  |            Line  |
          |    Wavelength    |    Wavelength    |         Int. |   (s^-1)   |      |    (eV)         (eV)    |---------------------------------|---------------------------------|           |    |   Ref. |            Ref.  |
          |     Air (nm)     |     Air (nm)     |              |            |      |                         | Conf.           | Term   | J    | Conf.           | Term   | J    |           |    |        |                  |
Ta II     |        243.359   |                  |          130 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        243.651   |                  |          130 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        243.707   |        243.7278+ |          110 |            |      |  2.575439  -   7.660892 | 5d2.6s2.(3P).6p | z 2D*  | 3/2  |                 | 617    | 3/2  |   4 - 4   |    |        |           L3475  |
Ta II     |        243.864   |                  |          110 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        243.991   |        243.991+  |          200 |            |      |  0.249221  -   5.32919  | 5d3.6s2         | a 4F   | 5/2  |                 | 429*   | 5/2  |   6 - 6   |    |        |           L3475  |
Ta I      |        244.239   |        244.2390+ |          130 |            |      |  0.696920  -   5.771728 | 5d3.6s2         | a 4F   | 9/2  |                 | 465*   | 11/2 |  10 - 12  |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        244.413   |                  |          100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        244.717   |        244.7143+ |          100 |            |      |  0.000000  -   5.064954 | 5d3.6s2         | a 4F   | 3/2  |                 | 408*   | 5/2  |   4 - 6   |    |        |           L3475  |
Ta I      |        245.448   |        245.4481+ |          100 |            |      |  0.491463  -   5.541275 | 5d3.6s2         | a 4F   | 7/2  |                 | 4469*  | 7/2  |   8 - 8   |    |        |           L3475  |
Ta I      |        245.868   |                  |          100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        246.055   |        246.055+  |          100 |            |      |  1.147279  -   6.18464? | 5d3.6s2         | a 4P   | 5/2  |                 | 498*   | 7/2  |   6 - 8   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        246.382   |                  |          160 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        246.699   |                  |          130 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        246.737   |                  |          130 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        247.090   |                  |          380 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        247.138   |                  |          120 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        247.213   |        247.2135+ |          120 |            |      |  0.491463  -   5.505216 | 5d3.6s2         | a 4F   | 7/2  |                 | 444*   | 9/2  |   8 - 10  |    |        |           L3475  |
Ta I      |        247.313   |        247.3124+ |          150 |            |      |  0.491463  -   5.503212 | 5d3.6s2         | a 4F   | 7/2  |                 | 443*   | 5/2  |   8 - 6   |    |        |           L3475  |
Ta II     |        247.331   |                  |          120 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        247.462   |        247.4621+ |         600* |            |      |  2.230939  -   7.239655 |                 | 179*   | 5/2  |                 | 583    | 3/2  |   6 - 4   |    |        |           L3475  |
Ta I      |        247.462   |        247.4619+ |         600* |            |      |  0.249221  -   5.257942 | 5d3.6s2         | a 4F   | 5/2  |                 | 424*   | 3/2  |   6 - 4   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        247.533   |        247.5322+ |          120 |            |      |  1.209958  -   6.217256 | 5d4.(5D).6s     | a 6D   | 1/2  |                 | 501*   | 3/2  |   2 - 4   |    |        |           L3475  |
Ta II     |        247.667   |                  |          200 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        247.822   |        247.823+  |          150 |            |      |  0.000000  -   5.00142  | 5d3.6s2         | a 4F   | 3/2  |                 | 403*   | 3/2  |   4 - 4   |    |        |           L3475  |
Ta II     |        248.186   |                  |          120 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        248.210   |        248.2122+ |          100 |            |      |  1.203314  -   6.196894 | 5d3.6s2         | a 2G   | 7/2  |                 | 499*   | 5/2  |   8 - 6   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        248.258   |                  |          100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        248.404   |                  |          100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        248.495   |        248.4956+ |          500 |            |      |  0.000000  -   4.987886 | 5d3.6s2         | a 4F   | 3/2  |                 | 402*   | 3/2  |   4 - 4   |    |        |           L3475  |
Ta I      |        248.670   |        248.6709+ |          120 |            |      |  0.491463  -   5.475834 | 5d3.6s2         | a 4F   | 7/2  |                 | 441*   | 7/2  |   8 - 8   |    |        |           L3475  |
Ta II     |        248.870   |                  |          600 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        249.046   |                  |          500 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
