------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |            Level (eV) |     Uncertainty (eV) |  Landé | Leading percentages                                                           | Reference
3d9.(2D<3/2>).4f     | 2[9/2]*   |   5 |   11 |         17.1177911    |          0.0000003   |        |  99                                    :     1  3d8.4s.4p                     |        L19804
                     |           |   4 |    9 |         17.1189423    |          0.0000003   |        |  98                                    :     1  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).4f     | 2[5/2]*   |   3 |    7 |         17.12600346   |          0.00000021  |        |  97                                    :     1  3d9.(2D<3/2>).4f     2[7/2]*  |        L19804
                     |           |   2 |    5 |         17.13174953   |          0.00000025  |        |  89                                    :     7  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).4f     | 2[7/2]*   |   4 |    9 |         17.13707847   |          0.00000021  |        |  98                                    :                                      |        L19804
                     |           |   3 |    7 |         17.14225130   |          0.00000024  |        |  93                                    :     1  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).6p     | 2[7/2]*   |   3 |    7 |         17.1596554    |          0.0000004   |        |  62                                    :    29  3d8.4s.4p                     |        L19804
                     |           |   4 |    9 |         17.2828746    |          0.0000005   |        |  59                                    :    37  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3P).4s.4p.(3P*) | 3S*       |   1 |    3 |         17.173856     |          0.000004    |        |  97                                                                           |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
