------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed    |  Unc.   |      Ritz      |  Unc.   |           Rel. |    Aki     | Acc. |       Ei           Ek       |          Lower level           |           Upper level           |  gi   gk  |Type|    TP  |        Line  |
          |   Wavelength   |   (nm)  |   Wavelength   |   (nm)  |           Int. |   (s^-1)   |      |      (eV)         (eV)      |--------------------------------|---------------------------------|           |    |   Ref. |        Ref.  |
          |    Air (nm)    |         |    Air (nm)    |         |                |            |      |                             | Conf.           | Term   | J   | Conf.           | Term    | J   |           |    |        |              |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb IV     |       224.9959 |  0.0005 |       224.9960 |  0.0004 |        8000000 | 1.19e+08   | C+   |   6.525283   -   12.034083  | 4d.5s           | 3D     | 2   | 4d.5p           | 1D*     | 2   |   5 - 5   |    |  T2192 |      L12094  |
Nb III    |       226.563  |  0.010  |                |         |             60 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       227.392  |  0.010  |                |         |             80 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       227.523  |  0.010  |                |         |            100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       227.936  |  0.010  |                |         |             80 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb III    |       228.151  |  0.010  |                |         |            100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       228.440  |  0.010  |                |         |             80 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       229.036  |  0.010  |                |         |            100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb II     |       229.568  |  0.010  |                |         |            370 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb II     |       230.208  |  0.010  |                |         |            280 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb III    |       230.478  |  0.010  |                |         |             60 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       230.992  |  0.010  |                |         |             50 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       231.330  |  0.010  |                |         |            100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb IV     |       231.4617 |  0.0005 |       231.4620 |  0.0004 |          50000 | 3.0e+08    | C+   |  23.783041   -   29.137963  | 4d.6p           | 1P*    | 1   | 4d.(2D<5/2>).5g | 2[3/2]  | 2   |   3 - 5   |    |  T2192 |      L12094  |
Nb III    |       233.022  |  0.010  |                |         |             50 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb III    |       233.809  |  0.010  |                |         |            100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       234.412  |  0.010  |                |         |             80 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
