---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |  Rel. |     Aki     | Acc. |         Ei           Ek         |             Lower level             |             Upper level              |  gi   gk  |Type|               TP  |          Line  |
          |    Wavelength    |    Wavelength    |  Int. |   (s^-1)    |      |        (eV)         (eV)        |-------------------------------------|--------------------------------------|           |    |              Ref. |          Ref.  |
          |     Air (nm)     |     Air (nm)     |       |             |      |                                 | Conf.                | Term  | J    | Conf.                 | Term  | J    |           |    |                   |                |
O II      |        210.1283  |        210.1283  |    12 | 6.86e+06    | C    |   26.2490332   -    32.147566   | 2s2.2p2.(3P).3p      | 2D*   | 5/2  | 2s2.2p2.(1D).4s       | 2D    | 5/2  |   6 - 6   |    |           T5723LS |        L10549  |
O II      |        210.2325  |        210.2324  |     6 |             |      |   25.6382317   -    31.533844   | 2s2.2p2.(3P).3p      | 4D*   | 3/2  | 2s2.2p2.(3P).4d       | 4F    | 3/2  |   4 - 4   |    |                   |        L10549  |
O II      |        210.4133  |        210.4128  |     6 |             |      |   25.6495861   -    31.540144   | 2s2.2p2.(3P).3p      | 4D*   | 5/2  | 2s2.2p2.(3P).4d       | 4F    | 5/2  |   6 - 6   |    |                   |        L10549  |
O II      |                  |        210.5584  |       |             |      |   25.6650366   -    31.551523   | 2s2.2p2.(3P).3p      | 4D*   | 7/2  | 2s2.2p2.(3P).4d       | 4F    | 7/2  |   8 - 8   |    |                   |         L7243  |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O IV      |                  |        210.619   |       | 1.26e+07    | B    |   68.1655      -    74.0503     | 2s.2p.(1P*).3p       | 2P    | 1/2  | 2p2.(3P).3p           | 2S*   | 1/2  |   2 - 2   |    |           T5109LS |                |
O II      |                  |        210.6381  |       |             |      |   25.6495861   -    31.533844   | 2s2.2p2.(3P).3p      | 4D*   | 5/2  | 2s2.2p2.(3P).4d       | 4F    | 3/2  |   6 - 4   |    |                   |         L7243  |
O IV      |                  |        210.899   |       | 2.51e+07    | B    |   68.1733      -    74.0503     | 2s.2p.(1P*).3p       | 2P    | 3/2  | 2p2.(3P).3p           | 2S*   | 1/2  |   4 - 2   |    |           T5109LS |                |
O II      |                  |        210.9662  |       |             |      |   25.6650366   -    31.540144   | 2s2.2p2.(3P).3p      | 4D*   | 7/2  | 2s2.2p2.(3P).4d       | 4F    | 5/2  |   8 - 6   |    |                   |         L7243  |
O IV      |                  |        211.028   |       | 8.79e+07    | B    |   72.4738      -    78.3472     | 2s.2p.(3P*).4p       | 2D    | 3/2  | 2p2.(1D).3p           | 2D*   | 3/2  |   4 - 4   |    |           T5109LS |                |
