--------------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |        Level (eV) |   Uncertainty (eV) |    Landé | Reference
                   |        |  9/2 |   10 |        8.231492   |                    |          |              
                   |        | 11/2 |   12 |        8.275167   |                    |    1.209 |              
                   |        |      |      |                   |                    |          |               
                   | 3*     |  7/2 |    8 |        8.162033   |                    |    1.070 |              
                   |        |      |      |                   |                    |          |               
4d4.(3D).5p        | w 4D*  |  1/2 |    2 |        8.229284   |                    |          |              
                   |        |  3/2 |    4 |        8.232481   |                    |    1.075 |              
                   |        |  5/2 |    6 |        8.265776   |                    |    1.289 |              
                   |        |  7/2 |    8 |        8.271772   |                    |    1.436 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 1G).5p      | x 2F*  |  7/2 |    8 |        8.355471   |                    |    1.130 |              
                   |        |  5/2 |    6 |        8.388539   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(3D).5p        | x 4P*  |  5/2 |    6 |        8.395332   |                    |    1.426 |              
                   |        |  3/2 |    4 |        8.485684   |                    |    1.535 |              
                   |        |  1/2 |    2 |        8.561078   |                    |    2.410 |              
                   |        |      |      |                   |                    |          |               
4d4.(3G).5p        | x 2G*  |  7/2 |    8 |        8.401206   |                    |    0.921 |              
                   |        |  9/2 |   10 |        8.437431   |                    |    1.150 |              
                   |        |      |      |                   |                    |          |               
4d4.(3D).5p        | w 4F*  |  3/2 |    4 |        8.408807   |                    |          |              
                   |        |  5/2 |    6 |        8.432899   |                    |          |              
                   |        |  7/2 |    8 |        8.453205   |                    |          |              
                   |        |  9/2 |   10 |        8.471034   |                    |    1.250 |              
                   |        |      |      |                   |                    |          |               
4d4.(1I).5p        | z 2K*  | 13/2 |   14 |        8.417145   |                    |    0.933 |              
                   |        | 15/2 |   16 |        8.560793   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(1I).5p        | y 2I*  | 11/2 |   12 |        8.489550   |                    |          |              
                   |        | 13/2 |   14 |        8.543577   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(3D).5p        | y 2P*  |  1/2 |    2 |        8.510957   |                    |    0.768 |              
                   |        |  3/2 |    4 |        8.542858   |                    |    1.420 |              
                   |        |      |      |                   |                    |          |               
4d4.(3D).5p        | w 2F*  |  5/2 |    6 |        8.645406   |                    |    0.885 |              
                   |        |  7/2 |    8 |        8.691484   |                    |    1.075 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 1G).5p      | x 2H*  |  9/2 |   10 |        8.679370   |                    |          |              
                   |        | 11/2 |   12 |        8.762034   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(a 1D).5p      | x 2D*  |  5/2 |    6 |        8.767307   |                    |          |              
                   |        |  3/2 |    4 |        8.770394   |                    |    0.946 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 1G).5p      | w 2G*  |  9/2 |   10 |        8.804267   |                    |          |              
                   |        |  7/2 |    8 |        8.826873   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(1I).5p        | w 2H*  | 11/2 |   12 |        8.870643   |                    |          |              
                   |        |  9/2 |   10 |        8.916971   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(a 1S).5p      | x 2P*  |  1/2 |    2 |        8.922684   |                    |    0.670 |              
                   |        |  3/2 |    4 |        9.077995   |                    |    1.082 |              
                   |        |      |      |                   |                    |          |               
4d4.(3D).5p        | w 2D*  |  3/2 |    4 |        8.931698   |                    |    1.086 |              
                   |        |  5/2 |    6 |        9.029722   |                    |    1.156 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 1D).5p      | v 2F*  |  5/2 |    6 |        8.986894   |                    |          |              
                   |        |  7/2 |    8 |        9.054849   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(a 1D).5p      | w 2P*  |  1/2 |    2 |        9.118635   |                    |          |              
                   |        |  3/2 |    4 |        9.181076   |                    |    1.289 |              
                   |        |      |      |                   |                    |          |               
4d4.(1F).5p        | u 2F*  |  5/2 |    6 |        9.192994   |                    |          |              
                   |        |  7/2 |    8 |        9.235774   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(b 3F).5p      | t 2F*  |  7/2 |    8 |        9.267763   |                    |          |              
                   |        |  5/2 |    6 |        9.289661   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(b 3F).5p      | w 4G*  |  5/2 |    6 |        9.281316   |                    |          |              
                   |        |  7/2 |    8 |        9.402263   |                    |          |              
                   |        |  9/2 |   10 |        9.495280   |                    |          |              
                   |        | 11/2 |   12 |        9.629099   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(1F).5p        | v 2G*  |  7/2 |    8 |                   |                    |          |              
                   |        |  9/2 |   10 |        9.383825   |                    |    1.140 |              
                   |        |      |      |                   |                    |          |               
4d4.(b 3F).5p      | v 4F*  |  3/2 |    4 |                   |                    |          |              
                   |        |  5/2 |    6 |        9.399319?  |                    |          |              
                   |        |  9/2 |   10 |        9.501824   |                    |          |              
                   |        |  7/2 |    8 |        9.505500   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(b 3P).5p      | v 2D*  |  3/2 |    4 |                   |                    |          |              
                   |        |  5/2 |    6 |        9.400457   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(b 3P).5p      | 4D*    |  3/2 |    4 |                   |                    |          |              
                   |        |  1/2 |    2 |                   |                    |          |              
                   |        |  5/2 |    6 |        9.448410   |                    |          |              
                   |        |  7/2 |    8 |        9.463094   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(1F).5p        | u 2D*  |  3/2 |    4 |                   |                    |          |              
                   |        |  5/2 |    6 |        9.970877   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(b 3F).5p      | u 2G*  |  7/2 |    8 |       10.108056   |                    |          |              
                   |        |  9/2 |   10 |       10.235751   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(b 1G).5p      | t 2G*  |  9/2 |   10 |       10.329729   |                    |          |              
                   |        |  7/2 |    8 |       10.399069   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(b 1G).5p      | v 2H*  |  9/2 |   10 |       10.410318   |                    |          |              
                   |        | 11/2 |   12 |       10.476231   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(b 1G).5p      | s 2F*  |  5/2 |    6 |                   |                    |          |              
                   |        |  7/2 |    8 |       10.732846   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(b 3F).5p      | t 2D*  |  5/2 |    6 |       10.748614   |                    |          |              
                   |        |  3/2 |    4 |       10.790791   |                    |          |              
-------------------|--------|------|------|-------------------|--------------------|----------|---------------
-------------------|--------|------|------|-------------------|--------------------|----------|---------------
Mo III (4d4 5D<0>) | Limit  |  --- |      |      [16.16]      |              0.12  |          | L10502,L17501
--------------------------------------------------------------------------------------------------------------
