----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |   Rel. |    Aki     | Acc. |        Ei           Ek         |          Lower level          |              Upper level              |  gi   gk  |Type|                   TP  |   Line  |
          |   Wavelength    |   Wavelength    |   Int. |   (s^-1)   |      |       (eV)         (eV)        |-------------------------------|---------------------------------------|           |    |                  Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |        |            |      |                                | Conf.            | Term | J   | Conf.                 | Term    | J   |           |    |                       |         |
Cl I      |        579.9914 |                 |     45 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        585.6742 |                 |     30 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        594.858  |                 |  100bl |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        601.9812 |                 |     50 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        608.261  |                 |     35 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl II     |        609.469  |        609.468  |   1900 | 5.3e+07    | D    |  16.002264    -    18.036001   | 3s2.3p3.(2D*).4s | 1D*  | 2   | 3s2.3p3.(2D*).4p      | 1P      | 1   |   5 - 3   |    |               T1619CA |  L1617  |
Cl I      |        611.443  |                 |    160 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        614.0245 |                 |    200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl II     |                 |        616.184  |        | 2.29e+00   | C    |   1.444860    -     3.456434   | 3s2.3p4          | 1D   | 2   | 3s2.3p4               | 1S      | 0   |   5 - 1   | E2 |                  T761 |         |
Cl I      |        619.4757 |                 |    160 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        639.866  |                 |    160 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl II     |                 |        639.940  |        | 4.0e+06    | E    |  18.103522    -    20.040420   | 3s2.3p3.(2P*).3d | 3P*  | 2   | 3s2.3p3.(4S*).5p      | 3P      | 2   |   5 - 5   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        643.4833 |                 |    150 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        653.143  |                 |    150 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl II     |        666.167  |                 |   1400 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl I      |        667.843  |                 |    150 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl II     |        668.602  |                 |   1300 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        671.341  |                 |   1200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |                 |        675.938  |        | 1.3e+07    | E    |  17.853487    -    19.687234   | 3s2.3p3.(2P*).3d | 3F*  | 4   | 3s2.3p3.(2P*).4p      | 3D      | 3   |   9 - 7   |    |            T1619CA,LS |         |
Cl I      |        684.029  |                 |    150 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl II     |                 |        684.188  |        | 1.1e+06    | E    |  17.875598    -    19.687234   | 3s2.3p3.(2P*).3d | 3F*  | 3   | 3s2.3p3.(2P*).4p      | 3D      | 3   |   7 - 7   |    |            T1619CA,LS |         |
Cl II     |                 |        685.017  |        | 1.2e+07    | E    |  17.875598    -    19.685043   | 3s2.3p3.(2P*).3d | 3F*  | 3   | 3s2.3p3.(2P*).4p      | 3D      | 2   |   7 - 5   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        692.201  |        | 3.1e+04    | E    |  17.896569    -    19.687234   | 3s2.3p3.(2P*).3d | 3F*  | 2   | 3s2.3p3.(2P*).4p      | 3D      | 3   |   5 - 7   |    |            T1619CA,LS |         |
Cl II     |                 |        693.049  |        | 1.5e+06    | E    |  17.896569    -    19.685043   | 3s2.3p3.(2P*).3d | 3F*  | 2   | 3s2.3p3.(2P*).4p      | 3D      | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl I      |        693.2903 |                 |    300 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl II     |                 |        695.219  |        | 1.3e+07    | E    |  17.896569    -    19.679461   | 3s2.3p3.(2P*).3d | 3F*  | 2   | 3s2.3p3.(2P*).4p      | 3D      | 1   |   5 - 3   |    |            T1619CA,LS |         |
Cl I      |        698.1886 |                 |    300 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        708.6814 |                 |    600 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        725.662  |        725.6618 |   7500 | 1.5e+07    | D    |   8.9217000   -    10.6297965  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).4p       | 4S*     | 3/2 |   6 - 4   |    |                 T8043 |   L298  |
Cl IV     |                 |        726.14   |        | 2.2e-05    | D    |   0.00000     -     1.70696    | 3s2.3p2          | 3P   | 0   | 3s2.3p2               | 1D      | 2   |   1 - 5   | E2 |                  T761 |         |
Cl IX     |                 |        733.5    |        | 4.52e+01   | A    |   0.0000      -     1.6898     | 2s2.2p5          | 2P*  | 3/2 | 2s2.2p5               | 2P*     | 1/2 |   4 - 2   | M1 |                  T335 |         |
Cl I      |        741.411  |        741.4118 |   5000 | 4.7e+06    | D    |   8.9217000   -    10.5935112  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).4p       | 2P*     | 3/2 |   6 - 4   |    |                 T1277 |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        746.2370 |                 |    550 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        748.947  |                 |    550 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        749.2118 |                 |    700 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl IV     |                 |        753.054  |        | 8.0e-02    | C    |   0.06100     -     1.70696    | 3s2.3p2          | 3P   | 1   | 3s2.3p2               | 1D      | 2   |   3 - 5   | M1 |             T335,T761 |         |
Cl IV     |                 |        753.054  |        | 1.5e-04    | D    |   0.06100     -     1.70696    | 3s2.3p2          | 3P   | 1   | 3s2.3p2               | 1D      | 2   |   3 - 5   | E2 |                  T761 |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        754.7072 |        754.7073 |  11000 | 1.2e+07    | D    |   8.9874370   -    10.6297965  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).4p       | 4S*     | 3/2 |   4 - 4   |    |                 T8043 |   L298  |
Cl I      |        767.242  |                 |   2300 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        770.2828 |        770.2829 |    450 | 5.4e+05    | E    |  10.2806325   -    11.8897827  | 3s2.3p4.(3P).4p  | 4P*  | 5/2 | 3s2.3p4.(3P<2>).4d    | 2[2]    | 3/2 |   6 - 4   |    |               T1277LS |   L298  |
Cl I      |        771.7581 |        771.7582 |   7000 | 3.0e+06    | D    |   8.9874370   -    10.5935112  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).4p       | 2P*     | 3/2 |   4 - 4   |    |                 T1277 |   L298  |
Cl I      |        774.497  |        774.4970 |  10000 | 6.3e+06    | C    |   9.0294019   -    10.6297965  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).4p       | 4S*     | 3/2 |   2 - 4   |    |                 T8043 |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        776.916  |        776.9163 |   2200 | 6.0e+06    | D    |  10.2806325   -    11.8760437  | 3s2.3p4.(3P).4p  | 4P*  | 5/2 | 3s2.3p4.(3P<2>).4d    | 2[2]    | 5/2 |   6 - 6   |    |                 T8043 |   L298  |
Cl I      |        777.109  |        777.1094 |    650 | 2.4e+06    | E    |  10.3069180   -    11.9019327  | 3s2.3p4.(3P).4p  | 4P*  | 3/2 | 3s2.3p4.(3P<2>).4d    | 2[1]    | 1/2 |   4 - 2   |    |               T1277LS |   L298  |
Cl I      |        782.136  |        782.1361 |   2200 | 9.8e+06    | D    |  10.2806325   -    11.8653962  | 3s2.3p4.(3P).4p  | 4P*  | 5/2 | 3s2.3p4.(3P<2>).4d    | 2[3]    | 7/2 |   6 - 8   |    |                 T8043 |   L298  |
Cl I      |        783.075  |        783.0745 |   1700 | 9.7e+06    | D    |  10.3069180   -    11.8897827  | 3s2.3p4.(3P).4p  | 4P*  | 3/2 | 3s2.3p4.(3P<2>).4d    | 2[2]    | 3/2 |   4 - 4   |    |                 T8043 |   L298  |
Cl I      |        787.822  |        787.8217 |   3000 | 1.8e+06    | D    |   8.9217000   -    10.4950268  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).4p       | 2D*     | 5/2 |   6 - 6   |    |                 T1277 |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        789.334  |                 |    220 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        789.931  |        789.9310 |   2300 | 5.1e+06    | D    |  10.3069180   -    11.8760437  | 3s2.3p4.(3P).4p  | 4P*  | 3/2 | 3s2.3p4.(3P<2>).4d    | 2[2]    | 5/2 |   4 - 6   |    |                 T8043 |   L298  |
Cl I      |        791.508  |        791.5082 |   1800 | 6.1e+06    | D    |  10.3359337   -    11.9019327  | 3s2.3p4.(3P).4p  | 4P*  | 1/2 | 3s2.3p4.(3P<2>).4d    | 2[1]    | 1/2 |   2 - 2   |    |               T1277LS |   L298  |
Cl I      |        792.4645 |        792.4645 |   3000 | 2.1e+06    | D    |   9.0294019   -    10.5935112  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).4p       | 2P*     | 3/2 |   2 - 4   |    |                 T1277 |   L298  |
Cl I      |        793.389  |                 |   2100 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        793.5012 |        793.5012 |   1700 | 3.9e+06    | D    |  10.4310711   -    11.9931368  | 3s2.3p4.(3P).4p  | 4D*  | 5/2 | 3s2.3p4.(3P<2>).4d    | 2[4]    | 7/2 |   6 - 8   |    |                 T8043 |   L298  |
Cl I      |        795.252  |                 |    650 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        797.472  |                 |   1500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        797.697  |        797.6972 |   1300 | 4.1e+06    | D    |  10.3359337   -    11.8897827  | 3s2.3p4.(3P).4p  | 4P*  | 1/2 | 3s2.3p4.(3P<2>).4d    | 2[2]    | 3/2 |   2 - 4   |    |               T1277LS |   L298  |
Cl I      |        798.060  |        798.0597 |    600 | 1.6e+06    | E    |   8.9217000   -    10.4748433  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).4p       | 4D*     | 3/2 |   6 - 4   |    |     T1277n,T1619CA,LS |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        799.785  |        799.7857 |   2900 | 2.1e+06    | D    |   8.9874370   -    10.5372286  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).4p       | 2D*     | 3/2 |   4 - 4   |    |                 T1277 |   L298  |
Cl I      |        801.561  |                 |   2200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        802.333  |                 |   1100 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl IV     |                 |        804.562  |        | 1.96e-01   | C    |   0.16637     -     1.70696    | 3s2.3p2          | 3P   | 2   | 3s2.3p2               | 1D      | 2   |   5 - 5   | M1 |             T335,T761 |         |
Cl IV     |                 |        804.562  |        | 7.7e-04    | D    |   0.16637     -     1.70696    | 3s2.3p2          | 3P   | 2   | 3s2.3p2               | 1D      | 2   |   5 - 5   | E2 |                  T761 |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        805.107  |                 |    400 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        808.451  |        808.4509 |   1700 | 4.2e+06    | E    |  10.4295834   -    11.9627639  | 3s2.3p4.(1D).4s  | 2D   | 5/2 | 3s2.3p4.(1D).4p       | 2D*     | 3/2 |   6 - 4   |    |      T1277,T1619CA,LS |   L298  |
Cl I      |        808.556  |        808.5561 |   2200 | 3.8e+07    | D    |  10.4297829   -    11.9627639  | 3s2.3p4.(1D).4s  | 2D   | 3/2 | 3s2.3p4.(1D).4p       | 2D*     | 3/2 |   4 - 4   |    |      T1277,T1619CA,LS |   L298  |
Cl I      |        808.667  |        808.6673 |   3000 | 4.0e+07    | D    |  10.4295834   -    11.9623537  | 3s2.3p4.(1D).4s  | 2D   | 5/2 | 3s2.3p4.(1D).4p       | 2D*     | 5/2 |   6 - 6   |    |      T1277,T1619CA,LS |   L298  |
Cl I      |        808.773  |        808.7725 |   1300 | 2.8e+06    | E    |  10.4297829   -    11.9623537  | 3s2.3p4.(1D).4s  | 2D   | 3/2 | 3s2.3p4.(1D).4p       | 2D*     | 5/2 |   4 - 6   |    |      T1277,T1619CA,LS |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        809.467  |                 |    250 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        819.442  |        819.4422 |   2500 | 5.0e+06    | E    |   8.9874370   -    10.5000528  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).4p       | 4D*     | 1/2 |   4 - 2   |    |               T1277LS |   L298  |
Cl I      |        819.913  |                 |   2200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        820.021  |                 |   2200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        820.378  |                 |    800 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        821.204  |        821.2038 |  18000 | 7.9e+06    | D    |   8.9217000   -    10.4310711  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).4p       | 4D*     | 5/2 |   6 - 6   |    |               T1277LS |   L298  |
Cl I      |        822.045  |                 |   3000 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        822.174  |        822.1741 |  20000 |            |      |   8.9874370   -    10.4950268  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).4p       | 2D*     | 5/2 |   4 - 6   |    |                       |   L298  |
Cl I      |        833.331  |        833.3307 |  18000 | 1.6e+07    | D    |   8.9874370   -    10.4748433  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).4p       | 4D*     | 3/2 |   4 - 4   |    |     T1277n,T1619CA,LS |   L298  |
Cl II     |                 |        835.308  |        | 1.9e+06    | E    |  14.853347    -    16.337232   | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(4S*).4p      | 3P      | 2   |   5 - 5   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        836.071  |        836.070  |   1000 | 1.1e+07    | E    |  14.854698    -    16.337232   | 3s2.3p3.(4S*).3d | 3D*  | 3   | 3s2.3p3.(4S*).4p      | 3P      | 2   |   7 - 5   |    |            T1619CA,LS |  L1617  |
Cl II     |        836.184  |        836.184  |    560 | 9.6e+06    | E    |  14.853347    -    16.335677   | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(4S*).4p      | 3P      | 1   |   5 - 3   |    |            T1619CA,LS |  L1617  |
Cl I      |        837.594  |        837.5943 |  99900 | 2.8e+07    | D    |   8.9217000   -    10.4015349  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).4p       | 4D*     | 7/2 |   6 - 8   |    |     T1277n,T1619CA,LS |   L298  |
Cl II     |        838.267  |        838.267  |    180 | 1.3e+07    | E    |  14.858677    -    16.337325   | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(4S*).4p      | 3P      | 0   |   3 - 1   |    |            T1619CA,LS |  L1617  |
Cl II     |                 |        838.319  |        | 1.3e+05    | E    |  14.858677    -    16.337232   | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(4S*).4p      | 3P      | 2   |   3 - 5   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        839.202  |        839.202  |    100 | 3.2e+06    | E    |  14.858677    -    16.335677   | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(4S*).4p      | 3P      | 1   |   3 - 3   |    |            T1619CA,LS |  L1617  |
Cl I      |        840.6199 |                 |    400 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        842.825  |        842.8251 |  15000 | 2.4e+07    | D    |   9.0294019   -    10.5000528  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).4p       | 4D*     | 1/2 |   2 - 2   |    |               T1277LS |   L298  |
Cl III    |                 |        843.366  |        | 8.4e-02    | C    |   2.238220    -     3.707927   | 3s2.3p3          | 2D*  | 3/2 | 3s2.3p3               | 2P*     | 3/2 |   4 - 4   | E2 |                  T761 |         |
Cl III    |                 |        843.366  |        | 3.06e-01   | C    |   2.238220    -     3.707927   | 3s2.3p3          | 2D*  | 3/2 | 3s2.3p3               | 2P*     | 3/2 |   4 - 4   | M1 |                  T761 |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        846.734  |                 |   2200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl III    |                 |        848.086  |        | 1.69e-01   | C    |   2.246399    -     3.707927   | 3s2.3p3          | 2D*  | 5/2 | 3s2.3p3               | 2P*     | 3/2 |   6 - 4   | M1 |                  T761 |         |
Cl III    |                 |        848.086  |        | 1.95e-01   | C    |   2.246399    -     3.707927   | 3s2.3p3          | 2D*  | 5/2 | 3s2.3p3               | 2P*     | 3/2 |   6 - 4   | E2 |                  T761 |         |
Cl III    |                 |        850.001  |        | 1.65e-01   | C    |   2.238220    -     3.696455   | 3s2.3p3          | 2D*  | 3/2 | 3s2.3p3               | 2P*     | 1/2 |   4 - 2   | E2 |                  T761 |         |
Cl III    |                 |        850.001  |        | 1.86e-01   | C    |   2.238220    -     3.696455   | 3s2.3p3          | 2D*  | 3/2 | 3s2.3p3               | 2P*     | 1/2 |   4 - 2   | M1 |                  T761 |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        854.796  |        | 1.08e-01   | C    |   2.246399    -     3.696455   | 3s2.3p3          | 2D*  | 5/2 | 3s2.3p3               | 2P*     | 1/2 |   6 - 2   | E2 |                  T761 |         |
Cl I      |        855.044  |        855.0441 |   2200 | 1.9e+06    | D    |   9.2028320   -    10.6524665  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).4p       | 2S*     | 1/2 |   4 - 2   |    |                 T1277 |   L298  |
Cl I      |        857.524  |        857.5246 |  20000 | 1.2e+07    | D    |   9.0294019   -    10.4748433  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).4p       | 4D*     | 3/2 |   2 - 4   |    |               T1277LS |   L298  |
Cl I      |        857.802  |                 |    750 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl II     |                 |        857.870  |        | 5.5e-04    | D    |   0.000000    -     1.444860   | 3s2.3p4          | 3P   | 2   | 3s2.3p4               | 1D      | 2   |   5 - 5   | E2 |                  T761 |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        857.870  |        | 1.03e-01   | C    |   0.000000    -     1.444860   | 3s2.3p4          | 3P   | 2   | 3s2.3p4               | 1D      | 2   |   5 - 5   | M1 |             T335,T761 |         |
Cl I      |        858.597  |        858.5981 |  75000 | 1.9e+07    | D    |   8.9874370   -    10.4310711  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).4p       | 4D*     | 5/2 |   4 - 6   |    |     T1277n,T1619CA,LS |   L298  |
Cl I      |        862.854  |                 |    450 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        864.171  |                 |    300 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        868.626  |        868.6281 |   3500 | 3.9e+06    | D    |   9.2028320   -    10.6297965  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).4p       | 4S*     | 3/2 |   4 - 4   |    |                 T1277 |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        891.292  |                 |   2200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        894.806  |        894.8062 |   3000 | 1.2e+07    | D    |   8.9217000   -    10.3069180  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).4p       | 4P*     | 3/2 |   6 - 4   |    |            T1619CA,LS |   L298  |
Cl I      |        903.8982 |                 |   2000 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        904.543  |                 |   2500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        906.9656 |                 |   1000 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        907.317  |        907.3168 |   2000 | 1.9e+07    | D    |   9.2028320   -    10.5689499  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).4p       | 2P*     | 1/2 |   4 - 2   |    |            T1619CA,LS |   L298  |
Cl I      |        912.115  |        912.1143 |   7500 | 1.7e+07    | D    |   8.9217000   -    10.2806325  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).4p       | 4P*     | 5/2 |   6 - 6   |    |            T1619CA,LS |   L298  |
Cl II     |                 |        912.360  |        | 2.93e-02   | C    |   0.086293    -     1.444860   | 3s2.3p4          | 3P   | 1   | 3s2.3p4               | 1D      | 2   |   3 - 5   | M1 |             T335,T761 |         |
Cl II     |                 |        912.360  |        | 5.8e-05    | D    |   0.086293    -     1.444860   | 3s2.3p4          | 3P   | 1   | 3s2.3p4               | 1D      | 2   |   3 - 5   | E2 |                  T761 |         |
Cl I      |        919.1731 |        919.1731 |   3000 | 2.1e+07    | D    |   8.9874370   -    10.3359337  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).4p       | 4P*     | 1/2 |   4 - 2   |    |            T1619CA,LS |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        919.7596 |                 |    500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl X      |                 |        921.7    |        | 2.86e+01   | B    |   0.0000      -     1.3449     | 2s2.2p4          | 3P   | 2   | 2s2.2p4               | 3P      | 1   |   5 - 3   | M1 |                  T335 |         |
Cl X      |                 |        921.7    |        | 1.30e-04   | C    |   0.0000      -     1.3449     | 2s2.2p4          | 3P   | 2   | 2s2.2p4               | 3P      | 1   |   5 - 3   | E2 |             T335,T969 |         |
Cl I      |        928.886  |        928.8857 |   4000 | 4.4e+06    | E    |   9.2028320   -    10.5372286  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).4p       | 2D*     | 3/2 |   4 - 4   |    |            T1619CA,LS |   L298  |
Cl II     |                 |        938.083  |        | 1.2e-05    | D    |   0.123547    -     1.444860   | 3s2.3p4          | 3P   | 0   | 3s2.3p4               | 1D      | 2   |   1 - 5   | E2 |                  T761 |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        939.3862 |        939.3860 |   1500 | 3.1e+06    | E    |   8.9874370   -    10.3069180  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).4p       | 4P*     | 3/2 |   4 - 4   |    |            T1619CA,LS |   L298  |
Cl I      |        945.210  |                 |   3500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        948.6964 |        948.6964 |    500 | 3.9e+06    | E    |   9.0294019   -    10.3359337  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).4p       | 4P*     | 1/2 |   2 - 2   |    |            T1619CA,LS |   L298  |
Cl I      |        958.4801 |        958.4800 |   1000 | 6.6e+06    | D    |   8.9874370   -    10.2806325  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).4p       | 4P*     | 5/2 |   4 - 6   |    |            T1619CA,LS |   L298  |
Cl I      |        959.222  |        959.2222 |   3500 | 2.4e+07    | D    |   9.2028320   -    10.4950268  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).4p       | 2D*     | 5/2 |   4 - 6   |    |            T1619CA,LS |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        963.2509 |        963.2510 |    250 | 8.3e+06    | D    |   9.2821597   -    10.5689499  | 3s2.3p4.(3P).4s  | 2P   | 1/2 | 3s2.3p4.(3P).4p       | 2P*     | 1/2 |   2 - 2   |    |            T1619CA,LS |   L298  |
Cl I      |        970.2439 |        970.2438 |   1000 | 9.1e+06    | D    |   9.0294019   -    10.3069180  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).4p       | 4P*     | 3/2 |   2 - 4   |    |            T1619CA,LS |   L298  |
Cl I      |        974.4426 |                 |    250 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        980.7057 |                 |    200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        987.5970 |        987.5969 |    400 | 1.9e+07    | D    |   9.2821597   -    10.5372286  | 3s2.3p4.(3P).4s  | 2P   | 1/2 | 3s2.3p4.(3P).4p       | 2D*     | 3/2 |   2 - 4   |    |            T1619CA,LS |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |       1039.2549 |                 |    331 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl II     |       1043.283  |                 |     38 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |       1050.662  |                 |     10 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
