----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |   Rel. |    Aki     | Acc. |        Ei           Ek         |          Lower level          |              Upper level              |  gi   gk  |Type|                   TP  |   Line  |
          |   Wavelength    |   Wavelength    |   Int. |   (s^-1)   |      |       (eV)         (eV)        |-------------------------------|---------------------------------------|           |    |                  Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |        |            |      |                                | Conf.            | Term | J   | Conf.                 | Term    | J   |           |    |                       |         |
Cl III    |        100.528  |        100.5275 |    500 | 2.6e+09    | E    |   0.000000    -    12.333355   | 3s2.3p3          | 4S*  | 3/2 | 3s.3p4.(3P)           | 4P      | 1/2 |   4 - 2   |    |                T668LS |   L480  |
Cl III    |        100.878  |        100.8762 |    600 | 2.6e+09    | E    |   0.000000    -    12.290727   | 3s2.3p3          | 4S*  | 3/2 | 3s.3p4.(3P)           | 4P      | 3/2 |   4 - 4   |    |                T668LS |   L480  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        101.3664 |                 |    150 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl III    |        101.502  |        101.5019 |    700 | 2.5e+09    | E    |   0.000000    -    12.214965   | 3s2.3p3          | 4S*  | 3/2 | 3s.3p4.(3P)           | 4P      | 5/2 |   4 - 6   |    |                T668LS |   L480  |
Cl I      |        102.5553 |                 |     90 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl II     |        106.3831 |        106.3831 |   6000 | 4.77e+07   | C    |   0.000000    -    11.654500   | 3s2.3p4          | 3P   | 2   | 3s.3p5                | 3P*     | 1   |   5 - 3   |    |               T1220LS |  L1617  |
Cl II     |        106.7945 |        106.7944 |   3000 | 1.13e+08   | C    |   0.086293    -    11.695906   | 3s2.3p4          | 3P   | 1   | 3s.3p5                | 3P*     | 0   |   3 - 1   |    |               T1220LS |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        107.1036 |        107.1036 |   9000 | 8.4e+07    | C    |   0.000000    -    11.576102   | 3s2.3p4          | 3P   | 2   | 3s.3p5                | 3P*     | 2   |   5 - 5   |    |               T1220LS |  L1617  |
Cl II     |        107.1767 |        107.1767 |   6000 | 2.80e+07   | C    |   0.086293    -    11.654500   | 3s2.3p4          | 3P   | 1   | 3s.3p5                | 3P*     | 1   |   3 - 3   |    |               T1220LS |  L1617  |
Cl II     |        107.5230 |        107.5229 |   5000 | 3.69e+07   | C    |   0.123547    -    11.654500   | 3s2.3p4          | 3P   | 0   | 3s.3p5                | 3P*     | 1   |   1 - 3   |    |               T1220LS |  L1617  |
Cl II     |        107.9080 |        107.9080 |   5000 | 2.74e+07   | C    |   0.086293    -    11.576102   | 3s2.3p4          | 3P   | 1   | 3s.3p5                | 3P*     | 2   |   3 - 5   |    |               T1220LS |  L1617  |
Cl I      |        108.4667 |                 |    200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        108.5171 |                 |    200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |        108.5304 |                 |    250 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
