---------------------------------------------------------------------------------------
Configuration          | Term      |   J |            Level (eV) |   Landé | Reference
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).6d  | 2[3/2]*   |   2 |         15.5062612    |         |          
                       |           |   1 |         15.533516     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9p  | 2[3/2]    |   1 |         15.507030     |         |          
                       |           |   2 |         15.507341     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).6d  | 2[5/2]*   |   2 |         15.5120815    |         |          
                       |           |   3 |         15.5166145    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8d  | 2[1/2]*   |   1 |         15.5148656    |         |          
                       |           |   0 |         15.518227     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8d  | 2[7/2]*   |   4 |         15.5252749    |         |          
                       |           |   3 |         15.531428     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8d  | 2[3/2]*   |   2 |         15.533100     |         |          
                       |           |   1 |         15.58939      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8d  | 2[5/2]*   |   2 |         15.534133     |         |          
                       |           |   3 |         15.534435     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).10s | 2[3/2]*   |   2 |         15.538932     |         |          
                       |           |   1 |         15.539168     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).8s  | 2[1/2]*   |   0 |         15.539521     |         |          
                       |           |   1 |         15.541820     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8f  | 2[3/2]    |   1 |         15.54592      |         |          
                       |           |   2 |         15.545925     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8f  | 2[9/2]    |   4 |         15.5461       |         |          
                       |           |   5 |         15.546201     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8f  | 2[5/2]    |   3 |         15.546505     |         |          
                       |           |   2 |         15.546515     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8f  | 2[7/2]    |   4 |         15.546836     |         |          
                       |           |   3 |         15.546837     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).6f  | 2[7/2]    |   3 |         15.5578645    |         |          
                       |           |   4 |         15.557869     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).6f  | 2[5/2]    |   3 |         15.5579270    |         |          
                       |           |   2 |         15.5579539    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).6g  | 2[9/2]*   |   5 |         15.558869     |         |          
                       |           |   4 |         15.558869     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).6g  | 2[7/2]*   |   3 |         15.558880     |         |          
                       |           |   4 |         15.558880     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).10p | 2[1/2]    |   1 |         15.560694     |         |          
                       |           |   0 |         15.56768      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).10p | 2[5/2]    |   3 |         15.56247      |         |          
                       |           |   2 |         15.56289      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).10p | 2[3/2]    |   1 |         15.56393      |         |          
                       |           |   2 |         15.564211     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9d  | 2[1/2]*   |   0 |         15.571806     |         |          
                       |           |   1 |         15.574036     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9d  | 2[7/2]*   |   4 |         15.576338     |         |          
                       |           |   3 |         15.578861     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9d  | 2[3/2]*   |   2 |         15.577110     |         |          
                       |           |   1 |         15.587059     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9d  | 2[5/2]*   |   2 |         15.581278     |         |          
                       |           |   3 |         15.582381     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).11s | 2[3/2]*   |   2 |         15.585975     |         |          
                       |           |   1 |         15.586724     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9f  | 2[3/2]    |   2 |         15.590858     |         |          
                       |           |   1 |         15.590858     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9f  | 2[9/2]    |   5 |         15.591055     |         |          
                       |           |   4 |         15.591055     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9f  | 2[5/2]    |   3 |         15.59134      |         |          
                       |           |   2 |         15.59134      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9f  | 2[7/2]    |   3 |         15.591527     |         |          
                       |           |   4 |         15.591527     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).8p  | 2[1/2]    |   1 |         15.594400     |         |          
                       |           |   0 |         15.601121     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).8p  | 2[3/2]    |   1 |         15.595192     |         |          
                       |           |   2 |         15.596214     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).11p | 2[1/2]    |   1 |         15.60270      |         |          
                       |           |   0 |         15.60822      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).11p | 2[5/2]    |   2 |         15.60298      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).11p | 2[3/2]    |   1 |         15.60382      |         |          
                       |           |   2 |         15.603879     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).10d | 2[1/2]*   |   0 |         15.609082     |         |          
                       |           |   1 |         15.609434     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).10d | 2[3/2]*   |   2 |         15.610410     |         |          
                       |           |   1 |         15.61945      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).10d | 2[7/2]*   |   4 |         15.612396     |         |          
                       |           |   3 |         15.613644     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).10d | 2[5/2]*   |   2 |         15.615273     |         |          
                       |           |   3 |         15.616707     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).12s | 2[3/2]*   |   2 |         15.619450     |         |          
                       |           |   1 |         15.620065     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).10f | 2[3/2]    |   2 |         15.62305      |         |          
                       |           |   1 |         15.62305      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).10f | 2[5/2]    |   3 |         15.62329      |         |          
                       |           |   2 |         15.62329      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).7d  | 2[3/2]*   |   2 |         15.628592     |         |          
                       |           |   1 |         15.64208      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).7d  | 2[5/2]*   |   2 |         15.629998     |         |          
                       |           |   3 |         15.633110     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).12p | 2[1/2]    |   1 |         15.631010     |         |          
                       |           |   0 |         15.634608     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).12p | 2[5/2]    |   2 |         15.63185      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).12p | 2[3/2]    |   2 |         15.63256      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).11d | 2[1/2]*   |   1 |         15.634328     |         |          
                       |           |   0 |         15.636217     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).11d | 2[7/2]*   |   4 |         15.638791     |         |          
                       |           |   3 |         15.641168     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).11d | 2[3/2]*   |   2 |         15.641867     |         |          
                       |           |   1 |         15.64731      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).11d | 2[5/2]*   |   2 |         15.642146     |         |          
                       |           |   3 |         15.642246     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).13s | 2[3/2]*   |   2 |         15.644102     |         |          
                       |           |   1 |         15.64447      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).9s  | 2[1/2]*   |   0 |         15.647150     |         |          
                       |           |   1 |         15.648234     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).11f | 2[3/2]    |   1 |        [15.64823]     |         |          
                       |           |   2 |        [15.64823]     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).11f | 2[5/2]    |   3 |        [15.64823]     |         |          
                       |           |   2 |        [15.64823]     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).13p | 2[5/2]    |   2 |         15.65341      |         |          
                       |           |     |                       |         |           
