-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration       | Term   |    J |    g |           Level (eV) |     Uncertainty (eV) |    Landé | Leading percentages                                                    | Reference
                    |        |  9/2 |   10 |         4.4419377    |          0.0000006   |          |  24  5d4.(3F1).6s 4F                :    16  5d5                  2H   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  5/2 |    6 |         4.4541740    |          0.0000009   |          |  31  5d5 4F                         :    18  5d4.(3D).6s          2D   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  1/2 |    2 |         4.48393264   |          0.00000010  |    0.678 |  17  5d4.(5D).6p 6F*                :    10  5d4.(3P1).6p         4D*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  7/2 |    8 |         4.6261254    |          0.0000009   |          |  20  5d5 4F                         :    14  5d4.(3F1).6s         4F   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d3.(4F).6s.(5F).6p | 6G*    |  3/2 |    4 |         4.70786942   |          0.00000025  |          |  79                                 :     5  5d3.(4F).6s.(5F).6p  4F*  |    L12177
                    |        |  5/2 |    6 |         4.95153730   |          0.00000013  |    0.889 |  82                                 :     5  5d3.(4F).6s.(5F).6p  4F*  |    L12177
                    |        |  7/2 |    8 |         5.25572571   |          0.00000013  |    1.161 |  73                                 :     4  5d4.(5D).6p          6F*  |    L12177
                    |        |  9/2 |   10 |         5.76444143   |          0.00000014  |    1.311 |  53                                 :     8  5d4.(5D).6p          4F*  |    L12177
                    |        | 11/2 |   12 |         5.99249821   |          0.00000017  |          |  50                                 :    12  5d3.(4F).6s.(5F).6p  6F*  |    L12177
                    |        | 13/2 |   14 |         6.6506678    |          0.0000005   |          |  87                                 :    11  5d3.(2G).6s.(3G).6p  4H*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  1/2 |    2 |         4.78285321   |          0.00000013  |    1.614 |  21  5d4.(5D).6p 4P*                :    17  5d4.(5D).6p          6F*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d4.(5D).6p         | 6F*    |  3/2 |    4 |         4.85143469   |          0.00000010  |    1.147 |  34                                 :    12  5d3.(4F).6s.(5F).6p  4D*  |    L12177
                    |        |  5/2 |    6 |         5.21347078   |          0.00000013  |    1.292 |  45                                 :    11  5d3.(4F).6s.(5F).6p  6F*  |    L12177
                    |        |  7/2 |    8 |         5.56406474   |          0.00000014  |    1.277 |  44                                 :    15  5d3.(4F).6s.(5F).6p  6G*  |    L12177
                    |        |  1/2 |    2 |         5.6359578    |          0.0000004   |    0.519 |  32                                 :    10  5d3.(4F).6s.(5F).6p  6F*  |    L12177
                    |        |  9/2 |   10 |         6.30622137   |          0.00000017  |    1.194 |  31                                 :     9  5d4.(3G).6p          4H*  |    L12177
                    |        | 11/2 |   12 |         6.7235492    |          0.0000005   |          |  35                                 :    17  5d3.(4F).6s.(5F).6p  6F*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  9/2 |   10 |         5.1557574    |          0.0000006   |          |  22  5d5 2G2                        :    20  5d4.(3G).6s          2G   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  3/2 |    4 |         5.24431123   |          0.00000014  |    1.498 |  23  5d4.(5D).6p 6D*                :    17  5d4.(5D).6p          4P*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  5/2 |    6 |         5.49929229   |          0.00000014  |    1.390 |  22  5d4.(5D).6p 6D*                :    13  5d3.(4F).6s.(5F).6p  6D*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d3.(4F).6s.(5F).6p | 6F*    |  1/2 |    2 |         5.51174378   |          0.00000013  |   -0.217 |  43                                 :    24  5d4.(5D).6p          6F*  |    L12177
                    |        |  7/2 |    8 |         6.3288096    |          0.0000003   |          |  35                                 :    19  5d4.(5D).6p          6D*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  9/2 |   10 |         5.54929649   |          0.00000013  |    1.270 |  29  5d3.(4F).6s.(5F).6p 6G*        :    12  5d4.(5D).6p          6F*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  3/2 |    4 |         5.56833599   |          0.00000011  |    1.221 |  25  5d3.(4F).6s.(5F).6p 6F*        :    17  5d4.(5D).6p          4P*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  3/2 |    4 |         5.6479330    |          0.0000003   |    1.033 |  31  5d4.(5D).6p 6F*                :     5  5d3.(2P).6s.(3P).6p  4D*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  7/2 |    8 |         5.72501929   |          0.00000014  |    1.452 |  17  5d3.(4F).6s.(5F).6p 6D*        :    15  5d4.(5D).6p          6D*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  5/2 |    6 |         5.74733756   |          0.00000014  |    1.236 |  22  5d4.(5D).6p 6F*                :    10  5d4.(5D).6p          4P*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  1/2 |    2 |         5.7807980    |          0.0000004   |    1.70  |  23  5d4.(5D).6p 6D*                :    20  5d3.(4F).6s.(5F).6p  6D*  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
