---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |           Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                             | Reference
3d4.(5D).4p           | z 4P*   |  1/2 |    2 |         3.07117201   |          0.00000025  |   2.54    |  85         :     5  3d3.(4P).4s.4p.(1P*)  4P*  | L15916,L20010,L14162
                      |         |  3/2 |    4 |         3.08908500   |          0.00000019  |   1.71    |  85         :     5  3d3.(4P).4s.4p.(1P*)  4P*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         3.11584711   |          0.00000025  |   1.59    |  85         :     5  3d3.(4P).4s.4p.(1P*)  4P*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.4s2               | 2F      |  7/2 |    8 |         3.0721202    |          0.0000005   |           |  71         :    14  3d4.(1F).4s           2F   |        L15916,L20010
                      |         |  5/2 |    6 |         3.0822349    |          0.0000006   |           |  69         :    14  3d4.(1F).4s           2F   |        L15916,L20010
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(5D).4p           | y 6F*   |  1/2 |    2 |         3.0734940    |          0.0000004   |  -0.58    |  94         :     4  3d3.(4F).4s.4p.(3P*)  6F*  | L15916,L20010,L14162
                      |         |  3/2 |    4 |         3.0785550    |          0.0000005   |   1.02    |  94         :     4  3d3.(4F).4s.4p.(3P*)  6F*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         3.0870582    |          0.0000004   |   1.23    |  96         :     3  3d3.(4F).4s.4p.(3P*)  6F*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         3.09872576   |          0.00000025  |   1.37    |  94         :     4  3d3.(4F).4s.4p.(3P*)  6F*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         3.1134258    |          0.0000005   |   1.41    |  96         :     3  3d3.(4F).4s.4p.(3P*)  6F*  | L15916,L20010,L14162
