----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |                      Level (eV)   |   Uncertainty (eV) |      Landé | Leading percentages                                       | Reference
                   |        |  3/2 |    4 |          12.1309590               |                    |            |  48                  or  :    74  3s2.3p4.(3P).4d    2P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).6s | 2[1]   |  3/2 |    4 |          12.1560283               |                    |   1.6246   |  96                  or  :    67  3s2.3p4.(3P).6s    4P   |          
                   |        |  1/2 |    2 |          12.1628920               |                    |   1.962    |  82                  or  :    76  3s2.3p4.(3P).6s    4P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).4f | 2[2]*  |  3/2 |    4 |          12.196694                |                    |            |  99                  or  :    60  3s2.3p4.(3P).4f    4F*  |          
                   |        |  5/2 |    6 |          12.196751                |                    |            |  99                  or  :    33  3s2.3p4.(3P).4f    2F*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).4f | 2[4]*  |  9/2 |   10 |          12.197991                |                    |            | 100                  or  :    49  3s2.3p4.(3P).4f    4G*  |          
                   |        |  7/2 |    8 |          12.198027                |                    |            | 100                  or  :    39  3s2.3p4.(3P).4f    4G*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<0>).6s | 2[0]   |  1/2 |    2 |          12.198897                |                    |            |  81                  or  :    76  3s2.3p4.(3P).6s    2P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).4f | 2[3]*  |  7/2 |    8 |          12.202387                |                    |            | 100                  or  :    49  3s2.3p4.(3P).4f    4D*  |          
                   |        |  5/2 |    6 |          12.202413                |                    |            | 100                  or  :    47  3s2.3p4.(3P).4f    4G*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).6p | 2[2]*  |  5/2 |    6 |          12.235241                |                    |            |                                                           |          
                   |        |  3/2 |    4 |          12.276846                |                    |   1.32     |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<0>).4f | 2[3]*  |  7/2 |    8 |          12.2363741               |                    |            | 100                  or  :    26  3s2.3p4.(3P).4f    4D*  |          
                   |        |  5/2 |    6 |          12.236400                |                    |            | 100                  or  :    44  3s2.3p4.(3P).4f    4G*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).6p | 2[1]*  |  3/2 |    4 |          12.246960                |                    |            |                                                           |          
                   |        |  1/2 |    2 |          12.263955                |                    |   1.91     |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).6p | 2[3]*  |  7/2 |    8 |          12.247819                |                    |            |                                                           |          
                   |        |  5/2 |    6 |          12.253755                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5d | 2[3]   |  7/2 |    8 |          12.2992798               |                    |   1.392    |                                                           |          
                   |        |  5/2 |    6 |          12.3693959               |                    |   1.149    |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5d | 2[2]   |  5/2 |    6 |          12.3078024               |                    |   1.358    |                                                           |          
                   |        |  3/2 |    4 |          12.3184091               |                    |   1.239    |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5d | 2[1]   |  1/2 |    2 |          12.3250097               |                    |   0.363    |                                                           |          
                   |        |  3/2 |    4 |          12.3589789               |                    |   1.73     |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).6p | 2[0]*  |  1/2 |    2 |          12.328503                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).6p | 2[2]*  |  5/2 |    6 |          12.331938                |                    |            |                                                           |          
                   |        |  3/2 |    4 |          12.3407891               |                    |   1.3929   |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5d | 2[4]   |  9/2 |   10 |          12.3386587               |                    |   1.310    |                                                           |          
                   |        |  7/2 |    8 |          12.3573052               |                    |   1.181    |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(1S).4s    | 2S     |  1/2 |    2 |          12.3406952               |                    |   1.99     |  91                      :     4  3s2.3p4.(1D).3d    2S   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).6p | 2[1]*  |  3/2 |    4 |          12.3449145               |                    |   1.32     |                                                           |          
                   |        |  1/2 |    2 |          12.347135                |                    |   0.49     |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5d | 2[0]   |  1/2 |    2 |          12.3626267               |                    |   1.289    |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<0>).6p | 2[1]*  |  3/2 |    4 |          12.376512                |                    |   1.28     |                                                           |          
                   |        |  1/2 |    2 |          12.386348                |                    |   0.81     |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).5d | 2[1]   |  1/2 |    2 |          12.3949661               |                    |   1.21     |                                                           |          
                   |        |  3/2 |    4 |          12.4196187               |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).7s | 2[2]   |  5/2 |    6 |          12.3969941               |                    |   1.589    | 100                  or  :   100  3s2.3p4.(3P).7s    4P   |          
                   |        |  3/2 |    4 |          12.4047103               |                    |   1.42     | 100                  or  :    79  3s2.3p4.(3P).7s    2P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).5d | 2[3]   |  7/2 |    8 |          12.4166235               |                    |   1.210    |                                                           |          
                   |        |  5/2 |    6 |          12.4293708               |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5f | 2[4]*  |  9/2 |   10 |          12.4189563               |                    |            | 100                  or  :    65  3s2.3p4.(3P).5f    4F*  |          
                   |        |  7/2 |    8 |          12.4190281               |                    |            | 100                  or  :    46  3s2.3p4.(3P).5f    2F*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5f | 2[3]*  |  7/2 |    8 |          12.4194773               |                    |            | 100                  or  :    46  3s2.3p4.(3P).5f    4F*  |          
                   |        |  5/2 |    6 |          12.419498                |                    |            | 100                  or  :    37  3s2.3p4.(3P).5f    4F*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5f | 2[2]*  |  3/2 |    4 |          12.421384                |                    |            | 100                  or  :    37  3s2.3p4.(3P).5f    4F*  |          
                   |        |  5/2 |    6 |          12.4214097               |                    |            | 100                  or  :    49  3s2.3p4.(3P).5f    4D*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5f | 2[5]*  | 11/2 |   12 |          12.421812                |                    |            | 100                  or  :   100  3s2.3p4.(3P).5f    4G*  |          
                   |        |  9/2 |   10 |          12.421813                |                    |            | 100                  or  :    73  3s2.3p4.(3P).5f    2G*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5g | 2[5]   | 11/2 |   12 |          12.422097                |                    |            |                                                           |          
                   |        |  9/2 |   10 |          12.422097                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5g | 2[4]   |  9/2 |   10 |          12.422150                |                    |            |                                                           |          
                   |        |  7/2 |    8 |          12.422150                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5g | 2[3]   |  5/2 |    6 |          12.422925                |                    |            |                                                           |          
                   |        |  7/2 |    8 |          12.422925                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5g | 2[6]   | 11/2 |   12 |          12.423378                |                    |            |                                                           |          
                   |        | 13/2 |   14 |          12.423378                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5f | 2[1]*  |  1/2 |    2 |          12.423508                |                    |            | 100                  or  :   100  3s2.3p4.(3P).5f    4D*  |          
                   |        |  3/2 |    4 |          12.423540                |                    |            | 100                  or  :    51  3s2.3p4.(3P).5f    2D*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).5g | 2[2]   |  3/2 |    4 |          12.423921                |                    |            |                                                           |          
                   |        |  5/2 |    6 |          12.423921                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).5d | 2[2]   |  3/2 |    4 |          12.4290260               |                    |            |                                                           |          
                   |        |  5/2 |    6 |          12.4414649               |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<0>).5d | 2[2]   |  3/2 |    4 |          12.4607679               |                    |            |                                                           |          
                   |        |  5/2 |    6 |          12.4714852               |                    |   1.069    |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).7s | 2[1]   |  3/2 |    4 |          12.4857332               |                    |   1.65     | 100                  or  :    79  3s2.3p4.(3P).7s    4P   |          
                   |        |  1/2 |    2 |          12.489877                |                    |   1.59     |  98                  or  :    52  3s2.3p4.(3P).7s    2P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).5f | 2[2]*  |  3/2 |    4 |          12.505711                |                    |            | 100                  or  :    63  3s2.3p4.(3P).5f    4F*  |          
                   |        |  5/2 |    6 |          12.505768                |                    |            | 100                  or  :    35  3s2.3p4.(3P).5f    2F*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).5f | 2[4]*  |  9/2 |   10 |          12.5064360               |                    |            | 100                  or  :    48  3s2.3p4.(3P).5f    4G*  |          
                   |        |  7/2 |    8 |          12.5064788               |                    |            | 100                  or  :    38  3s2.3p4.(3P).5f    4G*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).7p | 2[2]*  |  3/2 |    4 |          12.507242                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).5g | 2[3]   |  7/2 |    8 |          12.508567                |                    |            |                                                           |          
                   |        |  5/2 |    6 |          12.508567                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).5f | 2[3]*  |  7/2 |    8 |          12.5087478               |                    |            | 100                  or  :    49  3s2.3p4.(3P).5f    4D*  |          
                   |        |  5/2 |    6 |          12.508782                |                    |            | 100                  or  :    48  3s2.3p4.(3P).5f    4G*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).5g | 2[5]   |  9/2 |   10 |          12.508831                |                    |            |                                                           |          
                   |        | 11/2 |   12 |          12.508831                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).5g | 2[4]   |  9/2 |   10 |          12.509885                |                    |            |                                                           |          
                   |        |  7/2 |    8 |          12.509885                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).6d | 2[1]   |  1/2 |    2 |          12.515710                |                    |   1.010    |                                                           |          
                   |        |  3/2 |    4 |          12.5437979               |                    |   1.41     |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).6d | 2[3]   |  7/2 |    8 |          12.5211630               |                    |   1.377    |                                                           |          
                   |        |  5/2 |    6 |          12.550093                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<0>).7s | 2[0]   |  1/2 |    2 |          12.5272906               |                    |            |  98                  or  :    52  3s2.3p4.(3P).7s    4P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).6d | 2[2]   |  3/2 |    4 |          12.5280312               |                    |   1.168    |                                                           |          
                   |        |  5/2 |    6 |          12.5289554               |                    |   1.364    |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).6d | 2[4]   |  9/2 |   10 |          12.5386326               |                    |            |                                                           |          
                   |        |  7/2 |    8 |          12.5510331               |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(1D).3d    | 2G     |  7/2 |    8 |          12.539909                |                    |            |                                                           |          
                   |        |  9/2 |   10 |          12.5399633               |                    |   1.13     |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<0>).5f | 2[3]*  |  7/2 |    8 |          12.5442465               |                    |            | 100                  or  :    25  3s2.3p4.(3P).5f    2G*  |          
