--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |           Level (eV) |     Uncertainty (eV) |   Landé | Leading percentages                                | Reference
                     |           |   4 |    9 |         5.87935939   |          0.00000023  |   2.28  |  97                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4P).4p          | z 3P*     |   2 |    5 |         5.79502263   |          0.00000021  |   1.48  |  47         :    35  3d3.(4P).4p          5D*      | L20009,L8201
                     |           |   0 |    1 |         5.8307331    |          0.0000005   |         |  38         :    48  3d3.(4P).4p          5D*      |       L20009
                     |           |   1 |    3 |         5.8406574    |          0.0000003   |   1.43  |  50         :    40  3d3.(4P).4p          5D*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4P).4p          | z 5P*     |   1 |    3 |         5.7968232    |          0.0000003   |   2.28  |  98                                                | L20009,L8201
                     |           |   2 |    5 |         5.81236819   |          0.00000024  |   1.68  |  90         :     8  3d3.(4P).4p          3P*      | L20009,L8201
                     |           |   3 |    7 |         5.8336906    |          0.0000003   |   1.55  |  98                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2G).4p          | z 3H*     |   4 |    9 |         5.8342402    |          0.0000004   |   0.78  |  86         :    14  3d3.(2H).4p          3H*      | L20009,L8201
                     |           |   5 |   11 |         5.86409484   |          0.00000020  |   1.01  |  85         :    14  3d3.(2H).4p          3H*      | L20009,L8201
                     |           |   6 |   13 |         5.90261754   |          0.00000018  |   1.13  |  85         :    14  3d3.(2H).4p          3H*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2D1).4s         | d 1D      |   2 |    5 |         5.8674644    |          0.0000005   |         |  64         :    23  3d3.(2D2).4s         1D       |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2P).4p          | z 1S*     |   0 |    1 |         5.983267     |          0.000004    |         |  88         :     9  3d3.(4P).4p          3P*      |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2G).4p          | y 3G*     |   3 |    7 |         6.02315163   |          0.00000017  |   0.67  |  83         :     6  3d3.(4F).4p          3G*      | L20009,L8201
                     |           |   4 |    9 |         6.04184268   |          0.00000023  |   1.02  |  88         :     7  3d3.(4F).4p          3G*      | L20009,L8201
                     |           |   5 |   11 |         6.05701206   |          0.00000019  |   1.22  |  86         :     7  3d3.(4F).4p          3G*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d2.4s2              | e 3P      |   0 |    1 |         6.062585     |          0.000004    |         |  95                                                |       L20009
                     |           |   1 |    3 |         6.072218     |          0.000004    |         |  95                                                |       L20009
                     |           |   2 |    5 |         6.100599     |          0.000003    |         |  92                                                |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2G).4p          | y 3F*     |   2 |    5 |         6.10023541   |          0.00000023  |   0.63  |  73         :    11  3d3.(2D2).4p         3F*      | L20009,L8201
                     |           |   3 |    7 |         6.10136706   |          0.00000018  |   0.99  |  59         :    19  3d3.(2G).4p          1F*      | L20009,L8201
                     |           |   4 |    9 |         6.10852999   |          0.00000020  |   1.18  |  68         :    18  3d3.(2G).4p          1G*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
