------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |          Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                                 | Reference
                      |        |   3 |    7 |        5.27413183   |          0.00000021  |           |  57             :    19  3d4.(3H).4s.4p.(3P*)  5G*  |     L18327,L7185
                      |        |   4 |    9 |        5.27735987   |          0.00000020  |           |  53             :    18  3d4.(3H).4s.4p.(3P*)  5G*  |     L18327,L7185
                      |        |   5 |   11 |        5.28038432   |          0.00000020  |   1.23    |  47             :    16  3d4.(3H).4s.4p.(3P*)  5G*  |     L18327,L7185
                      |        |   6 |   13 |        5.2824345    |          0.0000003   |   1.32    |  37             :    27  3d4.(3H).4s.4p.(3P*)  5H*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4P).4p           | z 5S*  |   2 |    5 |        5.3467945    |          0.0000009   |   1.93    |  46             :    46  3d4.(3P1).4s.4p.(3P*) 5S*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(6S).4d           | e 5D   |   4 |    9 |        5.46162523   |          0.00000015  |           |                                                     |           L18327
                      |        |   3 |    7 |        5.46384063   |          0.00000015  |           |                                                     |           L18327
                      |        |   2 |    5 |        5.46534707   |          0.00000016  |           |                                                     |           L18327
                      |        |   1 |    3 |        5.46633650   |          0.00000024  |           |                                                     |           L18327
                      |        |   0 |    1 |        5.4668232    |          0.0000003   |           |                                                     |           L18327
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(6S).5p           | w 5P*  |   1 |    3 |        5.47089128   |          0.00000018  |   2.74    |                                                     |     L18327,L7185
                      |        |   2 |    5 |        5.47846027   |          0.00000018  |   1.79    |                                                     |     L18327,L7185
                      |        |   3 |    7 |        5.4874392    |          0.0000003   |   1.68    |                                                     |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(3H).4s.4p.(3P*)  | z 5I*  |   4 |    9 |        5.4858739    |          0.0000005   |           |  99                                                 |     L18327,L7185
                      |        |   5 |   11 |        5.493488     |          0.000014    |           |  99                                                 |     L18327,L7185
                      |        |   6 |   13 |        5.504033     |          0.000024    |           |  99                                                 |     L18327,L7185
                      |        |   7 |   15 |        5.519076     |          0.000007    |           |  99                                                 |     L18327,L7185
                      |        |   8 |   17 |        5.5379441    |          0.0000022   |           | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(3F1).4s.4p.(3P*) | y 5G*  |   2 |    5 |        5.4924897    |          0.0000003   |   0.35    |  85                                                 |     L18327,L7185
                      |        |   3 |    7 |        5.5015871    |          0.0000003   |   0.93    |  80                                                 |     L18327,L7185
                      |        |   4 |    9 |        5.5215654    |          0.0000004   |           |  68             :    18  3d4.(3F1).4s.4p.(3P*) 5F*  |     L18327,L7185
                      |        |   5 |   11 |        5.52862606   |          0.00000024  |   1.25    |  46             :    29  3d4.(3F1).4s.4p.(3P*) 5F*  |     L18327,L7185
                      |        |   6 |   13 |        5.5478290    |          0.0000003   |   1.34    |  85             :     5  3d4.(3G).4s.4p.(3P*)  5G*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(3P1).4s.4p.(3P*) | v 5P*  |   1 |    3 |        5.5379638    |          0.0000004   |   2.47    |  78             :     8  3d5.(4D).4p           5P*  |     L18327,L7185
                      |        |   2 |    5 |        5.56380699   |          0.00000024  |           |  76             :     9  3d5.(4D).4p           5P*  |     L18327,L7185
                      |        |   3 |    7 |        5.59330993   |          0.00000023  |   1.65    |  70             :    13  3d5.(4D).4p           5P*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(3F1).4s.4p.(3P*) | x 5F*  |   1 |    3 |        5.60429248   |          0.00000024  |           |  66             :    28  3d5.(4G).4p           5F*  |     L18327,L7185
                      |        |   2 |    5 |        5.60719383   |          0.00000021  |           |  63             :    27  3d5.(4G).4p           5F*  |     L18327,L7185
                      |        |   3 |    7 |        5.61095249   |          0.00000021  |           |  58             :    26  3d5.(4G).4p           5F*  |     L18327,L7185
