-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.     |         Ritz          |    Unc.     |    Rel. |     Aki      | Acc. |             Ei           Ek             |             Lower level              |                Upper level                |  gi   gk  |Type|      TP  |          Line  |
          |      Wavelength       |     (nm)    |      Wavelength       |     (nm)    |    Int. |    (s^-1)    |      |            (eV)         (eV)            |--------------------------------------|-------------------------------------------|           |    |     Ref. |          Ref.  |
          |       Vac (nm)        |             |       Vac (nm)        |             |         |              |      |                                         | Conf.                | Term    | J   | Conf.                | Term     | J       |           |    |          |                |
Ag II     |           98.42449    |   0.00006   |           98.42453    |  0.00006    |   14000 |              |      |      5.05178168    -      17.648662     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 3D*      | 1       |   5 - 3   |    |          |    L11881c113  |
Ag II     |           98.52196    |   0.00017   |           98.522059   |  0.000005   |    2600 |              |      |      5.42340791    -      18.0078180    | 4d9.(2D<3/2>).5s     | 2[3/2]  | 1   | 4d9.(2D<5/2>).4f     | 2[3/2]*  | 1       |   3 - 3   |    |          |    L11881c113  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag II     |           98.58954    |   0.00005   |           98.58952    |  0.00005    |   58000 | 3.1e+08      | D+   |      4.85621528    -      17.432015     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d8.(3F).5s.5p.(3P*) | 3G*      | 3       |   7 - 7   |    |    T9142 |    L11881c113  |
Ag II     |           98.83865    |   0.00005   |           98.83869    |  0.00005    |   43000 | 2.0e+08      | D+   |      5.05178168    -      17.595877     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 3F*      | 3       |   5 - 7   |    |    T9142 |    L11881c113  |
Ag II     |           99.59494    |   0.00006   |           99.59490    |  0.00006    |    8500 |              |      |      5.05178168    -      17.500631     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3P).5s.5p.(3P*) | 5P*      | 3       |   5 - 7   |    |          |    L11881c113  |
Ag II     |           99.75756    |   0.00005   |           99.75760    |  0.00005    |   18000 |              |      |      5.05178168    -      17.480329     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3P).5s.5p.(3P*) | 5P*      | 1       |   5 - 3   |    |          |    L11881c113  |
Ag II     |           99.78142    |   0.00005   |           99.78141    |  0.00005    |   42000 | 3.1e+08      | D+   |      5.05178168    -      17.477363     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3P).5s.5p.(3P*) | 5P*      | 2       |   5 - 5   |    |    T9142 |    L11881c113  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag II     |           99.92586    |   0.00010   |           99.92587    |  0.00007    |    4700 |              |      |      5.70935604    -      18.116974     | 4d9.(2D<3/2>).5s     | 2[3/2]  | 2   | 4d8.(1D).5s.5p.(3P*) | 3F*      | 2       |   5 - 5   |    |          |    L11881c113  |
Ag II     |           99.93800    |   0.00005   |           99.93805    |  0.00005    |   26000 |              |      |      4.85621528    -      17.262321     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d8.(3F).5s.5p.(3P*) | 3D*      | 2       |   7 - 5   |    |          |    L11881c113  |
Ag II     |          100.14694    |   0.00005   |          100.14690    |  0.00005    |   23000 |              |      |      5.05178168    -      17.432015     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 3G*      | 3       |   5 - 7   |    |          |    L11881c113  |
Ag II     |          100.49292    |   0.00005   |          100.492924   |  0.000006   |   42000 | 1.0e+08      | D+   |      5.70935604    -      18.0469609    | 4d9.(2D<3/2>).5s     | 2[3/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 1F*      | 3       |   5 - 7   |    |    T9142 |    L11881c113  |
Ag II     |          100.53493    |   0.00005   |          100.53495    |  0.00005    |   48000 | 3.8e+08      | D+   |      4.85621528    -      17.188662     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d8.(3F).5s.5p.(3P*) | 3D*      | 3       |   7 - 7   |    |    T9142 |    L11881c113  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag II     |          100.64487    |   0.00006   |          100.644894   |  0.000003   |    7800 |              |      |      5.70935604    -      18.0283315    | 4d9.(2D<3/2>).5s     | 2[3/2]  | 2   | 4d9.(2D<5/2>).4f     | 2[7/2]*  | 3       |   5 - 7   |    |          |    L11881c113  |
Ag II     |          100.74503    |   0.00005   |          100.745044   |  0.000006   |   51000 |              |      |      5.70935604    -      18.0160854    | 4d9.(2D<3/2>).5s     | 2[3/2]  | 2   | 4d9.(2D<5/2>).4f     | 2[5/2]*  | 2       |   5 - 5   |    |          |    L11881c113  |
Ag II     |          100.81275    |   0.00005   |          100.812768   |  0.000005   |   33000 |              |      |      5.70935604    -      18.0078180    | 4d9.(2D<3/2>).5s     | 2[3/2]  | 2   | 4d9.(2D<5/2>).4f     | 2[3/2]*  | 1       |   5 - 3   |    |          |    L11881c113  |
Ag II     |          100.85859    |   0.00006   |          100.858622   |  0.000004   |   10000 | 2.1e+08      | D+   |      5.70935604    -      18.0022266    | 4d9.(2D<3/2>).5s     | 2[3/2]  | 2   | 4d9.(2D<5/2>).4f     | 2[3/2]*  | 2       |   5 - 5   |    |    T9142 |    L11881c113  |
Ag II     |          101.02435    |   0.00005   |          101.024336   |  0.000007   |   36000 | 6.1e+08      | D+   |      5.70935604    -      17.9820621    | 4d9.(2D<3/2>).5s     | 2[3/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 1D*      | 2       |   5 - 5   |    |    T9142 |    L11881c113  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag II     |          101.41648    |   0.00005   |          101.41646    |  0.00005    |   27000 | 3.0e+08      | D+   |      5.42340791    -      17.648662     | 4d9.(2D<3/2>).5s     | 2[3/2]  | 1   | 4d8.(3F).5s.5p.(3P*) | 3D*      | 1       |   3 - 3   |    |    T9142 |    L11881c113  |
Ag II     |          101.53869    |   0.00005   |          101.53867    |  0.00005    |   15000 | 1.5e+08      | D+   |      5.05178168    -      17.262321     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 3D*      | 2       |   5 - 5   |    |    T9142 |    L11881c113  |
Ag II     |          101.72918    |   0.00006   |          101.729154   |  0.000010   |    1900 |              |      |      4.85621528    -      17.0438914    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d9.(2D<3/2>).6p     | 2[3/2]*  | 2       |   7 - 5   |    |          |    L11881c113  |
Ag II     |          102.03195    |   0.00005   |          102.031964   |  0.000025   |    3300 |              |      |      4.85621528    -      17.007721     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d9.(2D<3/2>).6p     | 2[5/2]*  | 3       |   7 - 7   |    |          |    L11881c113  |
