---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |        Ritz        |    Rel. |     Aki     | Acc. |        Ei           Ek        |             Lower level             |               Upper level                |  gi   gk  |Type|    TP  |       Line  |
          |     Wavelength     |     Wavelength     |    Int. |   (s^-1)    |      |       (eV)         (eV)       |-------------------------------------|------------------------------------------|           |    |   Ref. |       Ref.  |
          |      Air (nm)      |      Air (nm)      |         |             |      |                               | Conf.            | Term      | J    | Conf.                | Term       | J    |           |    |        |             |
W II      |         202.1468   |         202.14761  |       5 |             |      |   2.3545751   -    8.4859477  |                  |           | 3/2  |                      |            | 5/2  |   4 - 6   |    |        |      L6520  |
W I       |         202.181    |         202.1850   |       3 |             |      |   0.000000    -    6.130237   | 5d4.6s2          | 5D        | 0    |                      | *          | 1    |   1 - 3   |    |        |       L153  |
W I       |         202.204    |         202.2011   |       2 |             |      |   0.598844    -    6.728594   | 5d4.6s2          | 5D        | 3    |                      | *          | 3    |   7 - 7   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W III     |         202.2144   |         202.2143   |     100 |             |      |   3.520047    -    9.649397   | 5d3.(4F).6s      | 3F        | 3    |                      |            | 4    |   7 - 9   |    |        |     L10405  |
W II      |         202.23519  |         202.23519  |       6 |             |      |   2.57643601  -    8.7051537  |                  |           | 9/2  |                      |            | 7/2  |  10 - 8   |    |        |     L11762  |
W III     |         202.2370   |         202.2374   |      40 |             |      |   3.592745    -    9.721396   | 5d3.(2H).6s      | 3H        | 4    | 5d3.(4F).6p          | 3G*        | 4    |   9 - 9   |    |        |     L10405  |
W IV      |         202.3020   |         202.3024   |     300 |             |      |   6.429870    -   12.556552   | 5d2.(1D).6s      | 2D        | 3/2  | 5d2.(3P).6p          | 2S*        | 1/2  |   4 - 2   |    |        |      L6352  |
W II      |         202.3802   |         202.37960  |       9 |             |      |   1.81442640  -    7.9387715  | 5d4.(5D).6s      | 4D        | 3/2  |                      |            | 5/2  |   4 - 6   |    |        |      L6520  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         202.387    |                    |       5 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W II      |         202.44853  |         202.44853  |       3 |             |      |   2.16190402  -    8.2841641  | 5d4.(3H).6s      | 4H        | 11/2 |                      |            | 9/2  |  12 - 10  |    |        |     L11762  |
W V       |         202.5006   |         202.4988   |    75bl |             |      |   9.04573     -   15.16647    | 5d.6s            | 1D        | 2    | 5d.(2D<3/2>).6p      | (3/2,1/2)* | 1    |   5 - 3   |    |        |      L6650  |
W III     |         202.5037   |         202.5037   |     30d |             |      |   3.520047    -    9.640639   | 5d3.(4F).6s      | 3F        | 3    | 5d2.(3F).6s.6p.(3P*) | 5G*        | 2    |   7 - 5   |    |        |     L10405  |
W II      |         202.51776  |         202.51758  |       3 |             |      |   2.88074530  -    9.0009183  |                  |           | 9/2  |                      |            | 7/2  |  10 - 8   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
