-----------------------------------------------------------------------------------------------------------
Configuration       | Term   |   J |    g |         Level (eV) |   Uncertainty (eV) |    Landé | Reference
4d4.5s.(4H).5p      | y 3G*  |   3 |    7 |        5.4522598   |                    |          |          
                    |        |   4 |    9 |        5.5124097   |                    |    1.075 |          
                    |        |   5 |   11 |        5.5495040   |                    |    1.170 |          
                    |        |     |      |                    |                    |          |           
4d5.(4D).5p         | y 3D*  |   1 |    3 |        5.4603913   |                    |          |          
                    |        |   2 |    5 |        5.5203349   |                    |    1.123 |          
                    |        |   3 |    7 |        5.5695155   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(6S).5d         | e 7D   |   1 |    3 |        5.5713181   |                    |          |          
                    |        |   2 |    5 |        5.5718925   |                    |          |          
                    |        |   3 |    7 |        5.5727619   |                    |    1.94  |          
                    |        |   4 |    9 |        5.5739674   |                    |    1.650 |          
                    |        |   5 |   11 |        5.5755891   |                    |    1.605 |          
                    |        |     |      |                    |                    |          |           
                    | 3.6*   |   4 |    9 |        5.5732811   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 3.7*   |   1 |    3 |        5.5893404   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 4*     |   2 |    5 |        5.6274815   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(2G).5p         | x 3G*  |   3 |    7 |        5.6307149   |                    |    0.794 |          
                    |        |   4 |    9 |        5.6482535   |                    |    1.108 |          
                    |        |   5 |   11 |        5.6828809   |                    |    1.100 |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4F).5p      | w 5F*  |   2 |    5 |        5.6319974   |                    |    1.286 |          
                    |        |   1 |    3 |        5.6360448   |                    |    0.104 |          
                    |        |   3 |    7 |        5.6579805   |                    |    1.162 |          
                    |        |   4 |    9 |        5.6870960   |                    |    1.334 |          
                    |        |     |      |                    |                    |          |           
4d5.(4D).5p         | x 3F*  |   2 |    5 |        5.6673174   |                    |    0.890 |          
                    |        |   3 |    7 |        5.6956498   |                    |    1.110 |          
                    |        |   4 |    9 |        5.6994504   |                    |    1.135 |          
                    |        |     |      |                    |                    |          |           
4d5.(6S).5d         | e 5D   |   4 |    9 |        5.6766900   |                    |          |          
                    |        |   3 |    7 |        5.6775757   |                    |          |          
                    |        |   2 |    5 |        5.6784925   |                    |          |          
                    |        |   1 |    3 |        5.6791429   |                    |          |          
                    |        |   0 |    1 |        5.679390?   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(4P).5p         | z 3S*  |   1 |    3 |        5.6827811   |                    |    2.048 |          
                    |        |     |      |                    |                    |          |           
4d5.(4F).5p         | x 3D*  |   1 |    3 |        5.700092?   |                    |          |          
                    |        |   2 |    5 |        5.7406967   |                    |    1.078 |          
                    |        |   3 |    7 |        5.8034978   |                    |    1.275 |          
                    |        |     |      |                    |                    |          |           
                    | 5*     |   4 |    9 |        5.7201281   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(4F).5p         | v 5F*  |   1 |    3 |        5.7588047   |                    |          |          
                    |        |   2 |    5 |        5.7593642   |                    |          |          
                    |        |   3 |    7 |        5.7594860   |                    |          |          
                    |        |   4 |    9 |        5.7970619   |                    |    1.304 |          
                    |        |     |      |                    |                    |          |           
                    | 5.1*   |   2 |    5 |        5.7701379   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 6*     |   4 |    9 |        5.7764280   |                    |    1.160 |          
                    |        |     |      |                    |                    |          |           
                    | 7*     |   1 |    3 |        5.7925447   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 8*     |   2 |    5 |        5.7968482   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(2I).5p         | z 3I*  |   5 |   11 |        5.8100235   |                    |    0.937 |          
                    |        |   6 |   13 |        5.8485464   |                    |    1.13  |          
                    |        |   7 |   15 |        5.888369?   |                    |    1.14  |          
                    |        |     |      |                    |                    |          |           
4d5.(2D).5p         | w 3F*  |   2 |    5 |        5.8116864   |                    |          |          
                    |        |   3 |    7 |        5.8181201   |                    |    1.093 |          
                    |        |     |      |                    |                    |          |           
4d5.(2D).5p         | w 3D*  |   1 |    3 |        5.8142377   |                    |          |          
                    |        |   2 |    5 |        5.8409180   |                    |    1.156 |          
                    |        |   3 |    7 |        5.8501351   |                    |    1.290 |          
                    |        |     |      |                    |                    |          |           
                    | 9*     |   3 |    7 |        5.8217814   |                    |    1.66  |          
                    |        |     |      |                    |                    |          |           
                    | 10*    |   1 |    3 |        5.8320566   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 11*    |   2 |    5 |        5.8336621   |                    |    0.917 |          
                    |        |     |      |                    |                    |          |           
                    | 12*    |   3 |    7 |        5.8352632   |                    |    1.13  |          
                    |        |     |      |                    |                    |          |           
                    | 13*    |   3 |    7 |        5.8492100   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4F).5p      | y 5G*  |   2 |    5 |        5.8503583   |                    |          |          
                    |        |   3 |    7 |        5.8658321   |                    |    0.862 |          
                    |        |   4 |    9 |        5.8780076   |                    |    1.200 |          
                    |        |   5 |   11 |        5.9089629   |                    |    1.252 |          
                    |        |   6 |   13 |        5.9146177   |                    |    1.30  |          
                    |        |     |      |                    |                    |          |           
                    | 14*    |   1 |    3 |        5.8580158   |                    |    1.164 |          
                    |        |     |      |                    |                    |          |           
                    | 15*    |   2 |    5 |        5.8622373   |                    |          |          
                    |        |     |      |                    |                    |          |           
