------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |          Level (eV) |   Uncertainty (eV) | Leading percentages             | Reference
                     |        |   6 |   13 |        18.28358     |                    |                                 |          
                     |        |   5 |   11 |        18.28358     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10h               | 1H*    |   5 |   11 |        18.28358     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10f               | 3F*    |   2 |    5 |        18.288011    |                    |                                 |          
                     |        |   3 |    7 |        18.288075    |                    |                                 |          
                     |        |   4 |    9 |        18.288180    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.11p               | 3P*    |   2 |    5 |        18.29689     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.12p               | 1P*    |   1 |    3 |        18.350218    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.12s               | 3S     |   1 |    3 |        18.35662     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.11d               | 3D     |   3 |    7 |        18.36122     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.12s               | 1S     |   0 |    1 |        18.36189     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.11d               | 1D     |   2 |    5 |        18.366415    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.11f               | 1F*    |   3 |    7 |        18.36651     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.11g               | 3G     |   3 |    7 |        18.37695     |                    |                                 |          
                     |        |   5 |   11 |        18.37695     |                    |                                 |          
                     |        |   4 |    9 |        18.37695     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.11g               | 1G     |   4 |    9 |        18.37695     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.11f               | 3F*    |   2 |    5 |        18.380951    |                    |                                 |          
                     |        |   3 |    7 |        18.380970    |                    |                                 |          
                     |        |   4 |    9 |        18.381039    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.13p               | 1P*    |   1 |    3 |        18.422123    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.13s               | 3S     |   1 |    3 |        18.43362     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.13s               | 1S     |   0 |    1 |        18.43767     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.12f               | 1F*    |   3 |    7 |        18.440871    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.12g               | 3G     |   5 |   11 |        18.44920     |                    |                                 |          
                     |        |   4 |    9 |        18.44920     |                    |                                 |          
                     |        |   3 |    7 |        18.44920     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.12g               | 1G     |   4 |    9 |        18.44920     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.12f               | 3F*    |   2 |    5 |        18.45203     |                    |                                 |          
                     |        |   4 |    9 |        18.45203     |                    |                                 |          
                     |        |   3 |    7 |        18.45203     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.14p               | 1P*    |   1 |    3 |        18.480338    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.14s               | 1S     |   0 |    1 |        18.49624     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.13f               | 1F*    |   3 |    7 |        18.49864     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.13g               | 1G     |   4 |    9 |        18.50532     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.13g               | 3G     |   4 |    9 |        18.50532     |                    |                                 |          
                     |        |   3 |    7 |        18.50532     |                    |                                 |          
                     |        |   5 |   11 |        18.50532     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.13f               | 3F*    |   2 |    5 |        18.50749     |                    |                                 |          
                     |        |   4 |    9 |        18.50749     |                    |                                 |          
                     |        |   3 |    7 |        18.50749     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.15p               | 1P*    |   1 |    3 |        18.527848    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.15s               | 1S     |   0 |    1 |        18.54272     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.14f               | 1F*    |   3 |    7 |        18.54444     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.14f               | 3F*    |   2 |    5 |        18.55163     |                    |                                 |          
                     |        |   4 |    9 |        18.55163     |                    |                                 |          
                     |        |   3 |    7 |        18.55163     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.16p               | 1P*    |   1 |    3 |        18.56678     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.16s               | 1S     |   0 |    1 |        18.58015     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.15f               | 1F*    |   3 |    7 |        18.58134     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.15f               | 3F*    |   4 |    9 |        18.58725     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.17p               | 1P*    |   1 |    3 |        18.59886     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.16f               | 1F*    |   3 |    7 |        18.61147     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.16f               | 3F*    |   2 |    5 |       [18.61644]    |                    |                                 |          
                     |        |   4 |    9 |       [18.61644]    |                    |                                 |          
                     |        |   3 |    7 |       [18.61644]    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.17f               | 1F*    |   3 |    7 |        18.63649     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.17f               | 3F*    |   2 |    5 |        18.64064     |                    |                                 |          
                     |        |   3 |    7 |        18.64064     |                    |                                 |          
                     |        |   4 |    9 |        18.64064     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.18f               | 1F*    |   3 |    7 |       [18.65743]    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3p.3d                | 3D*    |   1 |    3 |        18.658729    |                    |                                 |          
                     |        |   2 |    5 |        18.661751    |                    |                                 |          
                     |        |   3 |    7 |        18.665098    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.19f               | 1F*    |   3 |    7 |        18.67506     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.20f               | 1F*    |   3 |    7 |        18.69017     |                    |                                 |          
---------------------|--------|-----|------|---------------------|--------------------|---------------------------------|-----------
---------------------|--------|-----|------|---------------------|--------------------|---------------------------------|-----------
Al III (3s 2S<1/2>)  | Limit  | --- |      |        18.82855     |           0.00005  |                                 |     L7215
---------------------|--------|-----|------|---------------------|--------------------|---------------------------------|-----------
---------------------|--------|-----|------|---------------------|--------------------|---------------------------------|-----------
Al III (3p 2P*<1/2>) | Limit  | --- |      |        25.48441     |                    |                                 |          
------------------------------------------------------------------------------------------------------------------------------------
