--------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration              | Term        |   J |    g |                   Level (eV)   |   Uncertainty (eV) | Leading percentages                       | Reference
                           |             |   3 |    7 |          7.803087              |                    |  78  3p.nd           :    16  3p.6d  1F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.6d                  | 1F*         |   3 |    7 |          7.786562              |                    |  61                  :    12  3p.6d  3D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).8s<1/2>  | (1/2,1/2)*  |   0 |    1 |          7.787032              |                    |                                           |     L5815
                           |             |   1 |    3 |          7.787852              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).6f       | 2[7/2]      |   3 |    7 |          7.803040              |                    |                                           |     L5815
                           |             |   4 |    9 |          7.803170              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).6f       | 2[5/2]      |   3 |    7 |          7.805358              |                    |                                           |     L5815
                           |             |   2 |    5 |          7.805425              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).6f       | 2[9/2]      |   5 |   11 |          7.806865              |                    |                                           |     L5815
                           |             |   4 |    9 |          7.807098              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).6f       | 2[3/2]      |   1 |    3 |          7.809264              |                    |                                           |     L5815
                           |             |   2 |    5 |          7.809308              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.6d                  | 3P*         |   2 |    5 |          7.813536              |                    |  61  3p.nd           :    30  3p.nd  3D*  |     L5815
                           |             |   1 |    3 |          7.823076              |                    |  87  3p.nd           :     8  3p.nd  3D*  |     L5815
                           |             |   0 |    1 |          7.826299              |                    |  95  3p.nd           :     4  3s.3p3 3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).8s<1/2>  | (3/2,1/2)*  |   2 |    5 |          7.822586              |                    |                                           |     L5815
                           |             |   1 |    3 |          7.827183              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
