-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |  Rel. |    Aki     | Acc. |         Ei           Ek         |                 Lower level                  |                  Upper level                  |  gi   gk  |   Type|                                      TP  |   Line  |
          |   Wavelength    |   Wavelength    |  Int. |   (s^-1)   |      |        (eV)         (eV)        |----------------------------------------------|-----------------------------------------------|           |       |                                     Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |       |            |      |                                 | Conf.                     | Term       | J   | Conf.                     | Term       | J    |           |       |                                          |         |
Si XIII   |                 |          2.3870 |       | 2.85e+09   | B    | [1853.534]     -  [2372.9440]   | 1s.2p                     | 3P*        | 0   | 1s.6s                     | 3S         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.3880 |       | 8.54e+09   | B    | [1853.7553]    -  [2372.9440]   | 1s.2p                     | 3P*        | 1   | 1s.6s                     | 3S         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.3883 |       | 8.19e+10   | B+   | [1854.6490]    -  [2373.7862]   | 1s.2s                     | 1S         | 0   | 1s.6p                     | 1P*        | 1    |   1 - 3   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.3885 |       | 1.55e+11   | B+   | [1854.6413]    -  [2373.7236]   | 1s.2p                     | 3P*        | 2   | 1s.6d                     | 3D         | 3    |   5 - 7   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.3886 |       | 3.88e+10   | B+   | [1854.6413]    -  [2373.7107]   | 1s.2p                     | 3P*        | 2   | 1s.6d                     | 3D         | 2    |   5 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.3886 |       | 4.31e+09   | B    | [1854.6413]    -  [2373.7107]   | 1s.2p                     | 3P*        | 2   | 1s.6d                     | 3D         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.3921 |       | 1.42e+10   | B    | [1854.6413]    -  [2372.9440]   | 1s.2p                     | 3P*        | 2   | 1s.6s                     | 3S         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.4370 |       | 1.43e+11   | B+   | [1864.975]     -  [2373.7354]   | 1s.2p                     | 1P*        | 1   | 1s.6d                     | 1D         | 2    |   3 - 5   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.4385 |       | 2.47e+10   | B    | [1864.975]     -  [2373.4140]   | 1s.2p                     | 1P*        | 1   | 1s.6s                     | 1S         | 0    |   3 - 1   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.4517 |       | 1.46e+11   | B+   | [1839.4227]    -  [2345.1263]   | 1s.2s                     | 3S         | 1   | 1s.5p                     | 3P*        | 2    |   3 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.4520 |       | 1.46e+11   | B+   | [1839.4227]    -  [2345.0696]   | 1s.2s                     | 3S         | 1   | 1s.5p                     | 3P*        | 1    |   3 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.4521 |       | 1.46e+11   | B+   | [1839.4227]    -  [2345.0550]   | 1s.2s                     | 3S         | 1   | 1s.5p                     | 3P*        | 0    |   3 - 1   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.5198 |       | 1.58e+11   | B+   | [1853.534]     -  [2345.5766]   | 1s.2p                     | 3P*        | 0   | 1s.5d                     | 3D         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.5209 |       | 2.13e+11   | B+   | [1853.7553]    -  [2345.5766]   | 1s.2p                     | 3P*        | 1   | 1s.5d                     | 3D         | 2    |   3 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.5209 |       | 1.19e+11   | B+   | [1853.7553]    -  [2345.5766]   | 1s.2p                     | 3P*        | 1   | 1s.5d                     | 3D         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.5248 |       | 1.41e+11   | B+   | [1854.6490]    -  [2345.7092]   | 1s.2s                     | 1S         | 0   | 1s.5p                     | 1P*        | 1    |   1 - 3   |       |                                  T5231c4 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.5254 |       | 2.83e+11   | B+   | [1854.6413]    -  [2345.599]    | 1s.2p                     | 3P*        | 2   | 1s.5d                     | 3D         | 3    |   5 - 7   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.5255 |       | 7.08e+10   | B+   | [1854.6413]    -  [2345.5766]   | 1s.2p                     | 3P*        | 2   | 1s.5d                     | 3D         | 2    |   5 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.5255 |       | 7.86e+09   | B    | [1854.6413]    -  [2345.5766]   | 1s.2p                     | 3P*        | 2   | 1s.5d                     | 3D         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.5266 |       | 5.02e+09   | B    | [1853.534]     -  [2344.2452]   | 1s.2p                     | 3P*        | 0   | 1s.5s                     | 3S         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.5278 |       | 1.50e+10   | B+   | [1853.7553]    -  [2344.2452]   | 1s.2p                     | 3P*        | 1   | 1s.5s                     | 3S         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.5323 |       | 2.48e+10   | B+   | [1854.6413]    -  [2344.2452]   | 1s.2p                     | 3P*        | 2   | 1s.5s                     | 3S         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
Si XII    |                 |          2.5658 |       | 3.88e+10   | C+   |     0.0000     -   [483.210]    | 1s2.2s                    | 2S         | 1/2 | 1s2.7p                    | 2P*        | 3/2  |   2 - 4   |       |                              T5118c63,LS |         |
Si XII    |                 |          2.5660 |       | 3.88e+10   | C+   |     0.0000     -   [483.185]    | 1s2.2s                    | 2S         | 1/2 | 1s2.7p                    | 2P*        | 1/2  |   2 - 2   |       |                              T5118c63,LS |         |
Si XIII   |                 |          2.5795 |       | 2.63e+11   | B+   | [1864.975]     -  [2345.6191]   | 1s.2p                     | 1P*        | 1   | 1s.5d                     | 1D         | 2    |   3 - 5   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.5825 |       | 4.32e+10   | B+   | [1864.975]     -  [2345.0676]   | 1s.2p                     | 1P*        | 1   | 1s.5s                     | 1S         | 0    |   3 - 1   |       |                                  T5231c4 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XII    |                 |          2.6078 |       | 2.65e+10   | C    |    23.8127     -   [499.25]     | 1s2.2p                    | 2P*        | 1/2 | 1s2.9d                    | 2D         | 3/2  |   2 - 4   |       |                              T5118c63,LS |         |
Si XII    |                 |          2.6134 |       | 3.16e+10   | C    |    24.8263     -   [499.25]     | 1s2.2p                    | 2P*        | 3/2 | 1s2.9d                    | 2D         | 5/2  |   4 - 6   |       |                              T5118c63,LS |         |
Si XII    |                 |          2.6134 |       | 5.26e+09   | D+   |    24.8263     -   [499.25]     | 1s2.2p                    | 2P*        | 3/2 | 1s2.9d                    | 2D         | 3/2  |   4 - 4   |       |                              T5118c63,LS |         |
Si XII    |                 |          2.6436 |       | 3.82e+10   | C+   |    23.8127     -   [492.81]     | 1s2.2p                    | 2P*        | 1/2 | 1s2.8d                    | 2D         | 3/2  |   2 - 4   |       |                              T5118c63,LS |         |
Si XII    |                 |          2.6456 |       | 6.15e+10   | B+   |     0.0000     -   [468.64]     | 1s2.2s                    | 2S         | 1/2 | 1s2.6p                    | 2P*        | 3/2  |   2 - 4   |       |                              T5118c63,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XII    |                 |          2.6459 |       | 6.15e+10   | B    |     0.0000     -   [468.60]     | 1s2.2s                    | 2S         | 1/2 | 1s2.6p                    | 2P*        | 1/2  |   2 - 2   |       |                              T5118c63,LS |         |
Si XII    |                 |          2.6493 |       | 7.59e+09   | C    |    24.8263     -   [492.81]     | 1s2.2p                    | 2P*        | 3/2 | 1s2.8d                    | 2D         | 3/2  |   4 - 4   |       |                              T5118c63,LS |         |
Si XII    |                 |          2.6493 |       | 4.56e+10   | C+   |    24.8263     -   [492.81]     | 1s2.2p                    | 2P*        | 3/2 | 1s2.8d                    | 2D         | 5/2  |   4 - 6   |       |                              T5118c63,LS |         |
Si XII    |                 |          2.6975 |       | 5.82e+10   | C+   |    23.8127     -    483.433     | 1s2.2p                    | 2P*        | 1/2 | 1s2.7d                    | 2D         | 3/2  |   2 - 4   |       |                              T5118c63,LS |         |
Si XII    |                 |          2.7035 |       | 6.94e+10   | B    |    24.8263     -    483.433     | 1s2.2p                    | 2P*        | 3/2 | 1s2.7d                    | 2D         | 5/2  |   4 - 6   |       |                              T5118c63,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XII    |                 |          2.7035 |       | 1.16e+10   | C    |    24.8263     -    483.433     | 1s2.2p                    | 2P*        | 3/2 | 1s2.7d                    | 2D         | 3/2  |   4 - 4   |       |                              T5118c63,LS |         |
Si XIII   |                 |          2.7341 |       | 2.85e+11   | B+   | [1839.4227]    -  [2292.893]    | 1s.2s                     | 3S         | 1   | 1s.4p                     | 3P*        | 2    |   3 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.7348 |       | 2.85e+11   | B+   | [1839.4227]    -  [2292.7824]   | 1s.2s                     | 3S         | 1   | 1s.4p                     | 3P*        | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.7350 |       | 2.84e+11   | B+   | [1839.4227]    -  [2292.7539]   | 1s.2s                     | 3S         | 1   | 1s.4p                     | 3P*        | 0    |   3 - 1   |       |                               T5231c4,LS |         |
Si XII    |                 |          2.7850 |       | 9.55e+10   | B+   |    23.8127     -    469.00      | 1s2.2p                    | 2P*        | 1/2 | 1s2.6d                    | 2D         | 3/2  |   2 - 4   |       |                              T5118c63,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XII    |                 |          2.7897 |       | 1.06e+11   | B+   |     0.0000     -   [444.440]    | 1s2.2s                    | 2S         | 1/2 | 1s2.5p                    | 2P*        | 3/2  |   2 - 4   |       |                                    T5593 |         |
Si XII    |                 |          2.7901 |       | 1.07e+11   | B+   |     0.0000     -   [444.378]    | 1s2.2s                    | 2S         | 1/2 | 1s2.5p                    | 2P*        | 1/2  |   2 - 2   |       |                                    T5593 |         |
Si XII    |                 |          2.7914 |       | 1.14e+11   | B+   |    24.8263     -    469.00      | 1s2.2p                    | 2P*        | 3/2 | 1s2.6d                    | 2D         | 5/2  |   4 - 6   |       |                              T5118c63,LS |         |
