-------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |                Level (eV)  |   Uncertainty (eV) | Leading percentages                        | Reference
3s2.3p3.(2D*).5p      | 1F     |   3 |    7 |        22.049696           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).5p      | 3P     |   2 |    5 |        22.088033           |                    |  92                                        |          
                      |        |   1 |    3 |        22.091177           |                    |  94                                        |          
                      |        |   0 |    1 |        22.092483           |                    |  96                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).7p      | 5P     |   1 |    3 |        22.131737           |                    |                                            |          
                      |        |   2 |    5 |        22.132244           |                    |                                            |          
                      |        |   3 |    7 |        22.132942           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4d      | 1D*    |   2 |    5 |        22.136288           |                    |  84                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).6d      | 3D*    |   1 |    3 |        22.15872            |                    |                                            |          
                      |        |   2 |    5 |        22.163524           |                    |                                            |          
                      |        |   3 |    7 |        22.167518           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4d      | 1F*    |   3 |    7 |        22.238552           |                    |  81         :    15  3s2.3p3.(2D*).3d 1F*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).6f      | 5F     |   5 |   11 |        22.276289           |                    |                                            |          
                      |        |   4 |    9 |        22.276330           |                    |                                            |          
                      |        |   3 |    7 |        22.276387           |                    |                                            |          
                      |        |   2 |    5 |        22.276432           |                    |                                            |          
                      |        |   1 |    3 |        22.276463           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).6f      | 3F     |   2 |    5 |        22.282117           |                    |                                            |          
                      |        |   3 |    7 |        22.282126           |                    |                                            |          
                      |        |   4 |    9 |        22.282167           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).6g      | 5G*    |   6 |   13 |        22.297783           |                    |                                            |          
                      |        |   2 |    5 |        22.297797           |                    |                                            |          
                      |        |   3 |    7 |        22.297797           |                    |                                            |          
                      |        |   4 |    9 |        22.297797           |                    |                                            |          
                      |        |   5 |   11 |        22.297799           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).6g      | 3G*    |   4 |    9 |        22.297803           |                    |                                            |          
                      |        |   3 |    7 |        22.297803           |                    |                                            |          
                      |        |   5 |   11 |        22.297902           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4d      | 1P*    |   1 |    3 |        22.300922           |                    |  54         :    24  3s.3p5           1P*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).5p      | 1D     |   2 |    5 |        22.301462           |                    |  97                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).7d      | 5D*    |   4 |    9 |        22.505014           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4f      | 3G     |   3 |    7 |        22.577022           |                    |  85                                        |          
                      |        |   4 |    9 |        22.579571           |                    |  62         :    22  3s2.3p3.(2D*).4f 3F   |          
                      |        |   5 |   11 |        22.593114           |                    |  89                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4f      | aD     |   2 |    5 |        22.587493           |                    |  40         :    35  3s2.3p3.(2D*).4f 3D   |          
                      |        |   3 |    7 |        22.588074           |                    |  83         :    11  3s2.3p3.(2D*).4f 3F   |          
                      |        |   1 |    3 |        22.604339           |                    |  89         :    10  3s2.3p3.(2D*).4f 1P   |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4f      | 3H     |   5 |   11 |        22.588879           |                    |  56         :    34  3s2.3p3.(2D*).4f 1H   |          
                      |        |   4 |    9 |        22.589861           |                    |  95                                        |          
                      |        |   6 |   13 |        22.597230           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4f      | 3F     |   4 |    9 |        22.593980           |                    |  68         :    30  3s2.3p3.(2D*).4f 3G   |          
                      |        |   3 |    7 |        22.596519           |                    |  77         :    10  3s2.3p3.(2D*).4f 3G   |          
                      |        |   2 |    5 |        22.599008           |                    |  68         :    23  3s2.3p3.(2D*).4f 3D   |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4f      | 1H     |   5 |   11 |        22.597038           |                    |  59         :    40  3s2.3p3.(2D*).4f 3H   |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).8p      | 5P     |   1 |    3 |        22.598344           |                    |                                            |          
                      |        |   2 |    5 |        22.598615           |                    |                                            |          
                      |        |   3 |    7 |        22.599103           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4f      | 1P     |   1 |    3 |        22.599913           |                    |  81         :    11  3s2.3p3.(2D*).4f 3P   |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4f      | 1G     |   4 |    9 |        22.603009           |                    |  83                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4f      | 3P     |   2 |    5 |        22.603994           |                    |  71         :    17  3s2.3p3.(2D*).4f 1D   |          
                      |        |   1 |    3 |        22.608241           |                    |  88                                        |          
                      |        |   0 |    1 |        22.609151           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4f      | 1F     |   3 |    7 |        22.604112           |                    |  87                                        |          
                      |        |     |      |                            |                    |                                            |           
