---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed          |   Unc.   |            Ritz            |     Unc.     |  Rel. |     Aki      | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |  gi   gk  |Type|      TP  |       Line  |
          |         Wavelength         |   (nm)   |         Wavelength         |     (nm)     |  Int. |    (s^-1)    |      |        (eV)         (eV)        |-----------------------|-----------------------|           |    |     Ref. |       Ref.  |
          |          Vac (nm)          |          |          Vac (nm)          |              |       |              |      |                                 | Conf.  | Term | J     | Conf.  | Term | J     |           |    |          |             |
He II     |                            |          |              108.491738860 |  0.000000024 |       | 7.9219e+07   | AA   | (40.8130886)   -  (52.2410737)  | 2s     | 2S   | 1/2   | 5p     | 2P*  | 1/2   |   2 - 2   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |              108.497494457 |  0.000000008 |       | 1.5087e+08   | AA   | (40.8137567)   -  (52.2411356)  | 2p     | 2P*  | 3/2   | 5d     | 2D   | 5/2   |   4 - 6   |    |    T8637 |             |
He II     |                            |          |              108.497641536 |  0.000000008 |       | 2.5145e+07   | AA   | (40.8137567)   -  (52.2411201)  | 2p     | 2P*  | 3/2   | 5d     | 2D   | 3/2   |   4 - 4   |    |    T8637 |             |
He II     |                            |          |              108.498046470 |  0.000000005 |       | 1.3753e+07   | AA   | (40.8137567)   -  (52.2410774)  | 2p     | 2P*  | 3/2   | 5s     | 2S   | 1/2   |   4 - 2   |    |    T8637 |             |
He II     |                            |          |              121.508809272 |  0.000000015 |       | 2.7518e+08   | AA   | (40.8130305)   -  (51.0167514)  | 2p     | 2P*  | 1/2   | 4d     | 2D   | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |              121.50949901  |  0.00000003  |       | 1.5478e+08   | AA   | (40.8130886)   -  (51.0167515)  | 2s     | 2S   | 1/2   | 4p     | 2P*  | 3/2   |   2 - 4   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |              121.509801339 |  0.000000007 |       | 1.3758e+07   | AA   | (40.8130305)   -  (51.0166681)  | 2p     | 2P*  | 1/2   | 4s     | 2S   | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |              121.51058000  |  0.00000003  |       | 1.5478e+08   | AA   | (40.8130886)   -  (51.0166608)  | 2s     | 2S   | 1/2   | 4p     | 2P*  | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |              121.517097283 |  0.000000013 |       | 3.3015e+08   | AA   | (40.8137567)   -  (51.0167816)  | 2p     | 2P*  | 3/2   | 4d     | 2D   | 5/2   |   4 - 6   |    |    T8637 |             |
He II     |                            |          |              121.517457624 |  0.000000013 |       | 5.5024e+07   | AA   | (40.8137567)   -  (51.0167514)  | 2p     | 2P*  | 3/2   | 4d     | 2D   | 3/2   |   4 - 4   |    |    T8637 |             |
He II     |                            |          |              121.518449833 |  0.000000006 |       | 2.7515e+07   | AA   | (40.8137567)   -  (51.0166681)  | 2p     | 2P*  | 3/2   | 4s     | 2S   | 1/2   |   4 - 2   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |              164.033212826 |  0.000000013 |       | 8.6259e+08   | AA   | (40.8130305)   -  (48.3715118)  | 2p     | 2P*  | 1/2   | 3d     | 2D   | 3/2   |   2 - 4   |    |    T8637 |             |
