----------------------------------------------------------------------------------------------------
Configuration          | Term   |   J |    g |          Level (eV) |   Uncertainty (eV) | Reference
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).10d      | 3D*    |   3 |    7 |        13.48156     |                    |          
                       |        |   1 |    3 |        13.48156     |                    |          
                       |        |   2 |    5 |        13.48156     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).12s      | 3S*    |   1 |    3 |        13.50264     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).11d      | 3D*    |   3 |    7 |        13.50525     |                    |          
                       |        |   1 |    3 |        13.50525     |                    |          
                       |        |   2 |    5 |        13.50525     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).13s      | 3S*    |   1 |    3 |        13.52122     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).12d      | 3D*    |   1 |    3 |        13.52337     |                    |          
                       |        |   2 |    5 |        13.52337     |                    |          
                       |        |   3 |    7 |        13.52337     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).14s      | 3S*    |   1 |    3 |        13.53557     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).13d      | 3D*    |   3 |    7 |        13.53738     |                    |          
                       |        |   1 |    3 |        13.53738     |                    |          
                       |        |   2 |    5 |        13.53738     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).15s      | 3S*    |   1 |    3 |        13.54724     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).14d      | 3D*    |   2 |    5 |        13.54877     |                    |          
                       |        |   3 |    7 |        13.54877     |                    |          
                       |        |   1 |    3 |        13.54937     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).16s      | 3S*    |   1 |    3 |        13.55656     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).15d      | 3D*    |   3 |    7 |        13.55754     |                    |          
                       |        |   1 |    3 |        13.55754     |                    |          
                       |        |   2 |    5 |        13.55754     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).17s      | 3S*    |   1 |    3 |        13.56417     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).16d      | 3D*    |   1 |    3 |        13.56505     |                    |          
                       |        |   2 |    5 |        13.56505     |                    |          
                       |        |   3 |    7 |        13.56505     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).18s      | 3S*    |   1 |    3 |        13.57065     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).17d      | 3D*    |   3 |    7 |        13.57101     |                    |          
                       |        |   1 |    3 |        13.57101     |                    |          
                       |        |   2 |    5 |        13.57101     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).18d      | 3D*    |   1 |    3 |        13.57539     |                    |          
                       |        |   2 |    5 |        13.57602     |                    |          
                       |        |   3 |    7 |        13.57615     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).19s      | 3S*    |   1 |    3 |        13.57615     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).19d      | 3D*    |   3 |    7 |        13.58039     |                    |          
                       |        |   1 |    3 |        13.58039     |                    |          
                       |        |   2 |    5 |        13.58039     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).20s      | 3S*    |   1 |    3 |        13.58040     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).20d      | 3D*    |   1 |    3 |        13.58389     |                    |          
                       |        |   2 |    5 |        13.58389     |                    |          
                       |        |   3 |    7 |        13.58389     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).21s      | 3S*    |   1 |    3 |        13.58399     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).22s      | 3S*    |   1 |    3 |        13.58730     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).21d      | 3D*    |   3 |    7 |        13.58734     |                    |          
                       |        |   1 |    3 |        13.58734     |                    |          
                       |        |   2 |    5 |        13.58734     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).22d      | 3D*    |   1 |    3 |        13.58997     |                    |          
                       |        |   2 |    5 |        13.58997     |                    |          
                       |        |   3 |    7 |        13.58997     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).23s      | 3S*    |   1 |    3 |        13.58997     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).23d      | 3D*    |   3 |    7 |        13.59239     |                    |          
                       |        |   1 |    3 |        13.59239     |                    |          
                       |        |   2 |    5 |        13.59239     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).24s      | 3S*    |   1 |    3 |        13.59239     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).24d      | 3D*    |   1 |    3 |        13.59458     |                    |          
                       |        |   2 |    5 |        13.59458     |                    |          
                       |        |   3 |    7 |        13.59458     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).25s      | 3S*    |   1 |    3 |        13.59458     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).25d      | 3D*    |   3 |    7 |        13.59628     |                    |          
                       |        |   1 |    3 |        13.59628     |                    |          
                       |        |   2 |    5 |        13.59628     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).26s      | 3S*    |   1 |    3 |        13.59628     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).26d      | 3D*    |   1 |    3 |        13.59778     |                    |          
