----------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term   |    J |    g |           Level (eV) |     Uncertainty (eV) |    Landé | Leading percentages                     | Reference
3d4.(a 3F).4s          | d 4F   |  9/2 |   10 |         6.80270402   |          0.00000013  |          |                                         |       L18847
                       |        |  3/2 |    4 |         6.8028266    |          0.0000004   |          |                                         |       L18847
                       |        |  5/2 |    6 |         6.8046843    |          0.0000003   |          |                                         |       L18847
                       |        |  7/2 |    8 |         6.80524287   |          0.00000018  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3P).4s          | c 4P   |  5/2 |    6 |         6.82198583   |          0.00000015  |          |                                         |       L18847
                       |        |  3/2 |    4 |         6.86855969   |          0.00000024  |          |                                         |       L18847
                       |        |  1/2 |    2 |         6.8967565    |          0.0000004   |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3P).4s          | b 2P   |  3/2 |    4 |         7.3312259    |          0.0000005   |          |                                         |       L18847
                       |        |  1/2 |    2 |         7.3803673    |          0.0000011   |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3F).4s          | e 2F   |  7/2 |    8 |         7.3857579    |          0.0000003   |          |                                         |       L18847
                       |        |  5/2 |    6 |         7.3866917    |          0.0000005   |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(b 1G).4s          | e 2G   |  9/2 |   10 |         7.7724395    |          0.0000005   |          |                                         |       L18847
                       |        |  7/2 |    8 |         7.7740239    |          0.0000006   |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3H).4p            | z 4H*  |  7/2 |    8 |         7.88550166   |          0.00000014  |    0.680 |  82         :    16  3d4.(3G).4p   4H*  | L18847,L7185
                       |        |  9/2 |   10 |         7.89856841   |          0.00000014  |    1.030 |  80         :    16  3d4.(3G).4p   4H*  | L18847,L7185
                       |        | 11/2 |   12 |         7.91622935   |          0.00000014  |    1.138 |  80         :    15  3d4.(3G).4p   4H*  | L18847,L7185
                       |        | 13/2 |   14 |         7.93877081   |          0.00000014  |    1.234 |  83         :    13  3d4.(3G).4p   4H*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3P).4p          | y 4D*  |  1/2 |    2 |         7.91040877   |          0.00000016  |    0.000 |  87         :     7  3d4.(a 3F).4p 4D*  | L18847,L7185
                       |        |  3/2 |    4 |         7.9426370    |          0.0000004   |    1.199 |  86         :     8  3d4.(a 3F).4p 4D*  | L18847,L7185
                       |        |  5/2 |    6 |         7.99062658   |          0.00000015  |    1.380 |  85         :    10  3d4.(a 3F).4p 4D*  | L18847,L7185
                       |        |  7/2 |    8 |         8.04960718   |          0.00000015  |    1.411 |  80         :    14  3d4.(a 3F).4p 4D*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3P).4p          | z 2S*  |  1/2 |    2 |         8.06260991   |          0.00000015  |          |  73         :     7  3d4.(a 3P).4p 4P*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3F).4p          | z 4G*  |  5/2 |    6 |         8.07837506   |          0.00000015  |    0.593 |  79         :    14  3d4.(3G).4p   4G*  | L18847,L7185
                       |        |  7/2 |    8 |         8.09081833   |          0.00000015  |    0.920 |  70         :    12  3d4.(3G).4p   4G*  | L18847,L7185
                       |        |  9/2 |   10 |         8.10657080   |          0.00000015  |    1.120 |  59         :    10  3d4.(3G).4p   4G*  | L18847,L7185
                       |        | 11/2 |   12 |         8.14693240   |          0.00000015  |    1.265 |  73         :    13  3d4.(3G).4p   4G*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3H).4p            | z 4I*  |  9/2 |   10 |         8.08594026   |          0.00000015  |          |  96                                     | L18847,L7185
                       |        | 11/2 |   12 |         8.11098612   |          0.00000015  |          |  95                                     | L18847,L7185
                       |        | 13/2 |   14 |         8.13558834   |          0.00000015  |          |  96                                     | L18847,L7185
                       |        | 15/2 |   16 |         8.15972848   |          0.00000015  |          | 100                                     | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3H).4p            | z 2G*  |  7/2 |    8 |         8.12628369   |          0.00000015  |          |  49         :    33  3d4.(a 3F).4p 2G*  | L18847,L7185
                       |        |  9/2 |   10 |         8.14328321   |          0.00000015  |          |  41         :    31  3d4.(a 3F).4p 2G*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d3.4s2                | d 4P   |  1/2 |    2 |         8.16837812   |          0.00000015  |          |                                         |       L18847
                       |        |  3/2 |    4 |         8.18422741   |          0.00000015  |          |                                         |       L18847
                       |        |  5/2 |    6 |         8.21476628   |          0.00000015  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3P).4p          | y 4P*  |  1/2 |    2 |         8.21475177   |          0.00000019  |    2.545 |  76         :    13  3d4.(a 3P).4p 2S*  | L18847,L7185
                       |        |  3/2 |    4 |         8.22694129   |          0.00000015  |    1.671 |  90                                     | L18847,L7185
                       |        |  5/2 |    6 |         8.27306655   |          0.00000015  |    1.502 |  92                                     | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3P).4p          | z 2P*  |  3/2 |    4 |         8.26347131   |          0.00000015  |          |  53         :    15  3d4.(a 3F).4p 2D*  | L18847,L7185
                       |        |  1/2 |    2 |         8.29105012   |          0.00000015  |          |  79         :    14  3d4.(a 3P).4p 2S*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3F).4p          | y 4F*  |  5/2 |    6 |         8.30843838   |          0.00000015  |          |  71         :    13  3d4.(a 3F).4p 2D*  | L18847,L7185
                       |        |  3/2 |    4 |         8.31567460   |          0.00000016  |          |  51         :    21  3d4.(a 3P).4p 2P*  | L18847,L7185
                       |        |  7/2 |    8 |         8.35572275   |          0.00000016  |          |  76         :    10  3d4.(3H).4p   4G*  | L18847,L7185
                       |        |  9/2 |   10 |         8.36255316   |          0.00000016  |          |  63         :    18  3d4.(3H).4p   4G*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3H).4p            | y 4G*  |  7/2 |    8 |         8.34832435   |          0.00000016  |          |  60         :    18  3d4.(a 3F).4p 4F*  | L18847,L7185
                       |        |  5/2 |    6 |         8.34959263   |          0.00000016  |          |  66         :    13  3d4.(a 3F).4p 4G*  | L18847,L7185
                       |        |  9/2 |   10 |         8.35074076   |          0.00000016  |          |  51         :    32  3d4.(a 3F).4p 4F*  | L18847,L7185
                       |        | 11/2 |   12 |         8.35269991   |          0.00000016  |          |  65         :    22  3d4.(a 3F).4p 4G*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3F).4p          | z 2D*  |  3/2 |    4 |         8.35396781   |          0.00000016  |          |  28         :    32  3d4.(a 3F).4p 4F*  | L18847,L7185
                       |        |  5/2 |    6 |         8.35493434   |          0.00000016  |          |  50         :    18  3d4.(a 3F).4p 4F*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3H).4p            | z 2I*  | 11/2 |   12 |         8.36968826   |          0.00000016  |          |  93                                     | L18847,L7185
                       |        | 13/2 |   14 |         8.37995213   |          0.00000016  |          |  95                                     | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3F).4p          | x 4D*  |  1/2 |    2 |         8.41351300   |          0.00000016  |          |  88         :    11  3d4.(a 3P).4p 4D*  | L18847,L7185
                       |        |  5/2 |    6 |         8.41453306   |          0.00000016  |          |  77         :    13  3d4.(a 3P).4p 4D*  | L18847,L7185
                       |        |  3/2 |    4 |         8.41483359   |          0.00000016  |          |  84         :    12  3d4.(a 3P).4p 4D*  | L18847,L7185
                       |        |  7/2 |    8 |         8.41547314   |          0.00000016  |          |  69         :    19  3d4.(a 3P).4p 4D*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3P).4p          | z 4S*  |  3/2 |    4 |         8.46880902   |          0.00000016  |    1.978 |  70         :    17  3d4.(a 3P).4p 2P*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3H).4p            | z 2H*  |  9/2 |   10 |         8.49005050   |          0.00000016  |          |  81         :    12  3d4.(a 1G).4p 2H*  | L18847,L7185
                       |        | 11/2 |   12 |         8.52239742   |          0.00000016  |          |  84         :    10  3d4.(a 1G).4p 2H*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3F).4p          | z 2F*  |  5/2 |    6 |         8.50324724   |          0.00000016  |          |  50         :    21  3d4.(3G).4p   2F*  | L18847,L7185
                       |        |  7/2 |    8 |         8.52512850   |          0.00000016  |          |  59         :    18  3d4.(3G).4p   2F*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3G).4p            | y 4H*  |  7/2 |    8 |         8.53547791   |          0.00000016  |          |  83         :    16  3d4.(3H).4p   4H*  | L18847,L7185
                       |        |  9/2 |   10 |         8.55396076   |          0.00000016  |          |  82         :    14  3d4.(3H).4p   4H*  | L18847,L7185
                       |        | 11/2 |   12 |         8.57603066   |          0.00000016  |          |  82         :    13  3d4.(3H).4p   4H*  | L18847,L7185
                       |        | 13/2 |   14 |         8.60303415   |          0.00000016  |          |  85         :    13  3d4.(3H).4p   4H*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3P).4p          | 2D*    |  3/2 |    4 |         8.59807381   |          0.00000016  |          |  65         :    28  3d4.(a 3F).4p 2D*  | L18847,L7185
                       |        |  5/2 |    6 |         8.67319695   |          0.00000016  |          |  66         :    20  3d4.(a 3F).4p 2D*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3G).4p            | 4F*    |  5/2 |    6 |         8.61416169   |          0.00000016  |          |  71         :    11  3d4.(3D).4p   4F*  | L18847,L7185
                       |        |  9/2 |   10 |         8.61668025   |          0.00000016  |          |  60         :    13  3d4.(a 3F).4p 2G*  | L18847,L7185
                       |        |  7/2 |    8 |         8.61765371   |          0.00000016  |          |  60         :    11  3d4.(a 3F).4p 2G*  | L18847,L7185
                       |        |  3/2 |    4 |         8.63408476   |          0.00000016  |          |  81         :    13  3d4.(3D).4p   4F*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3F).4p          | y 2G*  |  7/2 |    8 |         8.66692721   |          0.00000016  |          |  42         :    25  3d4.(3H).4p   2G*  | L18847,L7185
                       |        |  9/2 |   10 |         8.69223732   |          0.00000016  |          |  37         :    25  3d4.(3H).4p   2G*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3G).4p            | x 4G*  |  5/2 |    6 |         8.71817466   |          0.00000016  |          |  60         :    17  3d4.(3H).4p   4G*  | L18847,L7185
                       |        |  7/2 |    8 |         8.73183392   |          0.00000016  |          |  61         :    19  3d4.(3H).4p   4G*  | L18847,L7185
                       |        |  9/2 |   10 |         8.76309033   |          0.00000016  |          |  44         :    22  3d4.(3G).4p   2H*  | L18847,L7185
                       |        | 11/2 |   12 |         8.78796551   |          0.00000016  |          |  41         :    38  3d4.(3G).4p   2H*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3G).4p            | y 2H*  |  9/2 |   10 |         8.72776163   |          0.00000016  |          |  57         :    19  3d4.(3G).4p   4G*  | L18847,L7185
                       |        | 11/2 |   12 |         8.72833848   |          0.00000016  |          |  47         :    34  3d4.(3G).4p   4G*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3G).4p            | y 2F*  |  5/2 |    6 |         8.75134936   |          0.00000016  |          |  45         :    32  3d4.(a 3F).4p 2F*  | L18847,L7185
                       |        |  7/2 |    8 |         8.78454845   |          0.00000021  |          |  59         :    20  3d4.(a 3F).4p 2F*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3G).4p            | x 2G*  |  7/2 |    8 |         9.00726909   |          0.00000019  |          |  79         :    11  3d4.(3H).4p   2G*  | L18847,L7185
                       |        |  9/2 |   10 |         9.01572389   |          0.00000017  |          |  75         :    13  3d4.(3H).4p   2G*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3D).4p            | w 4D*  |  1/2 |    2 |         9.10129439   |          0.00000022  |          |  96                                     | L18847,L7185
                       |        |  3/2 |    4 |         9.10191311   |          0.00000017  |          |  91                                     | L18847,L7185
                       |        |  5/2 |    6 |         9.10491919   |          0.00000024  |          |  87                                     | L18847,L7185
                       |        |  7/2 |    8 |         9.11105410   |          0.00000017  |          |  89                                     | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 1G).4p          | x 2F*  |  7/2 |    8 |         9.18900915   |          0.00000017  |          |  64         :    19  3d4.(3D).4p   4F*  | L18847,L7185
                       |        |  5/2 |    6 |         9.22890133   |          0.00000019  |          |  77         :     7  3d4.(3D).4p   2F*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3D).4p            | w 4F*  |  3/2 |    4 |         9.2087206    |          0.0000003   |          |  82         :    13  3d4.(3G).4p   4F*  | L18847,L7185
                       |        |  5/2 |    6 |         9.21436204   |          0.00000017  |          |  48         :    40  3d4.(3D).4p   4P*  | L18847,L7185
                       |        |  7/2 |    8 |         9.22735950   |          0.00000017  |          |  89         :     6  3d4.(3D).4p   4F*  | L18847,L7185
                       |        |  9/2 |   10 |         9.23733092   |          0.00000017  |          |  86         :    13  3d4.(3G).4p   4F*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(1I).4p            | 2I*    | 11/2 |   12 |         9.22711870   |          0.00000017  |          |  85         :    12  3d4.(a 1G).4p 2H*  | L18847,L7185
                       |        | 13/2 |   14 |         9.2669739    |          0.0000009   |          |  64         :    35  3d4.(1I).4p   2K*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(1I).4p            | 2K*    | 13/2 |   14 |         9.22741847   |          0.00000017  |          |  65         :    33  3d4.(1I).4p   2I*  | L18847,L7185
