------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |    g |       Level (eV) |   Uncertainty (eV) | Reference
2s.2p.(3P*).5f       | 4D     |  7/2 |    8 |      28.705301   |                    |          
                     |        |  5/2 |    6 |      28.705862   |                    |          
                     |        |  3/2 |    4 |      28.70869    |                    |          
                     |        |  1/2 |    2 |      28.7106     |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5f       | 2D     |  5/2 |    6 |      28.70869    |                    |          
                     |        |  3/2 |    4 |      28.71107    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).6s       | 4P*    |  1/2 |    2 |      28.97150    |                    |          
                     |        |  3/2 |    4 |      28.97428    |                    |          
                     |        |  5/2 |    6 |      28.98015    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).6p       | 4D     |  1/2 |    2 |      29.1360     |                    |          
                     |        |  3/2 |    4 |      29.1377     |                    |          
                     |        |  5/2 |    6 |      29.1401     |                    |          
                     |        |  7/2 |    8 |      29.14457    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).6p       | 4P     |  5/2 |    6 |      29.19260    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).6d       | 4D*    |  7/2 |    8 |      29.3156     |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).6d       | 4P*    |  5/2 |    6 |      29.3355     |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).6f       | 2F     |  5/2 |    6 |      29.3462     |                    |          
                     |        |  7/2 |    8 |      29.3474     |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).6f       | 4F     |  3/2 |    4 |      29.3462     |                    |          
                     |        |  5/2 |    6 |      29.3468     |                    |          
                     |        |  7/2 |    8 |      29.3479     |                    |          
                     |        |  9/2 |   10 |      29.34806    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).6f       | 4G     |  5/2 |    6 |      29.3611     |                    |          
                     |        |  7/2 |    8 |      29.36235    |                    |          
                     |        |  9/2 |   10 |      29.36481    |                    |          
                     |        | 11/2 |   12 |      29.36953    |                    |          
                     |        |      |      |                  |                    |           
