---------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |            Level (eV) |   Uncertainty (eV) | Reference
2s2.2p2.(3P).10d   | 2P     |  3/2 |    4 |          14.4014      |                    |          
                   |        |  1/2 |    2 |          14.4014      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).10d   | 2F     |  5/2 |    6 |          14.4019      |                    |          
                   |        |  7/2 |    8 |          14.4019      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).10d   | 4D     |  5/2 |    6 |          14.4025      |                    |          
                   |        |  3/2 |    4 |          14.4025      |                    |          
                   |        |  7/2 |    8 |          14.4025      |                    |          
                   |        |  1/2 |    2 |          14.4025      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).10d   | 2D     |  3/2 |    4 |          14.412       |           0.012    |          
                   |        |  5/2 |    6 |          14.412       |           0.012    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).10d   | 4P     |  1/2 |    2 |          14.4143      |                    |          
                   |        |  5/2 |    6 |          14.4143      |                    |          
                   |        |  3/2 |    4 |          14.4143      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(1S).3s    | 2S     |  1/2 |    2 |          14.4167037   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).12s   | 2P     |  3/2 |    4 |          14.4200      |                    |          
                   |        |  1/2 |    2 |          14.4200      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).12s   | 4P     |  1/2 |    2 |          14.4208      |                    |          
                   |        |  5/2 |    6 |          14.4208      |                    |          
                   |        |  3/2 |    4 |          14.4208      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).11d   | 2P     |  3/2 |    4 |          14.4257      |                    |          
                   |        |  1/2 |    2 |          14.4257      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).11d   | 2F     |  7/2 |    8 |          14.4267      |                    |          
                   |        |  5/2 |    6 |          14.4267      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).11d   | 4D     |  1/2 |    2 |          14.4277      |                    |          
                   |        |  5/2 |    6 |          14.4277      |                    |          
                   |        |  3/2 |    4 |          14.4277      |                    |          
                   |        |  7/2 |    8 |          14.4277      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).11d   | 2D     |  3/2 |    4 |          14.4362      |                    |          
                   |        |  5/2 |    6 |          14.4362      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).11d   | 4P     |  3/2 |    4 |          14.4368      |                    |          
                   |        |  1/2 |    2 |          14.4368      |                    |          
                   |        |  5/2 |    6 |          14.4368      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).13s   | 2P     |  1/2 |    2 |          14.4401      |                    |          
                   |        |  3/2 |    4 |          14.4401      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).12d   | 2P     |  3/2 |    4 |          14.4444      |                    |          
                   |        |  1/2 |    2 |          14.4444      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).12d   | 4P     |  1/2 |    2 |          14.4542      |                    |          
                   |        |  5/2 |    6 |          14.4542      |                    |          
                   |        |  3/2 |    4 |          14.4542      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).12d   | 2D     |  5/2 |    6 |          14.4597      |                    |          
                   |        |  3/2 |    4 |          14.4597      |                    |          
-------------------|--------|------|------|-----------------------|--------------------|-----------
-------------------|--------|------|------|-----------------------|--------------------|-----------
N II (2p2 3P<0>)   | Limit  |  --- |      |          14.53413     |           0.00004  |     L1411
-------------------|--------|------|------|-----------------------|--------------------|-----------
-------------------|--------|------|------|-----------------------|--------------------|-----------
N II (2p2 3P<1>)   | Limit  |  --- |      |          14.54017     |                    |          
