-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed       |   Unc.    |        Ritz         |   Unc.    |            Rel. |     Aki     | Acc. |           Ei           Ek         |         Lower level          |              Upper level               |  gi   gk  |Type|                   TP  |             Line  |
          |     Wavelength      |    (nm)   |     Wavelength      |    (nm)   |            Int. |   (s^-1)    |      |          (eV)         (eV)        |------------------------------|----------------------------------------|           |    |                  Ref. |             Ref.  |
          |      Air (nm)       |           |      Air (nm)       |           |                 |             |      |                                   | Conf.           | Term | J   | Conf.                 | Term    | J    |           |    |                       |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C VI      |                     |           |          207.04237  |  0.00010  |                 | 5.119e+07   | AA   | (470.401123)     -  (476.387561)  | 5f              | 2F*  | 7/2 | 6g                    | 2G      | 7/2  |   8 - 8   |    |           T6492extrap |                   |
C VI      |                     |           |          207.04281  |  0.00010  |                 | 2.133e+09   | AA   | (470.401498)     -  (476.387924)  | 5g              | 2G   | 9/2 | 6h                    | 2H*     | 11/2 |  10 - 12  |    |           T6492extrap |                   |
C VI      |                     |           |          207.04783  |  0.00010  |                 | 4.739e+07   | AA   | (470.401498)     -  (476.387778)  | 5g              | 2G   | 9/2 | 6h                    | 2H*     | 9/2  |  10 - 10  |    |           T6492extrap |                   |
C VI      |                     |           |          207.05486  |  0.00010  |                 | 4.826e+07   | AA   | (470.401123)     -  (476.387200)  | 5f              | 2F*  | 7/2 | 6d                    | 2D      | 5/2  |   8 - 6   |    |           T6492extrap |                   |
C VI      |                     |           |          207.05487  |  0.00010  |                 | 1.475e+07   | AA   | (470.401122)     -  (476.387198)  | 5g              | 2G   | 7/2 | 6f                    | 2F*     | 5/2  |   8 - 6   |    |           T6492extrap |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C VI      |                     |           |          207.05533  |  0.00010  |                 | 1.434e+07   | AA   | (470.401498)     -  (476.387561)  | 5g              | 2G   | 9/2 | 6f                    | 2F*     | 7/2  |  10 - 8   |    |           T6492extrap |                   |
C VI      |                     |           |          207.05823  |  0.00010  |                 | 1.119e+08   | AA   | (470.400497)     -  (476.386477)  | 5d              | 2D   | 5/2 | 6p                    | 2P*     | 3/2  |   6 - 4   |    |           T6492extrap |                   |
C VI      |                     |           |          207.05829  |  0.00010  |                 | 5.067e+07   | AA   | (470.400495)     -  (476.386473)  | 5f              | 2F*  | 5/2 | 6d                    | 2D      | 3/2  |   6 - 4   |    |           T6492extrap |                   |
C VI      |                     |           |          207.08627  |  0.00010  |                 | 2.316e+08   | AA   | (470.399249)     -  (476.384418)  | 5p              | 2P*  | 3/2 | 6s                    | 2S      | 1/2  |   4 - 2   |    |           T6492extrap |                   |
C VI      |                     |           |          207.09026  |  0.00010  |                 | 1.243e+08   | AA   | (470.399242)     -  (476.384296)  | 5d              | 2D   | 3/2 | 6p                    | 2P*     | 1/2  |   4 - 2   |    |           T6492extrap |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C III     |                     |           |          208.947    |  0.010    |                 | 2.50e+07    | B    |   39.401466      -    45.3333     | 1s2.2s.4p       | 3P*  | 0   | 1s2.2s.7d             | 3D      | 1    |   1 - 3   |    |               T5633LS |                   |
C III     |                     |           |          208.957    |  0.010    |                 | 3.37e+07    | B    |   39.401745      -    45.3333     | 1s2.2s.4p       | 3P*  | 1   | 1s2.2s.7d             | 3D      | 2    |   3 - 5   |    |               T5633LS |                   |
C III     |                     |           |          208.957    |  0.010    |                 | 1.87e+07    | B    |   39.401745      -    45.3333     | 1s2.2s.4p       | 3P*  | 1   | 1s2.2s.7d             | 3D      | 1    |   3 - 3   |    |               T5633LS |                   |
C III     |                     |           |          208.978    |  0.010    |                 | 1.25e+06    | B    |   39.402339      -    45.3333     | 1s2.2s.4p       | 3P*  | 2   | 1s2.2s.7d             | 3D      | 1    |   5 - 3   |    |               T5633LS |                   |
C III     |                     |           |          208.978    |  0.010    |                 | 4.49e+07    | B    |   39.402339      -    45.3333     | 1s2.2s.4p       | 3P*  | 2   | 1s2.2s.7d             | 3D      | 3    |   5 - 7   |    |               T5633LS |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C III     |                     |           |          208.978    |  0.010    |                 | 1.12e+07    | B    |   39.402339      -    45.3333     | 1s2.2s.4p       | 3P*  | 2   | 1s2.2s.7d             | 3D      | 2    |   5 - 5   |    |               T5633LS |                   |
C II      |                     |           |          209.1135   |  0.0010   |                 | 1.00e+07    | B    |   20.701286      -    26.628438   | 2s.2p.(3P*).3s  | 4P*  | 1/2 | 2s.2p.(3P*).4p        | 4D      | 3/2  |   2 - 4   |    |               T5109LS |                   |
C II      |                     |           |          209.1187   |  0.0010   |                 | 1.69e+07    | B    |   20.704212      -    26.631219   | 2s.2p.(3P*).3s  | 4P*  | 3/2 | 2s.2p.(3P*).4p        | 4D      | 5/2  |   4 - 6   |    |               T5109LS |                   |
C II      |                     |           |          209.1645   |  0.0010   |                 | 2.41e+07    | B    |   20.709788      -    26.635497   | 2s.2p.(3P*).3s  | 4P*  | 5/2 | 2s.2p.(3P*).4p        | 4D      | 7/2  |   6 - 8   |    |               T5109LS |                   |
C II      |                     |           |          209.1701   |  0.0010   |                 | 2.01e+07    | B    |   20.701286      -    26.626835   | 2s.2p.(3P*).3s  | 4P*  | 1/2 | 2s.2p.(3P*).4p        | 4D      | 1/2  |   2 - 2   |    |               T5109LS |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C III     |                     |           |          209.1802   |  0.0010   |                 | 1.09e+06    | B    |   33.477076      -    39.402339   | 1s2.2s.3d       | 3D   | 1   | 1s2.2s.4p             | 3P*     | 2    |   3 - 5   |    |               T5633LS |                   |
C III     |                     |           |          209.1851   |  0.0010   |                 | 1.64e+07    | B    |   33.477212      -    39.402339   | 1s2.2s.3d       | 3D   | 2   | 1s2.2s.4p             | 3P*     | 2    |   5 - 5   |    |               T5633LS |                   |
C III     |                     |           |          209.1974   |  0.0010   |                 | 9.17e+07    | B    |   33.477561      -    39.402339   | 1s2.2s.3d       | 3D   | 3   | 1s2.2s.4p             | 3P*     | 2    |   7 - 5   |    |               T5633LS |                   |
C III     |                     |           |          209.2012   |  0.0010   |                 | 2.73e+07    | B    |   33.477076      -    39.401745   | 1s2.2s.3d       | 3D   | 1   | 1s2.2s.4p             | 3P*     | 1    |   3 - 3   |    |               T5633LS |                   |
C III     |                     |           |          209.2060   |  0.0010   |                 | 8.19e+07    | B    |   33.477212      -    39.401745   | 1s2.2s.3d       | 3D   | 2   | 1s2.2s.4p             | 3P*     | 1    |   5 - 3   |    |               T5633LS |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C III     |                     |           |          209.2111   |  0.0010   |                 | 1.09e+08    | B    |   33.477076      -    39.401466   | 1s2.2s.3d       | 3D   | 1   | 1s2.2s.4p             | 3P*     | 0    |   3 - 1   |    |               T5633LS |                   |
C II      |                     |           |          209.2168   |  0.0010   |                 | 1.28e+07    | B    |   20.704212      -    26.628438   | 2s.2p.(3P*).3s  | 4P*  | 3/2 | 2s.2p.(3P*).4p        | 4D      | 3/2  |   4 - 4   |    |               T5109LS |                   |
C II      |                     |           |          209.2735   |  0.0010   |                 | 4.00e+06    | B    |   20.704212      -    26.626835   | 2s.2p.(3P*).3s  | 4P*  | 3/2 | 2s.2p.(3P*).4p        | 4D      | 1/2  |   4 - 2   |    |               T5109LS |                   |
C II      |                     |           |          209.3156   |  0.0010   |                 | 7.20e+06    | B    |   20.709788      -    26.631219   | 2s.2p.(3P*).3s  | 4P*  | 5/2 | 2s.2p.(3P*).4p        | 4D      | 5/2  |   6 - 6   |    |               T5109LS |                   |
C II      |                     |           |          209.4140   |  0.0010   |                 | 1.20e+06    | B    |   20.709788      -    26.628438   | 2s.2p.(3P*).3s  | 4P*  | 5/2 | 2s.2p.(3P*).4p        | 4D      | 3/2  |   6 - 4   |    |               T5109LS |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C III     |                     |           |          210.0436   |  0.0010   |                 | 1.64e+07    | B    |   38.367799      -    44.268710   | 1s2.2s.4s       | 3S   | 1   | 1s2.2s.6p             | 3P*     | 2    |   3 - 5   |    |               T5633LS |                   |
C III     |                     |           |          210.0483   |  0.0010   |                 | 1.64e+07    | B    |   38.367799      -    44.268579   | 1s2.2s.4s       | 3S   | 1   | 1s2.2s.6p             | 3P*     | 1    |   3 - 3   |    |               T5633LS |                   |
C III     |                     |           |          210.0518   |  0.0010   |                 | 1.64e+07    | B    |   38.367799      -    44.268481   | 1s2.2s.4s       | 3S   | 1   | 1s2.2s.6p             | 3P*     | 0    |   3 - 1   |    |               T5633LS |                   |
C IV      |                     |           |          210.394    |  0.010    |                 | 1.08e+08    | B+   |   49.76082       -    55.65191    | 1s2.4s          | 2S   | 1/2 | 1s2.5p                | 2P*     | 3/2  |   2 - 4   |    |               T5118LS |                   |
C IV      |                     |           |          210.425    |  0.010    |                 | 1.08e+08    | B+   |   49.76082       -    55.65103    | 1s2.4s          | 2S   | 1/2 | 1s2.5p                | 2P*     | 1/2  |   2 - 2   |    |               T5118LS |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C II      |                     |           |          211.363    |  0.010    |                 | 4.28e+06    | B    |   23.116071      -    28.98015    | 2s.2p.(3P*).3p  | 4P   | 3/2 | 2s.2p.(3P*).6s        | 4P*     | 5/2  |   4 - 6   |    |               T5109LS |                   |
C II      |                     |           |          211.463    |  0.010    |                 | 9.97e+06    | B    |   23.118840      -    28.98015    | 2s.2p.(3P*).3p  | 4P   | 5/2 | 2s.2p.(3P*).6s        | 4P*     | 5/2  |   6 - 6   |    |               T5109LS |                   |
C II      |                     |           |          211.502    |  0.010    |                 | 5.93e+06    | B    |   23.114045      -    28.97428    | 2s.2p.(3P*).3p  | 4P   | 1/2 | 2s.2p.(3P*).6s        | 4P*     | 3/2  |   2 - 4   |    |               T5109LS |                   |
