------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.    |         Ritz          |     Unc.     |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |   Type|                TP  |           Line  |
          |      Wavelength       |    (nm)    |      Wavelength       |     (nm)     |      Int. |   (s^-1)    |      |          (eV)         (eV)          |----------------------------------------|-----------------------------------------|           |       |               Ref. |           Ref.  |
          |       Vac (nm)        |            |       Vac (nm)        |              |           |             |      |                                     | Conf.                 | Term    | J    | Conf.                  | Term    | J    |           |       |                    |                 |
Ar XVII   |                       |            |            0.378210   |   0.000021   |           |             |      | (3139.5824)      -  (6417.77)       | 1s.2p                 | 1P*     | 1    | 2p2                    | 3P      | 2    |   3 - 5   |       |                    |                 |
Ar XVII   |                       |            |            0.378479   |   0.000021   |           |             |      | (3139.5824)      -  (6415.44)       | 1s.2p                 | 1P*     | 1    | 2p2                    | 3P      | 1    |   3 - 3   |       |                    |                 |
Ar XVII   |                       |            |            0.378678   |   0.000022   |           |             |      | (3139.5824)      -  (6413.71)       | 1s.2p                 | 1P*     | 1    | 2p2                    | 3P      | 0    |   3 - 1   |       |                    |                 |
Ar XVII   |                       |            |            0.378850   |   0.000022   |           |             |      | (3124.5209)      -  (6397.16)       | 1s.2s                 | 1S      | 0    | 2s.2p                  | 3P*     | 1    |   1 - 3   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVII   |                       |            |            0.379334   |   0.000022   |           |             |      | (3123.5347)      -  (6392.01)       | 1s.2p                 | 3P*     | 1    | 2s2                    | 1S      | 0    |   3 - 1   |       |                    |                 |
Ar XVII   |                       |            |            0.381206   |   0.000022   |           |             |      | (3139.5824)      -  (6392.01)       | 1s.2p                 | 1P*     | 1    | 2s2                    | 1S      | 0    |   3 - 1   |       |                    |                 |
Ar XVII   |            0.3949065  |  0.0000008 |            0.39490665 |   0.00000006 |       100 |             |      |     0.0000       -  (3139.5824)     | 1s2                   | 1S      | 0    | 1s.2p                  | 1P*     | 1    |   1 - 3   |       |                    |         L12339  |
Ar XVI    |                       |            |            0.396159   |   0.000022   |           |             |      |    31.8672       -   3161.52        | 1s2.2p                | 2P*     | 1/2  | 1s.2p2                 | 2S      | 1/2  |   2 - 2   |       |                    |                 |
Ar XVII   |            0.3963     |  0.0002    |            0.39693556 |   0.00000006 |        55 |             |      |     0.0000       -  (3123.5347)     | 1s2                   | 1S      | 0    | 1s.2p                  | 3P*     | 1    |   1 - 3   |       |                    |          L1845  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
