--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Lower level                |                Upper level                |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |-------------------------------------------|-------------------------------------------|       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                               | Conf.                 | Term       | J    | Conf.                 | Term       | J    |       |              |                 |
Ti II     |                  209.58450   |                  209.584579  |      8 |           |      |       4.28283323      -       10.1966665      | 3d2.(3F).4p           | z 2G*      | 7/2  | 3d2.(1G).4d           | 2F         | 5/2  |       |              |            u37  |
Ti II     |                  209.61411   |                  209.614137  |     13 |           |      |       3.12352955      -        9.03652897     | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 2G*        | 7/2  |       |              |            u37  |
Ti III    |                  209.7299    |                  209.730+    |      9 | 3.3e+08   | D    |      10.045754        -       15.955485       | 3p6.3d.4p             | 3P*        | 2    | 3p6.3d.4d             | 3D         | 3    |       |        T1216 |          L3593  |
Ti V      |                  209.8042    |                  209.80+     |      4 |           |      |      53.85122         -       59.75886        | 3s2.3p5.4s            | 3P*        | 2    | 3s2.3p5.4p            | 3S         | 1    |       |              |          L3693  |
Ti II     |                  209.908     |                  209.906900  |     0: |           |      |       0.0000          -        5.90475341     | 3d2.(3F).4s           | a 4F       | 3/2  | 3d2.(1G).4p           | x 2F*      | 5/2  |       |              |          L5432  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  209.950     |                  209.948691  |     0: |           |      |       1.07997272      -        6.98355090     | 3d2.(1D).4s           | a 2D       | 3/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 5/2  |       |              |          L5432  |
Ti III    |                  209.9862    |                  209.986+    |      7 | 2.5e+08   | D    |      10.035181        -       15.937720       | 3p6.3d.4p             | 3P*        | 1    | 3p6.3d.4d             | 3D         | 2    |       |        T1216 |          L3593  |
Ti II     |                  210.099     |                  210.097729  |     1: |           |      |       1.08416005      -        6.98355090     | 3d2.(1D).4s           | a 2D       | 5/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 5/2  |       |              |          L5432  |
Ti II     |                  210.130     |                  210.131382  |     1: |           |      |       0.60723962      -        6.5056858      | 3d2.(3F).4s           | a 2F       | 7/2  | 3d.(2D).4s.4p.(3P*)   | 4F*        | 5/2  |       |              |          L5432  |
Ti II     |                  210.288     |                  210.288318  |     0: |           |      |       1.07997272      -        6.97401747     | 3d2.(1D).4s           | a 2D       | 3/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 3/2  |       |              |          L5432  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti IV     |                  210.3106    |                  210.316+    |     18 | 5.0e+08   | D    |       9.966956        -       15.860227       | 3p6.4s                | 2S         | 1/2  | 3p6.4p                | 2P*        | 1/2  |       |        T2757 |   L2753,L11926  |
Ti II     |                  210.323     |                  210.322579  |     1: |           |      |       0.01166867      -        5.90475341     | 3d2.(3F).4s           | a 4F       | 5/2  | 3d2.(1G).4p           | x 2F*      | 5/2  |       |              |          L5432  |
Ti III    |                  210.360     |                  210.363+    |      5 | 5.6e+07   | D    |      10.045754        -       15.937720       | 3p6.3d.4p             | 3P*        | 2    | 3p6.3d.4d             | 3D         | 2    |       |        T1216 |          L3593  |
Ti II     |                  210.405     |                  210.403583  |     0: |           |      |       1.07997272      -        6.9707889      | 3d2.(1D).4s           | a 2D       | 3/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 1/2  |       |              |          L5432  |
Ti II     |                  210.43784   |                  210.437838  |      3 |           |      |       1.08416005      -        6.97401747     | 3d2.(1D).4s           | a 2D       | 5/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 3/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  210.48373   |                  210.483688  |      8 |           |      |       4.30826565      -       10.19684024     | 3d2.(3F).4p           | z 2G*      | 9/2  | 3d2.(1G).4d           | 2F         | 7/2  |       |              |            u37  |
