--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Lower level                |                Upper level                |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |-------------------------------------------|-------------------------------------------|       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                               | Conf.                 | Term       | J    | Conf.                 | Term       | J    |       |              |                 |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti III    |                  657.578     |                  657.58+     |      4 |           |      |      16.515575        -       18.400524       | 3p6.3d.4d             | 3F         | 3    | 3p6.3d.5p             | 3F*        | 4    |       |              |          L3593  |
Ti II     |                  657.591     |                  657.59194   |      6 |           |      |       8.28142592      -       10.1663329      | 3d2.(3F).4d           | 2P         | 3/2  | 3d2.(3F).4f           | 2F*        | 5/2  |       |              |          L5432  |
Ti I      |                  658.5245    |                  658.52470   |      6 |           |      |       3.5693042       -        5.45154127     | 3d3.(4F).4p           | y 5F*      | 4    | 3d3.(4F).4d           | 5F         | 3    |       |              |         L10989  |
Ti I      |                  659.2914    |                  659.29151   |      6 |           |      |       1.44315261      -        3.3232005      | 3d3.(4F).4s           | b 3F       | 3    | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 2    |       |              |         L10989  |
Ti I      |                  659.9105    |                  659.91058   |    330 | 1.80e+05  | C+   |       0.8995494       -        2.7778336      | 3d2.4s2               | a 1D       | 2    | 3d2.(3F).4s.4p.(3P*)  | z 1F*      | 3    |       |        T4498 |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  660.1447    |                  660.14367   |     9* |           |      |       3.5826547       -        5.46027572     | 3d3.(4F).4p           | y 5F*      | 5    | 3d3.(4F).4d           | 5F         | 4    |       |              |         L10989  |
Ti I      |                  660.1447    |                  660.14561   |     9* |           |      |       3.3507546       -        5.22837016     | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 4    | 3d2.4s.(4F).4d        | 3G         | 5    |       |              |         L10989  |
Ti II     |                  660.5881    |                  660.58817   |     10 |           |      |       4.00876904      -        5.88512664     | 3d3                   | d 2D1      | 5/2  | 3d2.(1G).4p           | x 2F*      | 7/2  |       |              |            u37  |
Ti II     |                  660.6956    |                  660.69506   |      7 | 6.2e+04   | D    |       2.06126755      -        3.93732160     | 3d2.(3P).4s           | b 2P       | 3/2  | 3d2.(3F).4p           | z 2D*      | 3/2  |       |        T4502 |          L9190  |
Ti III    |                  661.138     |                  661.14+     |     12 | 7.1e+07   | D    |      16.601298        -       18.476094       | 3p6.3d.5s             | 3D         | 1    | 3p6.3d.5p             | 3P*        | 0    |       |        T1216 |          L3593  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  661.3625    |                  661.36207   |     4* |           |      |       2.4953136       -        4.3694756      | 3d2.(3F).4s.4p.(3P*)  | z 3D*      | 3    | 3d4                   | 3F2        | 4    |       |              |         L10989  |
Ti I      |                  661.3625    |                  661.36259   |     4* |           |      |       1.4601386       -        3.3342991      | 3d3.(4F).4s           | b 3F       | 4    | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 3    |       |              |         L10989  |
Ti III    |                  662.158     |                  662.16+     |     18 |           |      |      16.683046        -       18.554951       | 3p6.3d.5s             | 1D         | 2    | 3p6.3d.5p             | 1F*        | 3    |       |              |   L3593,L11926  |
Ti I      |                  662.2307    |                  662.2310    |      3 |           |      |       4.0738384       -        5.9455413      | 3d2.(1D).4s.4p.(1P*)  | y 1F*      | 3    | 3d3.(2G).5s           | 1G         | 4    |       |              |         L10989  |
Ti I      |                  662.2622    |                  662.26223   |      6 |           |      |       3.3342991       -        5.20591368     | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 3    | 3d2.4s.(4F).4d        | g 3F       | 3    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  662.2874    |                  662.28768   |      4 |           |      |       2.2311560       -        4.1026987      | 3d3.(2P).4s           | b 3P       | 0    | 3d3.(4P).4p           | x 3P*      | 1    |       |              |         L10989  |
Ti I      |                  662.8376    |                  662.83749   |      6 |           |      |       3.3342991       -        5.20428937     | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 3    | 3d2.4s.(4F).4d        | 3G         | 4    |       |              |         L10989  |
Ti I      |                  662.8852    |                  662.88555   |      7 |           |      |       3.3507546       -        5.22060936     | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 4    | 3d2.4s.(4F).4d        | g 3F       | 4    |       |              |         L10989  |
Ti III    |                  662.937     |                  662.94+     |     10 | 2.1e+07   | D    |      16.601298        -       18.471007       | 3p6.3d.5s             | 3D         | 1    | 3p6.3d.5p             | 3P*        | 1    |       |        T1216 |          L3593  |
Ti I      |                  663.4551    |                  663.45530   |      5 |           |      |       3.3232005       -        5.19144948     | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 2    | 3d2.4s.(4F).4d        | g 3F       | 2    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  663.6350    |                  663.63512   |      3 |           |      |       3.3232005       -        5.19094325     | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 2    | 3d2.4s.(4F).4d        | 3G         | 3    |       |              |         L10989  |
Ti I      |                  664.1343    |                  664.13455   |      6 |           |      |       2.2393266       -        4.1056648      | 3d3.(2P).4s           | b 3P       | 1    | 3d3.(4P).4p           | x 3P*      | 2    |       |              |         L10989  |
Ti III    |                  664.451     |                  664.45+     |      4 |           |      |      16.497987        -       18.363436       | 3p6.3d.4d             | 3F         | 2    | 3p6.3d.5p             | 3F*        | 3    |       |              |          L3593  |
Ti II     |                  664.710     |                  664.71023   |      : | 3.0e-03   | E    |       0.02798372      -        1.89270557     | 3d2.(3F).4s           | a 4F       | 7/2  | 3d2.(1G).4s           | b 2G       | 7/2  | M1+E2 |        T8335 |  L18001,L18000  |
Ti III    |                  664.747     |                  664.75+     |     14 | 1.0e+07   | D    |      16.535905        -       18.400524       | 3p6.3d.4d             | 3F         | 4    | 3p6.3d.5p             | 3F*        | 4    |       |        T1216 |          L3593  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                              |                  665.03555   |      0 | 3.3e+04   | C    |       1.4297561       -        3.2935658      | 3d3.(4F).4s           | b 3F       | 2    | 3d3.(4F).4p           | y 5G*      | 3    |       |        T3297 |                 |
Ti II     |                  665.071     |                  665.07051   |      : | 3.2e-03   | E    |       0.02798372      -        1.89169543     | 3d2.(3F).4s           | a 4F       | 7/2  | 3d2.(1G).4s           | b 2G       | 9/2  | M1+E2 |        T8335 |  L18001,L18000  |
Ti I      |                  665.1922    |                  665.19171   |      3 |           |      |       2.2393266       -        4.1026987      | 3d3.(2P).4s           | b 3P       | 1    | 3d3.(4P).4p           | x 3P*      | 1    |       |              |         L10989  |
Ti I      |                  665.4283    |                  665.4284    |      6 |           |      |       2.2393266       -        4.1020359      | 3d3.(2P).4s           | b 3P       | 1    | 3d3.(4P).4p           | x 3P*      | 0    |       |              |         L10989  |
Ti I      |                              |                  665.70131   |      0 | 5.1e+04   | C    |       1.44315261      -        3.3050983      | 3d3.(4F).4s           | b 3F       | 3    | 3d3.(4F).4p           | y 5G*      | 4    |       |        T3297 |                 |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  666.5850    |                  666.58494   |     18 |           |      |       3.5507637       -        5.41024124     | 3d3.(4F).4p           | y 5F*      | 2    | 3d3.(4F).4d           | 5G         | 3    |       |              |         L10989  |
Ti I      |                  666.6501    |                  666.64971   |     25 |           |      |       3.5586909       -        5.41798776     | 3d3.(4F).4p           | y 5F*      | 3    | 3d3.(4F).4d           | 5G         | 4    |       |              |         L10989  |
Ti I      |                  666.655     |                  666.65348   |    18w | 3.3e+05   | C    |       1.4601386       -        3.3194249      | 3d3.(4F).4s           | b 3F       | 4    | 3d3.(4F).4p           | y 5G*      | 5    |       |        T3297 |          L3475  |
Ti I      |                  666.6691    |                  666.66898   |     13 |           |      |       3.5454909       -        5.40473405     | 3d3.(4F).4p           | y 5F*      | 1    | 3d3.(4F).4d           | 5G         | 2    |       |              |         L10989  |
Ti I      |                  666.7733    |                  666.77356   |     29 |           |      |       3.5693042       -        5.42825571     | 3d3.(4F).4p           | y 5F*      | 4    | 3d3.(4F).4d           | 5G         | 5    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti III    |                  666.799     |                  666.80+     |     18 | 5.5e+07   | D    |      16.647993        -       18.506872       | 3p6.3d.5s             | 3D         | 3    | 3p6.3d.5p             | 3P*        | 2    |       |        T1216 |          L3593  |
Ti I      |                  666.8375    |                  666.83776   |     34 |           |      |       3.5826547       -        5.44142723     | 3d3.(4F).4p           | y 5F*      | 5    | 3d3.(4F).4d           | 5G         | 6    |       |              |         L10989  |
Ti II     |                  667.374     |                  667.37457   |      5 |           |      |       8.28142592      -       10.1387033      | 3d2.(3F).4d           | 2P         | 3/2  | 3d2.(3F).4f           | 4D*        | 5/2  |       |              |          L5432  |
Ti III    |                  667.419     |                  667.42+     |     15 | 4.0e+07   | D    |      16.613856        -       18.471007       | 3p6.3d.5s             | 3D         | 2    | 3p6.3d.5p             | 3P*        | 1    |       |        T1216 |          L3593  |
Ti I      |                  667.7175    |                  667.7179    |     31 |           |      |       2.4874808       -        4.3438033      | 3d3.(2P).4s           | a 1P       | 1    | 3d2.(3P).4s.4p.(3P*)  | x 1D*      | 2    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  667.8569    |                  667.85692   |     28 |           |      |       2.2497287       -        4.1056648      | 3d3.(2P).4s           | b 3P       | 2    | 3d3.(4P).4p           | x 3P*      | 2    |       |              |         L10989  |
Ti II     |                  668.0129    |                  668.01337   |      7 |           |      |       3.09479323      -        4.95029463     | 3d.4s2                | c 2D       | 3/2  | 3d2.(1D).4p           | y 2F*      | 5/2  |       |              |            u37  |
Ti I      |                  668.5645    |                  668.56504   |      2 |           |      |       3.5507637       -        5.40473405     | 3d3.(4F).4p           | y 5F*      | 2    | 3d3.(4F).4d           | 5G         | 2    |       |              |         L10989  |
Ti I      |                  668.9258    |                  668.92597   |     15 |           |      |       2.2497287       -        4.1026987      | 3d3.(2P).4s           | b 3P       | 2    | 3d3.(4P).4p           | x 3P*      | 1    |       |              |         L10989  |
Ti I      |                  669.4383    |                  669.43886   |      2 |           |      |       3.5586909       -        5.41024124     | 3d3.(4F).4p           | y 5F*      | 3    | 3d3.(4F).4d           | 5G         | 3    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  670.6284    |                  670.62867   |      4 |           |      |       1.5024892       -        3.3507546      | 3d2.4s2               | a 1G       | 4    | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 4    |       |              |         L10989  |
Ti III    |                  670.776     |                  670.78+     |     14 |           |      |      16.515575        -       18.363436       | 3p6.3d.4d             | 3F         | 3    | 3p6.3d.5p             | 3F*        | 3    |       |              |   L3593,L11926  |
Ti XXI    |                              |                  671         |        |           |      |   [5871.755]          -    [5873.603]         | 1s.4p                 | 3P*        | 2    | 1s.4d                 | 3D         | 3    |       |              |         L11926  |
Ti I      |                  671.6665    |                  671.6666    |     49 |           |      |       2.4874808       -        4.3328901      | 3d3.(2P).4s           | a 1P       | 1    | 3d2.(3P).4s.4p.(3P*)  | y 1P*      | 1    |       |              |         L10989  |
Ti II     |                  671.781     |                  671.78053   |     14 |           |      |       3.12352955      -        4.96862588     | 3d.4s2                | c 2D       | 5/2  | 3d2.(1D).4p           | y 2F*      | 7/2  |       |              |          L5432  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti III    |                  672.480     |                  672.48+     |     12 |           |      |      16.497987        -       18.341165       | 3p6.3d.4d             | 3F         | 2    | 3p6.3d.5p             | 3F*        | 2    |       |              |   L3593,L11926  |
Ti II     |                  672.576     |                  672.57591   |      : | 8.0e-03   | E    |       0.04878107      -        1.89169543     | 3d2.(3F).4s           | a 4F       | 9/2  | 3d2.(1G).4s           | b 2G       | 9/2  | M1+E2 |        T8335 |  L18001,L18000  |
Ti III    |                  673.410     |                  673.41+     |     16 |           |      |      16.683046        -       18.523676       | 3p6.3d.5s             | 1D         | 2    | 3p6.3d.5p             | 1P*        | 1    |       |              |   L3593,L11926  |
Ti I      |                  674.3119    |                  674.31217   |    630 | 6.9e+05   | D    |       0.8995494       -        2.7377185      | 3d2.4s2               | a 1D       | 2    | 3d2.(3F).4s.4p.(3P*)  | z 1D*      | 2    |       |       T4401n |         L10989  |
Ti II     |                  674.31868   |                  674.31836   |  260bl |           |      |       7.3631705       -        9.20132282     | 3d.(2D).4s.4p.(3P*)   | 2P*        | 3/2  | 3d2.(1D).4d           | 2P         | 3/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  674.3200    |                  674.3187    |     54 |           |      |       2.5056521       -        4.3438033      | 3d3.(2D2).4s          | b 1D       | 2    | 3d2.(3P).4s.4p.(3P*)  | x 1D*      | 2    |       |              |         L10989  |
Ti II     |                  674.5335    |                  674.53387   |     14 |           |      |       8.37504013      -       10.2126051      | 3d2.(3F).4d           | 4P         | 3/2  | 3d2.(3F).4f           | 4S*        | 3/2  |       |              |            u37  |
Ti I      |                  674.5546    |                  674.5544    |     35 |           |      |       2.2363294       -        4.0738384      | 3d3.(2H).4s           | a 3H       | 4    | 3d2.(1D).4s.4p.(1P*)  | y 1F*      | 3    |       |              |         L10989  |
Ti I      |                  674.6330    |                  674.63330   |     11 |           |      |       1.8870882       -        3.7243824      | 3d3.(2G).4s           | a 3G       | 5    | 3d2.(1G).4s.4p.(3P*)  | x 3G*      | 5    |       |              |         L10989  |
Ti I      |                  674.8377    |                  674.83791   |      4 |           |      |       1.8792039       -        3.7159410      | 3d3.(2G).4s           | a 3G       | 4    | 3d2.(1G).4s.4p.(3P*)  | x 3G*      | 4    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  675.194     |                  675.18694   |      0 |           |      |       1.8731670       -        3.7089547      | 3d3.(2G).4s           | a 3G       | 3    | 3d2.(1G).4s.4p.(3P*)  | x 3G*      | 3    |       |              |          L3392  |
Ti I      |                  676.3961    |                  676.39622   |     22 |           |      |       3.4405782       -        5.27308380     | 3d2.(3F).4s.4p.(1P*)  | y 3G*      | 5    | 3d2.4s.(4F).4d        | 3H         | 6    |       |              |         L10989  |
Ti I      |                  677.6220    |                  677.62217   |     17 |           |      |       3.4237838       -        5.25297406     | 3d2.(3F).4s.4p.(1P*)  | y 3G*      | 4    | 3d2.4s.(4F).4d        | 3H         | 5    |       |              |         L10989  |
Ti III    |                  678.237     |                  678.24+     |      1 |           |      |      16.535905        -       18.363436       | 3p6.3d.4d             | 3F         | 4    | 3p6.3d.5p             | 3F*        | 3    |       |              |          L3593  |
Ti I      |                  678.3461    |                  678.3461    |     12 |           |      |       2.5056521       -        4.3328901      | 3d3.(2D2).4s          | b 1D       | 2    | 3d2.(3P).4s.4p.(3P*)  | y 1P*      | 1    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  678.522     |                  678.52177   |      5 |           |      |       3.12352955      -        4.95029463     | 3d.4s2                | c 2D       | 5/2  | 3d2.(1D).4p           | y 2F*      | 5/2  |       |              |          L5432  |
Ti III    |                  678.590     |                  678.59+     |      6 |           |      |      16.515575        -       18.342156       | 3p6.3d.4d             | 3F         | 3    | 3p6.3d.5p             | 3D*        | 3    |       |              |          L3593  |
Ti I      |                  679.3546    |                  679.35483   |     11 |           |      |       3.4094392       -        5.23396424     | 3d2.(3F).4s.4p.(1P*)  | y 3G*      | 3    | 3d2.4s.(4F).4d        | 3H         | 4    |       |              |         L10989  |
Ti II     |                  679.453     |                  679.45716   |      4 |           |      |       3.09479323      -        4.91904347     | 3d.4s2                | c 2D       | 3/2  | 3d2.(1D).4p           | z 2P*      | 1/2  |       |              |          L5432  |
Ti III    |                  679.612     |                  679.62+     |      4 |           |      |      16.683046        -       18.506872       | 3p6.3d.5s             | 1D         | 2    | 3p6.3d.5p             | 3P*        | 2    |       |              |          L3593  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti XVI    |                              |                  680.5       |        | 2.81e+01  | C    |      14.3859          -       16.2072         | 2s2.2p3               | 2D*        | 3/2  | 2s2.2p3               | 2D*        | 5/2  | M1    |        T3941 |                 |
Ti XVI    |                              |                  680.5       |        | 5.0e-05   | E    |      14.3859          -       16.2072         | 2s2.2p3               | 2D*        | 3/2  | 2s2.2p3               | 2D*        | 5/2  | E2    |        T3941 |                 |
Ti III    |                  680.796     |                  680.80+     |      3 |           |      |      16.497987        -       18.318652       | 3p6.3d.4d             | 3F         | 2    | 3p6.3d.5p             | 3D*        | 2    |       |              |          L3593  |
Ti I      |                  681.1020    |                  681.1022    |      3 |           |      |       3.1042426       -        4.9240868      | 3d3.(2F).4s           | 3F         | 4    | 3d3.(2D2).4p          | s 3D*      | 3    |       |              |         L10989  |
Ti II     |                  681.4391    |                  681.43929   |     20 |           |      |       8.39366112      -       10.2126051      | 3d2.(3F).4d           | 4P         | 5/2  | 3d2.(3F).4f           | 4S*        | 3/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  681.8112    |                  681.81006   |     3q |           |      |       2.6618772       -        4.4798321      | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 3    | 3d4                   | b 3G       | 4    |       |              |         L10989  |
Ti II     |                  682.795     |                  682.79362   |      6 |           |      |       3.09479323      -        4.91012937     | 3d.4s2                | c 2D       | 3/2  | 3d2.(1D).4p           | y 2D*      | 3/2  |       |              |          L5432  |
Ti I      |                  683.9428    |                  683.9405    |     2q |           |      |       3.1081403       -        4.9204324      | 3d3.(2F).4s           | 3F         | 3    | 3d3.(2D2).4p          | s 3D*      | 2    |       |              |         L10989  |
Ti I      |                  684.1680    |                  684.1691    |      2 |           |      |       2.6766322       -        4.4883187      | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 4    | 3d4                   | b 3G       | 5    |       |              |         L10989  |
Ti I      |                  684.9314    |                  684.93125   |     31 |           |      |       2.6618772       -        4.4715479      | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 3    | 3d4                   | b 3G       | 3    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  686.1447    |                  686.1445    |     98 | 3.7e+06   | D    |       2.2673677       -        4.0738384      | 3d3.(2G).4s           | b 1G       | 4    | 3d2.(1D).4s.4p.(1P*)  | y 1F*      | 3    |       |       T4401n |         L10989  |
Ti III    |                  686.226     |                  686.23+     |     15 |           |      |      16.535905        -       18.342156       | 3p6.3d.4d             | 3F         | 4    | 3p6.3d.5p             | 3D*        | 3    |       |              |   L3593,L11926  |
Ti II     |                  687.2340    |                  687.23395   |     18 |           |      |       8.39366112      -       10.1972682      | 3d2.(3F).4d           | 4P         | 5/2  | 3d2.(3F).4f           | 4P*        | 5/2  |       |              |            u37  |
Ti I      |                  687.3891    |                  687.38912   |     35 |           |      |       2.6766322       -        4.4798321      | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 4    | 3d4                   | b 3G       | 4    |       |              |         L10989  |
Ti III    |                  687.435     |                  687.44+     |     12 |           |      |      16.515575        -       18.318652       | 3p6.3d.4d             | 3F         | 3    | 3p6.3d.5p             | 3D*        | 2    |       |              |   L3593,L11926  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti III    |                  689.612     |                  689.61+     |     10 | 2.6e+07   | D    |      16.497987        -       18.295373       | 3p6.3d.4d             | 3F         | 2    | 3p6.3d.5p             | 3D*        | 1    |       |        T1216 |          L3593  |
Ti I      |                  690.5616    |                  690.56172   |      3 |           |      |       2.6766322       -        4.4715479      | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 4    | 3d4                   | b 3G       | 3    |       |              |         L10989  |
Ti II     |                  690.7797    |                  690.77988   |     19 |           |      |       8.38209575      -       10.1764445      | 3d2.(3F).4d           | e 2G       | 7/2  | 3d2.(3F).4f           | 4G*        | 9/2  |       |              |            u37  |
Ti I      |                  691.3232    |                  691.3232    |     48 |           |      |       2.6953801       -        4.4883187      | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 5    | 3d4                   | b 3G       | 5    |       |              |         L10989  |
Ti IV     |                  691.385     |                  691.39+     |     12 |           |      |      34.061719        -       35.854493       | 3p6.6p                | 2P*        | 1/2  | 3p6.6d                | 2D         | 3/2  |       |              |   L2753,L11926  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  691.5854    |                  691.58513   |      2 |           |      |       3.3507546       -        5.1430142      | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 4    | 3d2.4s.(2F).5s        | 3F         | 4    |       |              |         L10989  |
Ti II     |                  691.9583    |                  691.95840   |     17 |           |      |       8.37504013      -       10.1663329      | 3d2.(3F).4d           | 4P         | 3/2  | 3d2.(3F).4f           | 2F*        | 5/2  |       |              |            u37  |
Ti I      |                  692.0701    |                  692.07030   |      3 |           |      |       3.5586909       -        5.34969398     | 3d3.(4F).4p           | y 5F*      | 3    | 3d2.4s.(4F).4d        | g 5F       | 3    |       |              |         L10989  |
Ti I      |                  692.1571    |                  692.15673   |      5 |           |      |       3.5693042       -        5.36008362     | 3d3.(4F).4p           | y 5F*      | 4    | 3d2.4s.(4F).4d        | g 5F       | 4    |       |              |         L10989  |
Ti I      |                  692.2278    |                  692.22810   |      2 |           |      |       3.5507637       -        5.34135852     | 3d3.(4F).4p           | y 5F*      | 2    | 3d2.4s.(4F).4d        | g 5F       | 2    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  692.5834    |                  692.58335   |     10 |           |      |       8.39366112      -       10.18333747     | 3d2.(3F).4d           | 4P         | 5/2  | 3d2.(3F).4f           | 4D*        | 7/2  |       |              |            u37  |
Ti I      |                  692.6200    |                  692.62010   |      7 |           |      |       3.5826547       -        5.37223609     | 3d3.(4F).4p           | y 5F*      | 5    | 3d2.4s.(4F).4d        | g 5F       | 5    |       |              |         L10989  |
Ti II     |                  692.7928    |                  692.79294   |     12 |           |      |       8.36118797      -       10.1503229      | 3d2.(3F).4d           | 4P         | 1/2  | 3d2.(3F).4f           | 4F*        | 3/2  |       |              |            u37  |
Ti I      |                  693.0961    |                  693.09599   |      2 |           |      |       3.1123598       -        4.9007125      | 3d2.(3P).4s.4p.(3P*)  | z 5S*      | 2    | 3d3.(4F).5s           | f 3F       | 2    |       |              |         L10989  |
Ti III    |                  693.244     |                  693.25+     |      5 | 4.8e+06   | D    |      16.683046        -       18.471007       | 3p6.3d.5s             | 1D         | 2    | 3p6.3d.5p             | 3P*        | 1    |       |        T1216 |          L3593  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  693.3139    |                  693.31402   |     15 |           |      |       3.1129222       -        4.9007125      | 3d2.(3F).4s.4p.(1P*)  | y 3F*      | 2    | 3d3.(4F).5s           | f 3F       | 2    |       |              |         L10989  |
Ti I      |                  693.5882    |                  693.58830   |     22 |           |      |       3.1277769       -        4.9148602      | 3d2.(3F).4s.4p.(1P*)  | y 3F*      | 3    | 3d3.(4F).5s           | f 3F       | 3    |       |              |         L10989  |
Ti II     |                  693.65740   |                  693.65726   |     24 |           |      |       8.39366112      -       10.1805667      | 3d2.(3F).4d           | 4P         | 5/2  | 3d2.(3P).5p           | 4D*        | 5/2  |       |              |            u37  |
Ti II     |                  693.769     |                  693.77599   |      7 |           |      |       3.12352955      -        4.91012937     | 3d.4s2                | c 2D       | 5/2  | 3d2.(1D).4p           | y 2D*      | 3/2  |       |              |          L5432  |
Ti I      |                  694.3689    |                  694.36905   |     26 |           |      |       3.1477518       -        4.9328257      | 3d2.(3F).4s.4p.(1P*)  | y 3F*      | 4    | 3d3.(4F).5s           | f 3F       | 4    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti III    |                              |                  694.37      |        | 1.6e-05   | E    |       0.0000          -        1.78507        | 3p6.3d2               | 3F         | 2    | 3p6.3d2               | 1G         | 4    | E2    |        T1610 |                 |
Ti II     |                  694.5350    |                  694.53467   |     10 |           |      |       8.37504013      -       10.15968837     | 3d2.(3F).4d           | 4P         | 3/2  | 3d2.(3F).4f           | 4F*        | 5/2  |       |              |            u37  |
Ti I      |                  694.6112    |                  694.61105   |      3 |           |      |       2.6953801       -        4.4798321      | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 5    | 3d4                   | b 3G       | 4    |       |              |         L10989  |
Ti II     |                  696.14395   |                  696.14394   |     71 |           |      |       8.40892898      -       10.1894517      | 3d2.(3F).4d           | e 2G       | 9/2  | 3d2.(3F).4f           | 2H*        | 11/2 |       |              |            u37  |
Ti I      |                  696.3767    |                  696.37710   |      4 |           |      |       2.1535471       -        3.9334737      | 3d3.(2D2).4s          | a 3D       | 1    | 3d2.(3P).4s.4p.(3P*)  | y 3P*      | 1    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti IV     |                  696.854     |                  696.86+     |      1 |           |      |      34.075794        -       35.854493       | 3p5.3d2               | 2F*        | 5/2  | 3p6.6d                | 2D         | 3/2  |       |              |          L2753  |
Ti II     |                  697.4481    |                  697.44832   |      8 |           |      |       8.36118797      -       10.1383807      | 3d2.(3F).4d           | 4P         | 1/2  | 3d2.(3F).4f           | 4D*        | 3/2  |       |              |            u37  |
Ti II     |                  697.6990    |                  697.69910   |      8 |           |      |       8.40892898      -       10.1854830      | 3d2.(3F).4d           | e 2G       | 9/2  | 3d2.(3F).4f           | 2F*        | 7/2  |       |              |            u37  |
Ti IV     |                  697.851     |                  697.85+     |     15 |           |      |      34.080926        -       35.857089       | 3p6.6p                | 2P*        | 3/2  | 3p6.6d                | 2D         | 5/2  |       |              |   L2753,L11926  |
Ti II     |                  698.23075   |                  698.23070   |     41 |           |      |       8.38209575      -       10.1572971      | 3d2.(3F).4d           | e 2G       | 7/2  | 3d2.(3F).4f           | 2H*        | 9/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  698.3119    |                  698.3121    |     16 |           |      |       2.1535471       -        3.9285416      | 3d3.(2D2).4s          | a 3D       | 1    | 3d2.(3P).4s.4p.(3P*)  | y 3P*      | 0    |       |              |         L10989  |
Ti IV     |                  698.874     |                  698.87+     |      4 |           |      |      34.080926        -       35.854493       | 3p6.6p                | 2P*        | 3/2  | 3p6.6d                | 2D         | 3/2  |       |              |          L2753  |
Ti I      |                  699.0226    |                  699.02239   |     28 |           |      |       2.1602828       -        3.9334737      | 3d3.(2D2).4s          | a 3D       | 2    | 3d2.(3P).4s.4p.(3P*)  | y 3P*      | 1    |       |              |         L10989  |
