---------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |   Landé | Leading percentages                            | Reference
                       |           |   3 |             4.7704922      |         |                                                |    L17885
                       |           |   1 |             4.7711317      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d4                    | 1G2       |   4 |             4.7767837      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2H).4p            | z 3I*     |   5 |             4.7824051      |   0.834 | 100                                            |    L17885
                       |           |   6 |             4.7943309      |   1.024 | 100                                            |    L17885
                       |           |   7 |             4.8080893      |   1.143 | 100                                            |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2P).4p            | t 3D*     |   1 |             4.7924936      |   0.522 |  45         :    24  3d.4s2.4p            3D*  |    L17885
                       |           |   2 |             4.7981643      |   1.167 |  47         :    22  3d.4s2.4p            3D*  |    L17885
                       |           |   3 |             4.8062281      |   1.328 |  45         :    26  3d.4s2.4p            3D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2G).4p            | x 1G*     |   4 |             4.8303632      |   1.001 |  57         :    27  3d3.(2H).4p          1G*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2D2).4p           | x 1P*     |   1 |             4.8450238      |   0.981 |  74         :    14  3d3.(2P).4p          1P*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).5s            | f 5F      |   1 |             4.8486574      |         |                                                |    L17885
                       |           |   2 |             4.8538921      |         |                                                |    L17885
                       |           |   3 |             4.8619612      |         |                                                |    L17885
                       |           |   4 |             4.8728897      |         |                                                |    L17885
                       |           |   5 |             4.8865701      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2H).4p            | x 3H*     |   4 |             4.8497605      |   0.804 |  93                                            |    L17885
                       |           |   5 |             4.8542421      |   1.035 |  84         :    13  3d2.(1G).4s.4p.(3P*) 3H*  |    L17885
                       |           |   6 |             4.8599726      |   1.167 |  85         :    10  3d2.(1G).4s.4p.(3P*) 3H*  |    L17885
                       |           |     |                            |         |                                                |           
3d.4s2.4p              | w 1D*     |   2 |             4.8683409      |   1.006 |  41         :    28  3d3.(2P).4p          1D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).5s            | f 3F      |   2 |             4.9007125      |         |                                                |    L17885
                       |           |   3 |             4.9148602      |         |                                                |    L17885
                       |           |   4 |             4.9328257      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2D2).4p           | s 3D*     |   1 |             4.9174713      |   0.506 |  62         :    17  3d3.(2P).4p          3D*  |    L17885
                       |           |   2 |             4.9204324      |   1.168 |  63         :    16  3d3.(2P).4p          3D*  |    L17885
                       |           |   3 |             4.9240868      |   1.327 |  62         :    18  3d3.(2P).4p          3D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2D2).4p           | w 1F*     |   3 |             4.9969298      |   1.008 |  84         :     8  3d2.(1D).4s.4p.(1P*) 1F*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2H).4p            | z 1I*     |   6 |             4.9990216      |   1.000 | 100                                            |    L17885
                       |           |     |                            |         |                                                |           
3d.4s2.4p              | v 3P*     |   0 |             5.0051840      |         |  46         :    27  3d2.(3P).4s.4p.(1P*) 3P*  |    L17885
                       |           |   1 |             5.0070394      |   1.496 |  45         :    28  3d2.(3P).4s.4p.(1P*) 3P*  |    L17885
                       |           |   2 |             5.0172669      |   1.495 |  46         :    27  3d2.(3P).4s.4p.(1P*) 3P*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4P).4p            | r 3D*     |   1 |             5.0283048      |   0.501 |  52         :    27  3d3.(2D2).4p         3D*  |    L17885
                       |           |   2 |             5.0425004      |   1.113 |  51         :    28  3d3.(2D2).4p         3D*  |    L17885
                       |           |   3 |             5.0640293      |   1.265 |  53         :    29  3d3.(2D2).4p         3D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2P).4p            | x 3S*     |   1 |             5.064017       |   1.998 |  62         :    15  3d.4s2.4p            3P*  |    L17885
                       |           |     |                            |         |                                                |           
