-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
Ar III    |          213.859     |          213.859422  |        10 |             |      |    24.38531685  -     30.18095212 | 3s2.3p3.(2D*).4s      | 3D*     | 3    | 3s2.3p3.(2P*).4p       | 3P      | 2    |       |                      |   L7493  |
Ar II     |          213.88805   |          213.888046  |        59 |             |      |    19.22290199  -     25.01776175 | 3s2.3p4.(3P).4p       | 4P*     | 5/2  | 3s2.3p4.(3P).5d        | 4P      | 5/2  |       |                      |  L11520  |
Ar II     |          214.0747    |          214.074780  |        2* |             |      |    17.69466466  -     23.48447022 | 3s2.3p4.(3P).3d       | 4F      | 7/2  | 3s2.3p4.(3P).5p        | 4D*     | 7/2  |       |                      |  L14821  |
Ar II     |          214.0747    |          214.075683  |        2* |             |      |    19.96749891  -     25.75728005 | 3s2.3p4.(3P).4p       | 4S*     | 3/2  | 3s2.3p4.(3P).6d        | 4D      | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          214.1125    |          214.11620   |         4 |             |      |    29.6562802   -     35.4449659  | 3s2.3p3.(2P*).4p      | 3S      | 1    | 3s2.3p3.(2P*).5s       | 3P*     | 1    |       |                      |   L9366  |
Ar II     |          214.16820   |          214.168168  |         7 |             |      |    19.22290199  -     25.01018319 | 3s2.3p4.(3P).4p       | 4P*     | 5/2  | 3s2.3p4.(3P).5d        | 4F      | 3/2  |       |                      |  L11520  |
Ar II     |          214.16835   |          214.168318  |         4 |             |      |    18.42654895  -     24.21382608 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 3/2  |       |                      |  L11520  |
Ar II     |          214.22762   |          214.227642  |        17 |             |      |    18.06063973  -     23.84631446 | 3s2.3p4.(3P).3d       | 2P      | 3/2  | 3s2.3p4.(1S).4p        | 2P*     | 1/2  |       |                      |  L11520  |
Ar III    |          214.3455    |          214.3455    |         1 |             |      |    29.6562802   -     35.43878    | 3s2.3p3.(2P*).4p      | 3S      | 1    | 3s2.3p3.(2P*).5s       | 3P*     | 0    |       |                      |   L9366  |
