-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
Ar II     |          803.4625    |          803.46193   |         1 |             |      |    23.80181422  -     25.3445147  | 3s2.3p4.(1S).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).5d        | 2D      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |                      |          803.652     |           | 2.9e-05     | D    |     0.1946837   -      1.737019   | 3s2.3p4               | 3P      | 0    | 3s2.3p4                | 1D      | 2    | E2    |                 T761 |          |
Ar II     |          803.6857    |          803.68558   |         8 |             |      |    23.87401492  -     25.41628609 | 3s2.3p4.(3P).4d       | 2D      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[3]*   | 7/2  |       |                      |  L11520  |
Ar I      |                      |          803.7219    |           | 3.59e+05    | C    |    13.47988670  -     15.02208821 | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 0    | 3s2.3p5.(2P*<1/2>).6s  | 2[1/2]* | 1    |       |               T1218n |          |
Ar II     |          804.376     |          804.374663  |      0.5h |             |      |    18.42654895  -     19.96749891 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P).4p        | 4S*     | 3/2  |       |                      |  L14821  |
Ar II     |          804.4308    |          804.430210  |         2 |             |      |    22.77287946  -     24.31372301 | 3s2.3p4.(3P).4d       | 4D      | 7/2  | 3s2.3p4.(3P<1>).4f     | 2[4]*   | 9/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar I      |                      |          804.6118    |           | 1.12e+06    | C    |    13.15314376  -     14.6936396  | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1    | 3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* | 0    |       |               T1218n |          |
Ar I      |          805.3308    |          805.3308    |         7 | 8.6e+05     | C    |    13.17177759  -     14.71089798 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* | 1    |       |               T1218n |   L2634  |
Ar II     |          806.606     |          806.60658   |       0h? |             |      |    23.87401492  -     25.41070102 | 3s2.3p4.(3P).4d       | 2D      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[4]*   | 7/2  |       |                      |  L14821  |
Ar I      |                      |          806.6604    |           | 1.4e+05     | D+   |    13.30222736  -     14.83881088 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 2    |       |               T1218n |          |
Ar II     |          808.375     |          808.37634   |        1h |             |      |    23.8932498   -     25.42657172 | 3s2.3p4.(3P).4d       | 2D      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[2]*   | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          808.613     |          808.61139   |        0? |             |      |    18.33428069  -     19.86715687 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P).4p        | 2P*     | 3/2  |       |                      |  L14821  |
Ar I      |          810.3693    |          810.3692    |     20000 | 2.5e+07     | C    |    11.62359262  -     13.15314376 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1    | 3s2.3p5.(2P*<3/2>).4p  | 2[3/2]  | 1    |       |               T1242n |   L2634  |
Ar II     |          810.36931   |          810.36861   | 12023r,bl |             |      |    17.77579247  -     19.30534474 | 3s2.3p4.(3P).3d       | 4F      | 3/2  | 3s2.3p4.(3P).4p        | 4P*     | 1/2  |       |                      |  L11520  |
Ar II     |          811.065     |          811.065882  |         1 |             |      |    17.69466466  -     19.22290199 | 3s2.3p4.(3P).3d       | 4F      | 7/2  | 3s2.3p4.(3P).4p        | 4P*     | 5/2  |       |                      |  L14821  |
Ar I      |          811.5311    |          811.5311    |     35000 | 3.31e+07    | C    |    11.54835433  -     13.07571560 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2    | 3s2.3p5.(2P*<3/2>).4p  | 2[5/2]  | 3    |       |               T1242n |   L2634  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          815.0647    |          815.06496   |         1 |             |      |    23.8932498   -     25.41398897 | 3s2.3p4.(3P).4d       | 2D      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar I      |                      |          815.1868    |           | 3.3e+04     | E    |    13.32785693  -     14.84836887 | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1    | 3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 1    |       |                T1203 |          |
Ar II     |          816.5405    |          816.539388  |         3 |             |      |    17.74309086  -     19.26108400 | 3s2.3p4.(3P).3d       | 4F      | 5/2  | 3s2.3p4.(3P).4p        | 4P*     | 3/2  |       |                      |  L14821  |
Ar II     |          818.2790    |          818.28048   |         0 |             |      |    23.8932498   -     25.40801310 | 3s2.3p4.(3P).4d       | 2D      | 3/2  | 3s2.3p4.(3P).6p        | 2S*     | 1/2  |       |                      |  L14821  |
Ar II     |          819.0258    |          819.025675  |         1 |             |      |    18.45411386  -     19.96749891 | 3s2.3p4.(1D).4s       | 2D      | 5/2  | 3s2.3p4.(3P).4p        | 4S*     | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          819.214     |          819.21718   |         0 |             |      |    18.28805513  -     19.80108640 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P).4p        | 2P*     | 1/2  |       |                      |  L14821  |
Ar I      |                      |          820.3435    |           | 1.6e+05     | E    |    13.32785693  -     14.83881088 | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1    | 3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 2    |       |                T1203 |          |
Ar II     |          821.7817    |          821.78201   |         1 |             |      |    18.25395187  -     19.76226091 | 3s2.3p4.(3P).3d       | 4P      | 1/2  | 3s2.3p4.(3P).4p        | 2D*     | 3/2  |       |                      |  L14821  |
Ar II     |          825.9521    |          825.95126   |         2 |             |      |    22.81135824  -     24.31205364 | 3s2.3p4.(3P).4d       | 4D      | 3/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 5/2  |       |                      |  L14821  |
Ar I      |          826.4522    |          826.4521    |     10000 | 1.53e+07    | C    |    11.82807106  -     13.32785693 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1    | 3s2.3p5.(2P*<1/2>).4p  | 2[1/2]  | 1    |       |               T1242n |   L2634  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          829.6723    |          829.672097  |         1 |             |      |    23.57017702  -     25.06414228 | 3s2.3p4.(3P).5p       | 4D*     | 3/2  | 3s2.3p4.(3P).5d        | 2F      | 5/2  |       |                      |  L14821  |
Ar II     |          832.7907    |          832.79006   |         2 |             |      |    18.06063973  -     19.54901161 | 3s2.3p4.(3P).3d       | 2P      | 3/2  | 3s2.3p4.(3P).4p        | 4D*     | 5/2  |       |                      |  L14821  |
Ar II     |          833.295     |          833.29690   |         0 |             |      |    24.15487203  -     25.64233863 | 3s2.3p4.(3P<2>).4f    | 2[4]*   | 7/2  | 3s2.3p4.(3P<0>).5g     | 2[4]    | 9/2  |       |                      |  L14821  |
Ar II     |          833.8384    |          833.83851   |         1 |             |      |    23.43808861  -     24.92458905 | 3s2.3p4.(3P).5p       | 4P*     | 3/2  | 3s2.3p4.(3P).5d        | 4P      | 1/2  |       |                      |  L14821  |
Ar XIII   |          834.0       |          834.0       |           |             |      |     1.22167     -      2.7079     | 2s2.2p2               | 3P      | 1    | 2s2.2p2                | 3P      | 2    | M1    |                      |  L16125  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          834.2630    |          834.26276   |         1 |             |      |    22.82463943  -     24.31038395 | 3s2.3p4.(1D).3d       | 2S      | 1/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          834.5183    |          834.51719   |         2 |             |      |    17.77579247  -     19.26108400 | 3s2.3p4.(3P).3d       | 4F      | 3/2  | 3s2.3p4.(3P).4p        | 4P*     | 3/2  |       |                      |  L14821  |
Ar II     |          834.6420    |          834.64067   |         1 |             |      |    21.35179967  -     22.83687146 | 3s2.3p4.(1D).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).4d        | 4D      | 1/2  |       |                      |  L14821  |
Ar II     |          836.029     |          836.0267    |         0 |             |      |    24.15972844  -     25.6423382  | 3s2.3p4.(3P<2>).4f    | 2[3]*   | 5/2  | 3s2.3p4.(3P<0>).5g     | 2[4]    | 7/2  |       |                      |  L14821  |
Ar II     |          836.3074    |          836.306525  |         2 |             |      |    23.51420420  -     24.99631786 | 3s2.3p4.(3P).5p       | 4D*     | 5/2  | 3s2.3p4.(3P).5d        | 2F      | 7/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          837.549     |          837.54908   |       0?* |             |      |    24.16242376  -     25.64233863 | 3s2.3p4.(3P<2>).4f    | 2[3]*   | 7/2  | 3s2.3p4.(3P<0>).5g     | 2[4]    | 9/2  |       |                      |  L14821  |
Ar II     |          837.549     |          837.5493    |       0?* |             |      |    24.16242376  -     25.6423382  | 3s2.3p4.(3P<2>).4f    | 2[3]*   | 7/2  | 3s2.3p4.(3P<0>).5g     | 2[4]    | 7/2  |       |                      |  L14821  |
Ar II     |          837.6079    |          837.60779   |         2 |             |      |    17.74309086  -     19.22290199 | 3s2.3p4.(3P).3d       | 4F      | 5/2  | 3s2.3p4.(3P).4p        | 4P*     | 5/2  |       |                      |  L14821  |
Ar I      |                      |          838.473     |           | 2.4e+05     | D    |    13.30222736  -     14.780512   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<3/2>).4d  | 2[7/2]* | 3    |       |               T1218n |          |
Ar I      |          839.227     |                      |        20 |             |      |                                   |                       |         |      |                        |         |      |       |                      |   L2131  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          839.5724    |          839.57239   |         8 |             |      |    23.48728610  -     24.96363449 | 3s2.3p4.(3P).5p       | 4P*     | 1/2  | 3s2.3p4.(3P).5d        | 4P      | 3/2  |       |                      |  L11520  |
Ar I      |          840.8210    |          840.8209    |     15000 | 2.23e+07    | C    |    11.82807106  -     13.30222736 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1    | 3s2.3p5.(2P*<1/2>).4p  | 2[3/2]  | 2    |       |               T1242n |   L2634  |
Ar II     |          841.188     |          841.18823   |         1 |             |      |    22.83687146  -     24.31038395 | 3s2.3p4.(3P).4d       | 4D      | 1/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          841.5730    |          841.57245   |         7 |             |      |    21.35179967  -     22.82463943 | 3s2.3p4.(1D).4p       | 2P*     | 3/2  | 3s2.3p4.(1D).3d        | 2S      | 1/2  |       |                      |  L11520  |
Ar I      |          842.4648    |          842.4647    |     20000 | 2.15e+07    | C    |    11.62359262  -     13.09487245 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1    | 3s2.3p5.(2P*<3/2>).4p  | 2[5/2]  | 2    |       |               T1242n |   L2634  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar I      |                      |          849.0307    |           | 9.6e+04     | D    |    13.28263891  -     14.74254073 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1    | 3s2.3p5.(2P*<3/2>).4d  | 2[3/2]* | 2    |       |               T1218n |          |
Ar II     |          850.0997    |          850.09913   |         2 |             |      |    25.18754626  -     26.64561317 | 3s2.3p4.(1D).5p       | 2F*     | 5/2  | 3s2.3p4.(1D).5d        | 2F      | 5/2  |       |                      |  L14821  |
Ar I      |          852.1442    |          852.1441    |     15000 | 1.39e+07    | C    |    11.82807106  -     13.28263891 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1    | 3s2.3p5.(2P*<1/2>).4p  | 2[3/2]  | 1    |       |               T1242n |   L2634  |
Ar II     |          854.7023    |          854.70220   |         4 |             |      |    23.51420420  -     24.96441862 | 3s2.3p4.(3P).5p       | 4D*     | 5/2  | 3s2.3p4.(3P).5d        | 4F      | 5/2  |       |                      |  L14821  |
Ar II     |          856.2550    |          856.254861  |         2 |             |      |    23.57017702  -     25.01776175 | 3s2.3p4.(3P).5p       | 4D*     | 3/2  | 3s2.3p4.(3P).5d        | 4P      | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          856.534     |          856.53604   |  1h,s,bl? |             |      |    17.77579247  -     19.22290199 | 3s2.3p4.(3P).3d       | 4F      | 3/2  | 3s2.3p4.(3P).4p        | 4P*     | 5/2  |       |                      |  L14821  |
Ar II     |          858.5262    |          858.525771  |         3 |             |      |    23.62038658  -     25.06414228 | 3s2.3p4.(3P).5p       | 2D*     | 5/2  | 3s2.3p4.(3P).5d        | 2F      | 5/2  |       |                      |  L14821  |
Ar II     |          859.2624    |          859.26247   |         3 |             |      |    25.19328777  -     26.63580564 | 3s2.3p4.(1D).5p       | 2F*     | 7/2  | 3s2.3p4.(1D).5d        | 2F      | 7/2  |       |                      |  L14821  |
Ar II     |          860.4017    |          860.401684  |         7 |             |      |    18.42654895  -     19.86715687 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P).4p        | 2P*     | 3/2  |       |                      |  L11520  |
Ar I      |          860.5776    |          860.5776    |         7 | 1.04e+06    | C    |    13.30222736  -     14.74254073 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<3/2>).4d  | 2[3/2]* | 2    |       |               T1218n |   L2634  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          860.7611    |          860.76123   |         2 |             |      |    23.57017702  -     25.01018319 | 3s2.3p4.(3P).5p       | 4D*     | 3/2  | 3s2.3p4.(3P).5d        | 4F      | 3/2  |       |                      |  L14821  |
Ar I      |                      |          862.0460    |           | 9.2e+05     | C    |    13.27303799  -     14.71089798 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 0    | 3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* | 1    |       |               T1218n |          |
Ar II     |          862.3805    |          862.38012   |         7 |             |      |    23.48728610  -     24.92458905 | 3s2.3p4.(3P).5p       | 4P*     | 1/2  | 3s2.3p4.(3P).5d        | 4P      | 1/2  |       |                      |  L11520  |
Ar II     |          863.1102    |          863.10963   |         1 |             |      |    23.43808861  -     24.87417675 | 3s2.3p4.(3P).5p       | 4P*     | 3/2  | 3s2.3p4.(3P).6s        | 2P      | 1/2  |       |                      |  L14821  |
Ar II     |          863.678     |          863.67887   |      0h?* |             |      |    24.15487203  -     25.59001366 | 3s2.3p4.(3P<2>).4f    | 2[4]*   | 7/2  | 3s2.3p4.(3P<1>).5g     | 2[4]    | 7/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          863.678     |          863.67972   |      0h?* |             |      |    24.15487203  -     25.59001225 | 3s2.3p4.(3P<2>).4f    | 2[4]*   | 7/2  | 3s2.3p4.(3P<1>).5g     | 2[4]    | 9/2  |       |                      |  L14821  |
Ar II     |          865.045     |          865.05068   |      0w,h |             |      |    23.87401492  -     25.30688069 | 3s2.3p4.(3P).4d       | 2D      | 5/2  | 3s2.3p4.(1D).5p        | 2D*     | 3/2  |       |                      |  L14821  |
Ar II     |          865.7390    |          865.73848   |         1 |             |      |    24.15215466  -     25.58388208 | 3s2.3p4.(3P<2>).4f    | 2[4]*   | 9/2  | 3s2.3p4.(3P<1>).5g     | 2[5]    | 11/2 |       |                      |  L14821  |
Ar I      |          866.7944    |          866.7943    |      4500 | 2.43e+06    | C    |    11.72316029  -     13.15314376 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0    | 3s2.3p5.(2P*<3/2>).4p  | 2[3/2]  | 1    |       |               T1242n |   L2634  |
Ar II     |          867.4767    |          867.47634   |         1 |             |      |    23.58132402  -     25.01018319 | 3s2.3p4.(3P).5p       | 2P*     | 1/2  | 3s2.3p4.(3P).5d        | 4F      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          868.099     |          868.0992    |         0 |             |      |    25.18754626  -     26.6153802  | 3s2.3p4.(1D).5p       | 2F*     | 5/2  | 3s2.3p4.(1D).5d        | 2D      | 5/2  |       |                      |  L14821  |
Ar II     |          869.3086    |          869.30888   |         2 |             |      |    22.78797899  -     24.21382608 | 3s2.3p4.(3P).4d       | 4D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 3/2  |       |                      |  L14821  |
Ar XVIII  |                      |          869.92      |           |             |      | (3934.29336)    -  (3935.718203)  | 3p                    | 2P*     | 1/2  | 3d                     | 2D      | 3/2  |       |                      |          |
Ar II     |          871.6947    |          871.69558   |         1 |             |      |    23.40402740  -     24.82597055 | 3s2.3p4.(3P).5p       | 4P*     | 5/2  | 3s2.3p4.(1D).4d        | 2F      | 5/2  |       |                      |  L14821  |
Ar II     |          871.9374    |          871.93790   |         3 |             |      |    23.48447022  -     24.90601819 | 3s2.3p4.(3P).5p       | 4D*     | 7/2  | 3s2.3p4.(3P).5d        | 4F      | 7/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          875.4009    |          875.40101   |         2 |             |      |    22.26659785  -     23.68252216 | 3s2.3p4.(1S).3d       | 2D      | 5/2  | 3s2.3p4.(3P).5p        | 2D*     | 3/2  |       |                      |  L14821  |
Ar I      |                      |          876.1686    |           | 9.5e+05     | D+   |    13.32785693  -     14.74254073 | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1    | 3s2.3p5.(2P*<3/2>).4d  | 2[3/2]* | 2    |       |               T1218n |          |
Ar II     |          876.8215    |          876.82126   |         1 |             |      |    23.8932498   -     25.30688069 | 3s2.3p4.(3P).4d       | 2D      | 3/2  | 3s2.3p4.(1D).5p        | 2D*     | 3/2  |       |                      |  L14821  |
Ar II     |          877.18602   |          877.186024  |       158 |             |      |    18.45411386  -     19.86715687 | 3s2.3p4.(1D).4s       | 2D      | 5/2  | 3s2.3p4.(3P).4p        | 2P*     | 3/2  |       |                      |  L11520  |
Ar II     |          878.0698    |          878.06989   |         8 |             |      |    23.40402740  -     24.81564805 | 3s2.3p4.(3P).5p       | 4P*     | 5/2  | 3s2.3p4.(3P).5d        | 4D      | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar I      |                      |          878.4557    |           | 2.4e+05     | D    |    13.28263891  -     14.6936396  | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1    | 3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* | 0    |       |               T1218n |          |
Ar II     |          878.839     |          878.84097   |         0 |             |      |    21.42648933  -     22.83687146 | 3s2.3p4.(1D).4p       | 2P*     | 1/2  | 3s2.3p4.(3P).4d        | 4D      | 1/2  |       |                      |  L14821  |
Ar II     |          879.0555    |          879.055897  |         1 |             |      |    23.40402740  -     24.81406469 | 3s2.3p4.(3P).5p       | 4P*     | 5/2  | 3s2.3p4.(1D).4d        | 2F      | 7/2  |       |                      |  L14821  |
Ar II     |          879.61407   |          879.61410   |        13 |             |      |    23.43808861  -     24.84723110 | 3s2.3p4.(3P).5p       | 4P*     | 3/2  | 3s2.3p4.(3P).5d        | 4D      | 1/2  |       |                      |  L11520  |
Ar I      |                      |          879.9087    |           | 4.6e+05     | D+   |    13.30222736  -     14.71089798 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* | 1    |       |               T1218n |          |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          880.3860    |          880.38556   |         1 |             |      |    22.77287946  -     24.18078715 | 3s2.3p4.(3P).4d       | 4D      | 7/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 5/2  |       |                      |  L14821  |
Ar II     |          883.8009    |          883.80039   |         1 |             |      |    22.81135824  -     24.21382608 | 3s2.3p4.(3P).4d       | 4D      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 3/2  |       |                      |  L14821  |
Ar II     |          884.2527    |          884.25274   |         1 |             |      |    24.18078715  -     25.58253753 | 3s2.3p4.(3P<2>).4f    | 2[2]*   | 5/2  | 3s2.3p4.(3P<1>).5g     | 2[3]    | 7/2  |       |                      |  L14821  |
Ar I      |          884.991     |                      |       180 |             |      |                                   |                       |         |      |                        |         |      |       |                      |   L2131  |
Ar II     |          885.0695    |          885.07024   |         1 |             |      |    22.81135824  -     24.21181391 | 3s2.3p4.(3P).4d       | 4D      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 1/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          886.7170    |          886.718109  |         2 |             |      |    23.61990867  -     25.01776175 | 3s2.3p4.(3P).5p       | 2P*     | 3/2  | 3s2.3p4.(3P).5d        | 4P      | 5/2  |       |                      |  L14821  |
Ar II     |          887.0216    |          887.021372  |         1 |             |      |    23.62038658  -     25.01776175 | 3s2.3p4.(3P).5p       | 2D*     | 5/2  | 3s2.3p4.(3P).5d        | 4P      | 5/2  |       |                      |  L14821  |
Ar II     |          887.373     |          887.377022  |         0 |             |      |    23.40402740  -     24.80084252 | 3s2.3p4.(3P).5p       | 4P*     | 5/2  | 3s2.3p4.(3P).6s        | 2P      | 3/2  |       |                      |  L14821  |
Ar II     |          889.01495   |          889.01497   |        22 |             |      |    23.57017702  -     24.96441862 | 3s2.3p4.(3P).5p       | 4D*     | 3/2  | 3s2.3p4.(3P).5d        | 4F      | 5/2  |       |                      |  L11520  |
Ar II     |          889.5144    |          889.51524   |         1 |             |      |    23.57017702  -     24.96363449 | 3s2.3p4.(3P).5p       | 4D*     | 3/2  | 3s2.3p4.(3P).5d        | 4P      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          889.92982   |          889.92992   |        11 |             |      |    22.78797899  -     24.18078715 | 3s2.3p4.(3P).4d       | 4D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          890.4512    |          890.45065   |         1 |             |      |    18.28805513  -     19.68004879 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P).4p        | 2D*     | 5/2  |       |                      |  L14821  |
Ar II     |          890.56560   |          890.56560   |        68 |             |      |    23.51420420  -     24.90601819 | 3s2.3p4.(3P).5p       | 4D*     | 5/2  | 3s2.3p4.(3P).5d        | 4F      | 7/2  |       |                      |  L11520  |
Ar II     |          891.5522    |          891.55174   |         1 |             |      |    23.61990867  -     25.01018319 | 3s2.3p4.(3P).5p       | 2P*     | 3/2  | 3s2.3p4.(3P).5d        | 4F      | 3/2  |       |                      |  L14821  |
Ar II     |          892.0190    |          892.02026   |      10bl |             |      |    22.77287946  -     24.16242376 | 3s2.3p4.(3P).4d       | 4D      | 7/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 7/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          892.6074    |          892.60757   |         3 | 6.e+05      | C+   |    18.25395187  -     19.64258190 | 3s2.3p4.(3P).3d       | 4P      | 1/2  | 3s2.3p4.(3P).4p        | 4D*     | 1/2  |       |                 T926 |  L14821  |
Ar II     |          892.6819    |          892.68269   |         1 |             |      |    22.78797899  -     24.17649215 | 3s2.3p4.(3P).4d       | 4D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          893.13307   |          893.133054  |        32 |             |      |    23.40402740  -     24.79184041 | 3s2.3p4.(3P).5p       | 4P*     | 5/2  | 3s2.3p4.(3P).5d        | 4D      | 5/2  |       |                      |  L11520  |
Ar II     |          893.5448    |          893.54417   |         1 |             |      |    22.82463943  -     24.21181391 | 3s2.3p4.(1D).3d       | 2S      | 1/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 1/2  |       |                      |  L14821  |
Ar II     |          893.7530    |          893.75389   |         1 |             |      |    22.77287946  -     24.15972844 | 3s2.3p4.(3P).4d       | 4D      | 7/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar I      |                      |          896.2147    |           | 1.6e+05     | D+   |    13.32785693  -     14.71089798 | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1    | 3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* | 1    |       |               T1218n |          |
Ar II     |          896.688     |          896.68835   |         0 |             |      |    23.58132402  -     24.96363449 | 3s2.3p4.(3P).5p       | 2P*     | 1/2  | 3s2.3p4.(3P).5d        | 4P      | 3/2  |       |                      |  L14821  |
Ar II     |          896.89495   |          896.89461   |        14 |             |      |    22.77287946  -     24.15487203 | 3s2.3p4.(3P).4d       | 4D      | 7/2  | 3s2.3p4.(3P<2>).4f     | 2[4]*   | 7/2  |       |                      |  L11520  |
Ar II     |          897.13640   |          897.136393  |        59 |             |      |    23.68252216  -     25.06414228 | 3s2.3p4.(3P).5p       | 2D*     | 3/2  | 3s2.3p4.(3P).5d        | 2F      | 5/2  |       |                      |  L11520  |
Ar XVIII  |                      |          897.95      |           |             |      | (3934.34033)    -  (3935.72070)   | 3s                    | 2S      | 1/2  | 3p                     | 2P*     | 3/2  |       |                      |          |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          898.66158   |          898.66163   |        60 |             |      |    22.77287946  -     24.15215466 | 3s2.3p4.(3P).4d       | 4D      | 7/2  | 3s2.3p4.(3P<2>).4f     | 2[4]*   | 9/2  |       |                      |  L11520  |
Ar II     |          899.58638   |          899.586315  |        62 |             |      |    23.40402740  -     24.78188485 | 3s2.3p4.(3P).5p       | 4P*     | 5/2  | 3s2.3p4.(3P).5d        | 4D      | 7/2  |       |                      |  L11520  |
Ar II     |          899.78080   |          899.78092   |        31 |             |      |    23.43808861  -     24.81564805 | 3s2.3p4.(3P).5p       | 4P*     | 3/2  | 3s2.3p4.(3P).5d        | 4D      | 3/2  |       |                      |  L11520  |
Ar II     |          900.177     |          900.17615   |         0 |             |      |    22.83687146  -     24.21382608 | 3s2.3p4.(3P).4d       | 4D      | 1/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 3/2  |       |                      |  L14821  |
